,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-06,52.67379,0.81851,2.82693,0.20556,-0.5191595,-0.3206662,-0.0861501,-0.4270852,-0.6787115,0.12014010000000001,0.0,0.0,0.0,0.0,880956.2972036098,288.4789063272674,316.5090412463077,267.8628898285597,2.7977039493819658,48.88198371584775,1.2331422584173957,0.013105319631013926,0.22503468036898608,46.37405523387016,6.326933830425389,3.0589954077643466,0.09963571255342912,0.0004586861870854874,1.02407,60.49682111955857,0.0,0.01,0.030440886193667284,-0.09268554034824872,0.0436965933817733,0.20298335956359392,0.3770863064849003,-0.3670863064849003
2020-04-07,55.96276,1.05665,3.28897,0.23814,-0.5165021,-0.3219191,-0.0836515,-0.422604,-0.6796019,0.1195278,0.0,0.0,0.0,0.0,880953.2237751198,256.3127666059367,304.7723852341779,286.72169389302275,2.949233584405717,52.32350468864642,1.3623389466995575,0.014478367942065397,0.2486116320579346,69.27299583846508,7.798216088842785,3.478217251857362,0.10665053413648196,0.000506742877972289,1.26221,68.11460479543727,0.0,0.01,0.03453629181320283,-0.08751085018606264,0.04412911919958666,0.19604314365861128,0.3757533065599171,-0.3657533065599171
2020-04-08,59.81874,1.31974,3.85598,0.26309,-0.5167808,-0.32340539999999995,-0.08500479999999999,-0.41989269999999995,-0.681229,0.11963810000000001,0.0,0.0,0.0,0.0,880950.3111207355,227.96851130431443,290.84181930773826,302.6593870661045,3.0703893588759548,55.231955570563606,1.467146200039476,0.015592215549908358,0.26773778445009166,93.74269542129669,9.423645035542343,3.8818936867023,0.11257880369548756,0.0005457275442467926,1.5253,75.4499090001876,0.0,0.01,0.038625528279592806,-0.08805128566363518,0.04464486189182974,0.19979431693512478,0.37947978705110114,-0.3694797870511011
2020-04-09,64.32489,1.60307,4.50615,0.28333,-0.5190416,-0.32443350000000004,-0.0895499,-0.4184778,-0.6831799,0.12033630000000001,0.0,0.0,0.0,0.0,880947.5841394665,202.95619137624246,275.51161005669746,315.61427141455465,3.1610364822124124,57.59607717832695,1.5698821637876954,0.016684050359177343,0.28648594964082263,119.52950062594228,11.174121235581818,4.267118839669332,0.1173975717373437,0.0005839417625712071,1.8086300000000002,82.44993040450886,0.0,0.01,0.04330986756881156,-0.0924549312455124,0.04500328814457165,0.2125278263209644,0.38816807710780543,-0.3781680771078054
2020-04-10,69.53992,1.90624,5.21503,0.30317,-0.5220741,-0.324281,-0.09636139999999999,-0.4177069,-0.6849175,0.1214557,0.0,0.0,0.0,0.0,880650.9025412069,475.0105649011625,259.3979177716857,325.6056969682762,3.221866645398658,59.41940067613478,1.6929167655345558,0.017991610594471245,0.30893838940552876,146.37499166537668,13.047173399369514,4.632038858327257,0.12111403580262256,0.0006297063708064936,2.1118,89.08098219797624,0.0,1.0788714005620605,0.04930288741253339,-0.09841668369288314,0.04495003543555104,0.23200062032849703,0.4016258659589467,0.6772455346031139
2020-04-11,75.49804999999999,2.23317,5.95813,0.32693,-0.5246678,-0.3222256,-0.1045138,-0.4169281,-0.6859049,0.1228293,0.0,0.0,0.0,0.0,880469.4594985928,598.5610758680936,278.9966408557686,332.7113289893557,3.254143445690985,60.71609910631867,1.853338144411565,0.019696501844025337,0.3382134981559747,174.0229448325528,15.06702016490407,4.975616005488462,0.12375708467742504,0.000689377564540887,2.43873,95.32420740183485,0.0,0.7015717445868899,0.057327741401798894,-0.10356574813535446,0.04423523928349985,0.25592145624322404,0.41968284127915123,0.28188890330773864
2020-04-12,82.21298,2.59108,6.71493,0.35791,-0.5259792,-0.3178714,-0.113133,-0.4156718,-0.6857605,0.1243025,0.0,0.0,0.0,0.0,880355.1172453546,639.9331030875014,310.811314699886,341.5558409242141,3.3073990556441246,62.330123686771316,2.0470555034751188,0.021755248830656024,0.37356475116934407,202.22432937852375,17.278268309315635,5.345152009309258,0.12704693662138392,0.0007614337090729609,2.79664,102.03913740183485,0.0,0.41170357971531363,0.058871797621121894,-0.10618670251859408,0.04273911597700157,0.28194034242095034,0.4415846497671396,-0.029881070051825998
2020-04-13,89.69363,2.9864,7.48065,0.39532,-0.5266325,-0.3121276,-0.12155010000000001,-0.41419910000000004,-0.6847252,0.12577080000000002,0.0,0.0,0.0,0.0,880236.497825835,680.5693996464493,342.96170207461574,353.5128769601244,3.395659625948765,64.51214912960612,2.2647998218023693,0.024069344280744778,0.4133006557192551,231.1275730934742,19.720643812790755,5.756827113440208,0.13149453967019537,0.0008424270498260673,3.19196,109.51978740183485,0.0,0.3835683368303554,0.05846684445870345,-0.10749677852615602,0.04080316694759347,0.3080716564135433,0.46446993872276254,-0.08090160189240714
2020-04-14,97.94808,3.42377,8.25445,0.43737,-0.5276185999999999,-0.3062298,-0.1291475,-0.41295360000000003,-0.6831950999999999,0.1271417,0.0,0.0,0.0,0.0,880117.2690433209,716.8935954624149,375.3077838465216,368.38544940742054,3.516037600193273,67.2262273830245,2.49797524758777,0.026547435080209614,0.4558525649197903,260.9986740972221,22.422813634593123,6.211085976412505,0.13702662122967257,0.0009291602278073364,3.62933,117.77423740183485,0.0,0.34959888843057785,0.05844120444124077,-0.10947976129913661,0.03885987797765596,0.3322712037004459,0.48474321426674705,-0.1351443258361692
2020-04-15,106.98104,3.90617,9.03296,0.4824,-0.5296745,-0.3012061,-0.1354299,-0.4122571,-0.6815217,0.1283328,0.0,0.0,0.0,0.0,879999.4957161009,747.3707806756106,407.2923918911594,385.97926519000674,3.665785147437654,70.43690213208899,2.740575041015397,0.029125684113186025,0.5001243158868139,292.08614493943986,25.403188882180892,6.708187798929359,0.14357091100849823,0.001019398943961511,4.11173,126.80719740183486,0.0,0.31577737964136765,0.058590982357942474,-0.11363545887994941,0.037240212303557396,0.3527215136001517,0.49941816091154145,-0.1836407812701738
