,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-14,57.23109,4.81735,8.62901,0.83998,-0.605258,-0.3513538,-0.18060500000000002,-0.537362,-0.6356288,0.13907619999999998,0.0,0.0,0.0,0.0,3335910.1023083166,737.4355735755364,39.35453905980148,393.30156780398534,4.271939706763465,72.83949352427638,5.449567095428922,0.05958957580704507,1.0092604241929553,158.6747467000472,34.50141421760106,4.517055989877308,0.15052270414782767,0.0020856351532465775,5.65733,109.92591009668402,0.0,1.4176089785668853,0.0202837773815127,0.9934439874933938,2.328354363183018,-0.4009018508033115,2.614202423855743,-1.1965934452888578
2020-04-15,68.60556,5.8862,11.37447,1.06885,-0.6073944,-0.34708799999999995,-0.1883685,-0.5372529,-0.6344802,0.1397073,0.0,0.0,0.0,0.0,3335608.179307079,949.352318914014,90.30787083625754,391.26358469080094,4.171683770769672,72.46205882803494,6.710791226407309,0.07338072832366452,1.2428392716763352,192.21633334190778,41.01983131302998,4.876824359149027,0.14974273591399392,0.002568325491328259,6.72618,116.37902570101785,0.0,7.6828673005758965,0.20396659237222434,0.9768003487996433,2.223109739397737,-0.4160709390288631,2.47714507315116,5.205722227424737
2020-04-16,83.41369,7.20242,14.80813,1.31622,-0.6105916,-0.343885,-0.1965194,-0.5380514000000001,-0.6342106,0.1403892,0.0,0.0,0.0,0.0,3335232.793470254,1208.8438982459752,116.25962954146328,430.7122309932307,4.53254764177153,79.76795245294763,7.9687522962067945,0.0871362001287562,1.475813799871244,225.51172603501794,49.04684253943729,5.702394069768458,0.16484035413496245,0.0030497670045064674,8.0424,131.18715570101784,0.0,4.16296173737896,0.10554675033241874,0.9516277411393359,2.145329940669332,-0.4318138782700478,2.358449727521263,1.8045120098576968
2020-04-17,102.47723,8.76537,19.06354,1.56295,-0.6142813,-0.3417422,-0.20491800000000002,-0.5393878,-0.6346501,0.1410846,0.0,0.0,0.0,0.0,3334773.862363923,1520.166165897236,148.03749986548942,487.8686969928016,5.085341108186704,90.3533362293,9.12591536677661,0.09978947245430883,1.690120527545691,262.13222578186065,58.57854483564409,6.765207618891941,0.18671503383640856,0.0034926315359008102,9.605350000000001,150.25069570101783,0.0,3.953671064666518,0.09389179554269564,0.9221829330441809,2.0938909633399168,-0.44783905243627686,2.2615407679304633,1.6921302967360545
2020-04-18,126.75151,10.55528,24.27428,1.78991,-0.6178954,-0.340657,-0.2134245,-0.5408926000000001,-0.635629,0.1417562,0.0,0.0,0.0,0.0,3334230.377533064,1877.9866051206823,186.16266244638163,566.5052961492054,5.867839827213687,104.91684302385886,10.110595062842648,0.11055668466894569,1.8724833153310536,303.5952151033342,69.4943702024207,8.118525716119278,0.21681049878993205,0.0038694839634131,11.39526,174.52497570101784,0.0,3.6774768219642113,0.08169305124601015,0.892931535538918,2.0680223191750122,-0.46386713645227423,2.1903926422442983,1.487084179719913
2020-04-19,157.27732,12.53832,30.52581,1.98304,-0.6209575,-0.34052889999999997,-0.22183160000000002,-0.5423089999999999,-0.6369694,0.1423623,0.0,0.0,0.0,0.0,3333604.381787669,2274.577349378981,229.98208636064444,670.5276486709039,6.918818742575152,124.1817941278943,10.954453274906495,0.11978405117671018,2.02876594882329,351.73950651021727,81.58800526526335,9.820373561061462,0.2566214913593494,0.004192441791184856,13.3783,205.05078570101782,0.0,3.3688838635218037,0.07038470068443724,0.8678304037079254,2.064976793488531,-0.4795072286467861,2.146605892532313,1.2222779709894906
2020-04-20,194.98837,14.68687,37.71105,2.14855,-0.623359,-0.3408668,-0.22966180000000003,-0.5438307,-0.6384618,0.1428436,0.0,0.0,0.0,0.0,3332898.867305383,2702.2110301285215,278.5494012430545,802.9574905332103,8.266943549142804,148.7078153756862,11.715103426908218,0.12810155954051525,2.169638440459485,408.7361618207409,94.69100854016985,11.922806524281995,0.30730447749206213,0.004483554583918035,15.52685,242.76183570101782,0.0,3.074056937163815,0.06093015177249108,0.8479407014051192,2.0730139149211135,-0.4938946346897333,2.1203659056191424,0.9536910315446727
2020-04-21,240.66319,16.98461,45.67482,2.29774,-0.6250833,-0.3410817,-0.2363703,-0.5457637,-0.6398887,0.1431365,0.0,0.0,0.0,0.0,3332118.9305515164,3152.00642737789,330.91829771371965,965.7509244537864,9.929004587165172,178.85717720523843,12.450107957456968,0.13613863981215632,2.3057613601878435,477.0117572217504,108.70385196707807,14.469228518821115,0.3696080885049942,0.004764852393425472,17.82459,288.4366557010178,0.0,2.8065326479326433,0.05346271753232962,0.8335492338098405,2.0781315956712594,-0.5060833378412753,2.098903415622467,0.7076292323101763
2020-04-22,294.92514,19.42651,54.26195,2.4419,-0.6261135,-0.34058489999999997,-0.2414119,-0.5484144,-0.6410326000000001,0.1431775,0.0,0.0,0.0,0.0,3331275.373132121,3610.469405313058,386.0011633810054,1159.8713351081744,11.91095262791093,214.80829856419808,13.220649263657254,0.1445643053327801,2.4484656946672194,559.156173697108,123.59585992453503,17.494392557706917,0.4439010268859258,0.005059750686647304,20.26649,342.6986057010178,0.0,2.555892615604544,0.04778726160781174,0.8249068451797825,2.066307960925239,-0.5151598295025277,2.0693609005851368,0.48653171501940706
2020-04-23,358.21924,22.01954,63.2941,2.59303,-0.6264254,-0.3390183,-0.2443315,-0.5519194000000001,-0.6416894999999999,0.14293329999999999,0.0,0.0,0.0,0.0,3330381.8069511633,4062.952972659635,442.145478732961,1385.2276701979615,14.207425949485561,256.54431655690564,14.102746473911406,0.15420980517876118,2.6118301948212386,657.8368590777108,139.4095391881923,21.023109000695822,0.5301484454862618,0.005397343181256643,22.85952,405.9927057010178,0.0,2.3219160444755964,0.043701387649085766,0.8222838035147237,2.0291915852087326,-0.5203832356611312,2.0243980770449674,0.29751796743062897
2020-04-24,430.71954,24.78558,72.5003,2.76604,-0.6259643,-0.3369478,-0.24503360000000002,-0.5557364,-0.6417096,0.1424911,0.0,0.0,0.0,0.0,3329453.6426835507,4494.810138143234,497.5575432165549,1640.2743769206081,16.79757206869983,303.77899463469794,15.175885719124373,0.16594429918247253,2.8105757008175276,775.7079600846855,156.2783256621037,25.065081328790043,0.6277588369073909,0.005808050471386537,25.62556,478.49300570101786,0.0,2.106458917292222,0.04105527839195147,0.8261605310266491,1.9805281660636616,-0.5216357616599403,1.9783588594130128,0.1281000578792093
2020-04-25,512.30597,27.7621,81.58642999999998,2.97652,-0.6246676999999999,-0.33517020000000003,-0.2435122,-0.5591537,-0.6409566999999999,0.1419685,0.0,0.0,0.0,0.0,3328509.756036828,4889.727623504419,550.4436562787564,1921.9976125098165,19.645157463981157,355.95416878647103,16.519706086193843,0.18063861970963982,3.0594513802903593,915.2852171617238,174.43073138122807,29.61361550600029,0.7355787560573126,0.006322351689837395,28.60208,560.0794357010178,0.0,1.9045138085371536,0.03971358962513742,0.8370263880622852,1.9391044680340537,-0.5189198689144653,1.9505169111645166,-0.04600310262736307
2020-04-26,602.56434,31.00219,90.25837,3.24009,-0.6224732000000001,-0.3344825,-0.2397618,-0.5614593,-0.6392945,0.1414832,0.0,0.0,0.0,0.0,3327577.6953859027,5224.722022606385,598.8060604492739,2226.0390341946995,22.700160939797215,412.26267345270486,18.195440957555235,0.19896233761252755,3.369797662387472,1078.819934029795,194.1905274674219,34.645619979345774,0.8519401965175935,0.006963681816438466,31.84217,650.3378057010178,0.0,1.700959778057544,0.03953938011510733,0.8552979223363533,1.9231670268022794,-0.5121970209505264,1.9595738521707486,-0.2586140741132046
2020-04-27,700.75288,34.57095,98.18854,3.56876,-0.6193794,-0.33533450000000004,-0.2338464,-0.562191,-0.6366566,0.1411269,0.0,0.0,0.0,0.0,3326689.493271036,5475.144638314726,639.8301607354683,2546.6952225504174,25.898960016596796,471.64823472993805,20.19080286845673,0.2207810927117886,3.739338907288211,1268.1838613233058,215.95472842497713,40.11974024665464,0.9746603698505732,0.007727338244912602,35.41093,748.5263457010178,0.0,1.4910822868088198,0.04033179432141469,0.8808030213119453,1.9429193967058138,-0.5015125599198305,2.0155157820805716,-0.5244334952717518
2020-04-28,805.6682999999999,38.53107,104.91542,3.96012,-0.6156280000000001,-0.3367888,-0.2261101,-0.5618841,-0.6332557,0.1408878,0.0,0.0,0.0,0.0,3325870.43517753,5626.1159162880995,670.4974271981027,2876.3496285184606,29.158294794769482,532.7002668965771,22.475200620346072,0.2457603783368497,4.1624096216631505,1484.7542668603085,240.10565129343385,45.96889155265452,1.1008243027776996,0.008601613241789742,39.37105,853.4417657010179,0.0,1.288002524579121,0.042016416652575946,0.9113305796108584,1.9768095836831505,-0.4873901003322249,2.0940559869444266,-0.8060534623653057
2020-04-29,915.61235,42.93924,109.94405,4.40817,-0.6115217,-0.3375613,-0.2169667,-0.5613234,-0.6293745,0.1407285,0.0,0.0,0.0,0.0,3325108.547846266,5701.83984526951,688.9856791346056,3205.4453556818594,32.37524620463405,593.648831687278,25.012077730953337,0.27350045901637565,4.6322395409836234,1729.25035611161,266.98902191377994,52.09839457179523,1.2267744205275954,0.009572516065573147,43.779219999999995,963.3858157010179,0.0,1.1444498606040443,0.0446203318869916,0.9442451473360469,1.9949009203893673,-0.4704811673130621,2.1619708243949947,-1.0175209637909504
