,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-26,62.56441,0.58853,13.18078,0.00482,-0.5629310000000001,-0.32457729999999996,-0.18840990000000002,-0.5129806,-0.41599980000000003,0.1391985,0.0,0.0,0.0,0.0,4142836.7825132143,964.3301678219484,44.664421591657174,588.9558503865076,6.198318830943708,107.4778604321508,0.4553212344950096,0.004838963446523282,0.08309103655347672,44.38176728964279,3.665849198084999,6.497433005804655,0.21907116679480348,0.00016936372062831493,0.59335,121.59764000000001,0.0,1.7669628290309953,0.0014895000663185801,0.6490763510762794,-0.5437919525442514,1.0482053658961468,2.3404753462593497,-0.5735125172283544
2020-03-27,78.44427,0.67646,15.87986,0.08793,-0.5730669,-0.3414794,-0.1938725,-0.5228734,-0.4285956,0.1439042,0.0,0.0,0.0,0.0,4142519.0491091446,1164.0540868291248,118.09384759799724,582.9994394218492,6.023263553391665,106.39088200088817,1.120101628950478,0.011903971148839433,0.20440602885116055,94.84385939037602,4.2091004325800085,6.895277483126538,0.21685558832813112,0.0004166389902093802,0.68128,128.82697026411833,0.0,7.118704113415905,0.029921167258552504,0.6392211409498842,-0.5861651731557385,1.0898842114289145,2.329925761054235,4.78877835236167
2020-03-28,97.5588,0.89277,19.11453,0.21631,-0.5770743,-0.3539264,-0.1934977,-0.5285473,-0.43626469999999995,0.1472374,0.0,0.0,0.0,0.0,4142129.8538101036,1410.877220835321,142.55244781599134,638.0461801715542,6.507824666662247,116.4362969766609,2.0886884242682484,0.022197706081992848,0.38116229391800716,144.6886589439731,5.545512061530486,7.947188229941876,0.2373310683091433,0.0007769197128697498,0.89759,147.94150026411833,0.0,3.29882467623046,0.021102271413422146,0.6351145148584516,-0.6182591730482929,1.0870042166895566,2.29084514033089,1.0079795358995698
2020-03-29,120.63217,1.29613,23.07337,0.40336,-0.5764566,-0.3628691,-0.1883813,-0.5309432000000001,-0.4399493,0.1494903,0.0,0.0,0.0,0.0,4141655.777321484,1712.4498247329418,172.77891437652903,708.2959655421034,7.152089305125971,129.25609768411547,3.4345088364740146,0.036500521955430826,0.626759478044569,199.1544575526335,8.037560485798734,9.216961845523667,0.2634615540460812,0.0012775182684400788,1.30095,171.01487026411831,0.0,3.3295398292680347,0.028745692545128872,0.6357552749093747,-0.6417833239366428,1.0479888259726426,2.2289463587765495,1.1005934704914853
2020-03-30,148.59796,1.95939,27.96579,0.66326,-0.5729082,-0.36939520000000003,-0.1799841,-0.5310392,-0.4406812,0.1510008,0.0,0.0,0.0,0.0,4141094.126911167,2064.76868218255,209.71011316382288,797.054553925222,7.988331833631784,145.45354808406498,5.217682045966811,0.05545134024776288,0.9521686597522371,259.5372282751166,12.13532932227275,10.755975101103632,0.2964766731036283,0.0019407969086717007,1.96421,198.9806602641183,0.0,3.255189448442602,0.036030450060591884,0.639381318426266,-0.6591963490361576,0.985165022110815,2.152335573332098,1.1028538751105037
2020-03-31,182.54139,2.96701,33.94343,1.00762,-0.5680095000000001,-0.3745286,-0.1697743,-0.5297734,-0.4395001,0.1520857,0.0,0.0,0.0,0.0,4140445.6175599783,2460.915569408126,252.8558021051199,908.1685179216731,9.054174645227254,165.73060468624726,7.445354001837995,0.07912610511406923,1.3586938948859308,327.4139658847222,18.36063136823956,12.623949819852884,0.33780721719097156,0.0027694136789924227,2.9718299999999997,232.92409026411832,0.0,3.0973788465124854,0.04235930193265678,0.6442337426304765,-0.6730391117671062,0.9108050875155148,2.06898530021006,1.0283935463024254
2020-04-01,223.46833,4.40483,40.92694,1.43782,-0.5628865,-0.3790393,-0.1592507,-0.5279246,-0.4374775,0.15297840000000001,0.0,0.0,0.0,0.0,4139711.8139617075,2893.972767134766,301.36876134614613,1044.8034111825896,10.379531513346565,190.66494565326758,10.111569746511435,0.10746152975844966,1.84524847024155,404.68853634486806,27.243805370077553,14.876241036025426,0.38863066256791917,0.003761153541545739,4.40965,273.8510302641183,0.0,2.9074370406703074,0.047712093794454215,0.6491179386061012,-0.6853086355274371,0.8364853042549931,1.9872801891648322,0.9201568515054752
2020-04-02,272.24752,6.35754,48.77919,1.95271,-0.5585512,-0.3836339,-0.14991949999999998,-0.5262315000000001,-0.4356928,0.1538908,0.0,0.0,0.0,0.0,4138899.161037555,3352.9931056902005,354.4018328148676,1209.1935532804994,11.984126633379612,220.66430933600478,13.210270757931415,0.1403932267450754,2.410726773254925,493.5325588149733,39.308085116588984,17.560657246204137,0.4497780986878231,0.004913762936077639,6.36236,322.6302202641183,0.0,2.7022776679660563,0.052299351424244654,0.6530990785664146,-0.6979082551385134,0.7725612137730085,1.9147376190320846,0.7875400489339717
2020-04-03,329.61058,8.90866,57.36306,2.55112,-0.5560159,-0.3890188,-0.143287,-0.5254328,-0.43522530000000004,0.1550354,0.0,0.0,0.0,0.0,4138031.566251025,3810.9116138127,410.614403690028,1402.7172045441864,13.878505459791876,255.98021284080724,16.727113355675424,0.17776875744382156,3.0525112425561782,596.3049393965259,55.0694758745204,20.717460959620738,0.5217621906310548,0.006221906510533755,8.91348,379.9932802641183,0.0,2.454074731089517,0.05631289544177037,0.655362662330699,-0.7128059563338016,0.7282533042167608,1.857795592044833,0.5962791390446838
2020-04-04,396.07214,12.13894,66.46156,3.23028,-0.5560446,-0.39568770000000003,-0.1405185,-0.5261045,-0.4368973,0.15658239999999998,0.0,0.0,0.0,0.0,4137140.285431737,4236.633869843172,466.69204215348157,1625.5778749724332,16.06082555429592,296.649794467993,20.614302532415035,0.21908017652759385,3.761879823472406,715.4780295082759,75.02686923019583,24.37497329260054,0.6046586370647699,0.007667806178465785,12.14376,446.45484026411833,0.0,2.1768116309727086,0.05989868429209305,0.6553373050040368,-0.7314516936513085,0.7100359613435444,1.8209071545274478,0.3559044764452608
