,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-05,52.17125,1.25149,13.7439,0.26417,-0.6239619,-0.4335351,-0.17004439999999998,-0.4465807,-0.6979459,0.1502339,0.0,0.0,0.0,0.0,844110.9213997616,988.1012513104959,33.79141278729435,443.1142019749976,4.663458431025754,80.86338954629343,1.5597846270281681,0.016576737966129233,0.2846432620338707,58.319794604873465,9.364086956382422,4.915712169391364,0.16482312755074177,0.0005801858288145231,1.51566,96.83356,0.0,2.7061958104464425,0.006744389172884249,-0.07360600305014042,0.4146896979060488,0.16175044594650165,1.9898222191285593,0.7163735913178833
2020-04-06,68.88414,1.55271,16.71289,0.30122,-0.6182238,-0.43314349999999996,-0.1678714,-0.4400945,-0.7034195,0.1495674,0.0,0.0,0.0,0.0,843858.6335694235,1119.4950349389983,121.00490317253787,437.8413438950104,4.523339556029473,79.90115187698852,1.7909923277014559,0.0190339166069488,0.32683608339305115,96.23870322584122,11.22509158341059,5.216706259972853,0.16286180706947287,0.0006661870812432079,1.8168799999999998,102.30299796482821,0.0,7.483650067201897,0.06323684485026684,-0.0496647333396929,0.4122610526659187,0.15913362489179256,2.008718022544168,5.474932044657729
2020-04-07,88.46985000000001,1.89858,19.58571,0.34587,-0.6143435,-0.43330440000000003,-0.1681054,-0.435217,-0.7097698,0.1496385,0.0,0.0,0.0,0.0,843609.2054965824,1232.010386882339,137.09565505080286,505.7583174833037,5.169711388823563,92.29524050605343,2.0768302913557775,0.02207168281015686,0.3789983171898431,133.62533790377108,13.361953911112046,6.294546982868401,0.18812456766416777,0.0007725088983554901,2.16275,121.8887079648282,0.0,2.067394305120754,0.02047768500605799,-0.03371958865316049,0.41325848113673613,0.15941473399945155,2.0259417048091763,0.041452600311577825
2020-04-08,110.65999,2.29965,22.19014,0.40107,-0.6122464999999999,-0.4335593,-0.1704582,-0.4322131,-0.7169863,0.1505091,0.0,0.0,0.0,0.0,843369.4482108218,1321.1471572038092,150.8745155160343,581.9548453044155,5.8973788027964575,106.20025524900497,2.408961577384549,0.025601435061493184,0.43960856493850675,176.76361132223246,15.839854202467823,7.515714688238971,0.21646703551558494,0.0008960502271522616,2.5638199999999998,144.0788479648282,0.0,1.7550880625602048,0.020964716761588703,-0.025184681295549627,0.41483990457835485,0.16225037524570501,2.0388936768546597,-0.28380561429445494
2020-04-09,135.08036,2.76486,24.42037,0.46521,-0.6113442,-0.43345350000000005,-0.17407920000000002,-0.4305177,-0.7245802,0.1519952,0.0,0.0,0.0,0.0,843146.735784002,1382.4051959667006,161.79038698928372,663.866723334375,6.6780480968162195,121.14825752941671,2.7733531988040183,0.029474036650619123,0.5061059633493808,226.35264510270628,18.71402577985237,8.859616403018611,0.24693541558618043,0.0010315912827716692,3.0290299999999997,168.4992179648282,0.0,1.4825100952999022,0.02193169063368,-0.02153001775539698,0.41418332045165296,0.16664707911167634,2.0462884601340816,-0.5637783648341794
2020-04-10,161.26756,3.30044,26.1872,0.53558,-0.6109199000000001,-0.4325336,-0.1779771,-0.42935850000000003,-0.7319432,0.1538512,0.0,0.0,0.0,0.0,842947.1058623082,1413.1732054050476,169.29217189160232,748.6661318876561,7.481228852397272,136.6232018588385,3.1557650396712575,0.03353814958733861,0.5758918504126612,282.8700437778819,22.02295897865639,10.300750300059377,0.2784778569475917,0.0011738352355568514,3.5646099999999996,194.6864179648282,0.0,1.2403293801319277,0.02327205657725912,-0.01981513025192294,0.40848594003795924,0.17142417491575493,2.0470830630279404,-0.8067536828960127
2020-04-11,188.66899,3.90987,27.40143,0.60943,-0.6102568,-0.4303459,-0.1811605,-0.4279632,-0.7384668000000001,0.1558318,0.0,0.0,0.0,0.0,842769.3618804655,1418.3947919347488,173.06008534982442,833.2815918707807,8.274443760006667,152.064577630045,3.540921339247499,0.037631429482168605,0.6461785705178315,346.54974363132214,25.78815401832765,11.808705698131327,0.30995187581541883,0.0013171000318759017,4.17404,222.0878479648282,0.0,1.056578447021296,0.024955266933149114,-0.017139816800931573,0.39501879727456446,0.17535958737585028,2.0402266461756327,-0.9836481991543367
2020-04-12,216.68029,4.59368,28.0113,0.68381,-0.6088437,-0.4266144,-0.18286639999999998,-0.4257578,-0.7436700999999999,0.1577106,0.0,0.0,0.0,0.0,842609.8129570348,1404.9029186435605,173.6995315316763,914.6144522092305,9.025523327690838,166.90691565294915,3.908419895054514,0.041537050269155495,0.7132429497308445,417.3616163473235,30.012885357575147,13.350223459869046,0.34020488136992677,0.0014537967594204428,4.85785,250.0991479648282,0.0,0.9289874987134822,0.02694555411566047,-0.011457827708260648,0.3723157377201409,0.17748104217886296,2.0253270305168924,-1.0963395318034101
2020-04-13,244.79509,5.34846,28.1148,0.75478,-0.6069925,-0.4217718,-0.1832444,-0.42296320000000004,-0.7475818,0.159338,0.0,0.0,0.0,0.0,842462.114161639,1381.3477616317966,172.04728909290685,990.3175736714961,9.710832820669646,180.7218892497985,4.236563948619267,0.04502442788323695,0.7731255721167632,495.0096926929022,34.67608525262966,14.89743703323778,0.36836381915425065,0.0015758549759132933,5.61263,278.2139479648282,0.0,0.8580459248960407,0.029100331498001057,-0.00405389489082264,0.34335537714409203,0.17795230969540704,2.004241870274826,-1.146195945378785
2020-04-14,272.64246,6.16661,27.84737,0.81815,-0.6052203,-0.416428,-0.1826724,-0.41999830000000005,-0.7503579,0.1605837,0.0,0.0,0.0,0.0,842311.5988939939,1363.6412860344121,169.16267631699736,1058.925683253389,10.316458388568888,193.24210247345056,4.513288238070118,0.04796533777271954,0.8236246622272804,578.9972220998277,39.73079920124893,16.42993339979992,0.3938836583880869,0.0016787868220451837,6.43078,306.0613179648282,0.0,0.883733044914138,0.03129882642418296,0.002991962871716325,0.3120568645688031,0.1772393419761816,1.9792762477428503,-1.0955432028287122
