,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-23,60.62426,0.33902,11.17284,0.0079,-0.596739,-0.3441836,-0.2887423,-0.5901758,-0.5694659,0.1572568,0.0,0.0,0.0,0.0,14871873.159003902,362.58405937270794,289.33956171756824,418.5807111759819,4.515882846374364,77.52119365129312,0.13587590690291504,0.0014857671284630683,0.02516423287153693,36.02135832849512,2.115703100291155,4.81340956572552,0.16019743044027399,5.200184949620739e-05,0.34692,88.37158330037593,0.0,0.01,0.0009604530033943465,0.30886314205724597,0.11588075124611924,-0.09557407840259773,0.700994570805871,-0.690994570805871
2020-03-24,73.19114,0.36567,12.56688,0.02665,-0.6315261,-0.3796609,-0.31488340000000004,-0.6109367,-0.6066495,0.1682853,0.0,0.0,0.0,0.0,14871320.81172128,870.597026155016,213.89397771817343,488.34528092860677,5.198529781717234,90.44159962651882,0.38881413359911066,0.004251579782986626,0.07200842021701337,71.96856137111048,2.27822900719407,5.9090303982586505,0.18689743001441358,0.0001488052924045319,0.37357,108.0235830166516,0.0,1.9093828161234316,0.003880521122582856,0.32166857424185247,0.19053056696680704,-0.10705715432763137,0.7769667427861315,1.1324160733373
2020-03-25,87.27687,0.44193,14.08573,0.07626,-0.6564485000000001,-0.4063426,-0.3339001,-0.6248022,-0.6349059,0.1768328,0.0,0.0,0.0,0.0,14871079.943219153,1004.9872337612951,231.91128631236944,526.6363814785352,5.529990721479505,97.53311565102133,0.7287333348455403,0.007968506404173598,0.1349614935958264,113.8438064498372,2.7433031407931807,6.71896698816114,0.20155203724558565,0.00027889772414607596,0.44983,122.5513038871688,0.0,1.1268833065862636,0.009838432419916911,0.33049050475307795,0.2543940787460943,-0.11570595364328778,0.841003385760988,0.2858799208252756
2020-03-26,103.02833,0.5848599999999999,15.75146,0.14293,-0.6723633999999999,-0.4247789,-0.3458024,-0.6326103,-0.6550606000000001,0.1829504,0.0,0.0,0.0,0.0,14870844.687110065,1117.3869462760078,258.92328142557494,567.9812214073909,5.894895484747663,105.19018454366562,1.1659835328190484,0.01274972174890128,0.21594027825109877,158.9267207936037,3.614966475638721,7.597128395039221,0.2173753586307474,0.0004462402612115449,0.59276,138.3027638871688,0.0,1.0154914299188254,0.014518654143806351,0.33597016642322597,0.3023943644506025,-0.12124566028283,0.8889436264961019,0.12654780342272343
2020-03-27,120.61445,0.81355,17.58612,0.22869,-0.6801281,-0.43552,-0.3506005,-0.6351994,-0.667939,0.186689,0.0,0.0,0.0,0.0,14870594.013427911,1231.5252281322378,288.5112408400713,615.1708016421671,6.323132651801247,113.92969998245832,1.7078556298412557,0.018674949906989646,0.3162950500930104,207.4740032049549,5.00964000845777,8.577574136622971,0.2354355541804368,0.0006536232467446378,0.82145,155.8888838871688,0.0,0.9694502174238688,0.01904740784209365,0.33860011234876974,0.3318186123590249,-0.12350640017232589,0.9187370804405721,0.050713136983296714
2020-03-28,140.21019,1.14852,19.59574,0.33497,-0.6807827000000001,-0.43933570000000005,-0.3485776,-0.6334634,-0.6744764000000001,0.1881871,0.0,0.0,0.0,0.0,14870332.528331807,1342.5895966577816,319.82107396876506,668.5777330346621,6.817631643092776,123.82066953804849,2.3496589754674817,0.025692899855617457,0.4351571001443826,259.98198874082,7.052465638299026,9.670058427426307,0.25587522793592593,0.000899251494946611,1.15642,175.4846238871688,0.0,0.907843200800204,0.023517866638361196,0.3388205244454871,0.3425299502931277,-0.12255133198354587,0.9306238986601725,-0.0227806978599685
2020-03-29,161.9325,1.60937,21.72231,0.46085,-0.6760993000000001,-0.4378741,-0.34110909999999994,-0.6285196,-0.6760473,0.1879336,0.0,0.0,0.0,0.0,14870063.374494722,1447.8213452560033,351.7631196437406,728.2597137752997,7.377905691034786,134.8737789216354,3.083796755390586,0.033720502438259005,0.5711194975617411,316.97803062425317,9.862974613766507,10.881101359969819,0.2787164619033851,0.001180217585339065,1.61727,197.2069338871688,0.0,0.8432763603071085,0.027844184159051235,0.3372390984553095,0.33841096511592417,-0.1190496164094674,0.9284252030668698,-0.08514884275976131
2020-03-30,185.82432,2.21421,23.89182,0.60484,-0.6680328,-0.43300269999999996,-0.32984389999999997,-0.621541,-0.6741361,0.18650480000000003,0.0,0.0,0.0,0.0,14869786.840988932,1547.6542073027954,383.3612322707156,793.9060106661688,7.999528667335081,147.03148031086116,3.8972167248949416,0.042615034808803014,0.721764965191197,378.99334375860377,13.551611369157094,12.213096886992577,0.30384033359420276,0.0014915262183081053,2.22211,221.09875388716878,0.0,0.7880074325233453,0.03199337681264968,0.33449097092378893,0.32482632724960736,-0.11384032743433534,0.9173017266441645,-0.12929429412081928
2020-03-31,211.86229,2.97859,26.03797,0.76438,-0.658328,-0.42642090000000005,-0.31631889999999996,-0.6135837,-0.6700993,0.18441400000000002,0.0,0.0,0.0,0.0,14869504.428405443,1641.2582913188955,414.09671487704225,864.925136099906,8.67516119645453,160.18423013592317,4.754942946969142,0.05199404434056069,0.8806159556594393,446.53129989107094,18.213208094052035,13.664742662523816,0.3310204713856382,0.0018197915519196242,2.98649,247.13672388716878,0.0,0.7387168140248984,0.035817308338553275,0.33114387947714735,0.3068229161887539,-0.10770134210737332,0.9020902094636314,-0.16337339543873297
2020-04-01,239.98782,3.9112,28.12553,0.93261,-0.64789,-0.419155,-0.3016255,-0.6052352,-0.6647812000000001,0.18192250000000001,0.0,0.0,0.0,0.0,14869218.274291942,1727.2693361802799,443.5640916004803,940.6287126733706,9.396604495208766,174.20454082620657,5.616697010186052,0.061417097250610515,1.0402129027493896,520.0433342357004,23.900761041021177,15.232772228925388,0.3599934224041787,0.0021495984037713687,3.9191,275.2622538871688,0.0,0.6932477162386511,0.03916832856127511,0.3274941501154842,0.28741667217986266,-0.10117458817220948,0.8855609900282408,-0.19231327378958973
