,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-11,65.25104,2.26106,15.66378,0.34516,0.0046914942857142795,0.145561992777778,0.0618596376984127,-0.0996470876190478,0.034546615317460304,-0.00580852047619048,0.0,0.0,0.0,0.0,207129187.6693325,1424.5171889120634,97.28082664278907,856.7297309713124,12.128363394024804,181.90189093433457,1.2725322288761254,0.01810442065163763,0.27018557934836235,81.1015870059409,14.110257412125067,12.459948508474598,0.4266067513896027,0.0006336547228073171,2.60622,211.97528037510307,0.0,0.9157252641469107,0.0019648423414084927,-0.0007989070713406692,1.2621258941925926,-0.1765177943834155,3.0957478142858506,-2.18002255013894
2020-03-12,87.71915,2.54935,22.46811,0.28829,-0.0185781666666667,0.131159848174603,0.0564766529365079,-0.114920024603175,0.0162800538095238,-0.000621208888888888,0.0,0.0,0.0,0.0,207128472.80785382,1965.0835357327924,174.44929280608136,873.7686264963636,12.147896309589353,185.5196098057521,0.7833208551679116,0.011144370213464268,0.16631562978653575,156.59132452926428,15.671079641001192,13.588336465986107,0.43509123325644283,0.0003900529574712494,2.89451,229.943431388075,0.0,7.350110796807503,0.009876364010514187,0.0026594297898749936,1.10665003146244,-0.1602224594482397,2.96002562335209,4.390085173455413
2020-03-13,119.94062,2.72681,32.22147,0.17746,-0.0488673436507936,0.110243807539683,0.049304284285714296,-0.136367809285714,-0.00916649658730158,0.00680776642857143,0.0,0.0,0.0,0.0,207127549.21324122,2648.3276481268585,240.64815488486278,951.2951731165656,13.04362300632948,201.98013979323753,1.9878764066542824,0.028281681086631545,0.42206831891336843,233.42193293467045,16.631860496169104,15.61182339544645,0.4736954126195218,0.000989858838032104,3.07197,262.164901388075,0.0,5.2961370466832145,0.01397670559412715,0.005268912661638218,0.8928207653667445,-0.13878723236931903,2.770241067207078,2.5258959794761364
2020-03-14,164.38928,3.17716,44.44866,0.45035,-0.08665321452380949,0.0825483622222222,0.0393070632539683,-0.16398357174603198,-0.042106973650793605,0.0166003175396825,0.0,0.0,0.0,0.0,207126382.50592005,3491.1590381188566,324.3196283839596,1075.4853089289898,14.60133067723966,228.34833938175888,3.7316106038002967,0.05308993088448415,0.7923000691155158,316.933346939062,19.070086902823387,18.40316974128439,0.5355356271916316,0.0018581475809569454,3.5223199999999997,306.613561388075,0.0,4.85013189919614,0.019019471003175345,0.00552411271897915,0.6314927169443292,-0.10943753330480896,2.538517917906514,2.311613981289626
2020-03-15,224.29239,4.02255,59.90311,0.84539,-0.132446131269841,0.047991578809523795,0.025214422222222203,-0.197649666587302,-0.0827347239682541,0.0288370495238095,0.0,0.0,0.0,0.0,207124970.44846097,4476.284449267822,427.5344867818157,1256.695646211998,16.956098748360994,266.8231369953035,6.014876572202786,0.08557414355392323,1.2770858564460765,411.23309693611066,23.647087506623684,22.16504528945228,0.6257689300780316,0.0029950950243873135,4.36771,366.516671388075,0.0,4.355879545594732,0.02274773379879609,0.001369448987324686,0.340269812599576,-0.06910852686516857,2.283469356269746,2.072410189324986
2020-03-16,303.25969,5.38521,78.9673,1.36266,-0.186266722380952,0.00675089809523809,0.0060271301587301596,-0.23694891777777802,-0.130900411746032,0.0434828945238095,0.0,0.0,0.0,0.0,207123319.4345389,5579.905096230839,548.1749624727313,1506.2734464231223,20.255450376418576,319.81379688773495,8.791988687771882,0.12508434596461324,1.8667256540353871,521.3342859337589,31.02462407882647,27.124139316036846,0.750045666040398,0.004377952108761464,5.73037,445.483971388075,0.0,3.863666160016265,0.02522322530971681,-0.009766578607553183,0.04335530495106533,-0.016163739826680665,2.0283636080648457,1.8353025519514192
2020-03-17,404.50976,7.37702,101.25007,1.99181,-0.24617630436507898,-0.0399582737301587,-0.0181687195238095,-0.280266076031746,-0.18508426690476198,0.0600400561111111,0.0,0.0,0.0,0.0,207121441.26686046,6775.737139097682,683.3266074563376,1833.0150877930714,24.60885210081369,389.18797670614504,12.072790326519213,0.17176058063642355,2.563309419363576,653.2411933140796,41.808422766598355,33.48257650875166,0.9127459729510824,0.006011620322274822,7.72218,546.734041388075,0.0,3.4281684450557854,0.027013018361370024,-0.030109351551885717,-0.22638466425638457,0.047373579546776276,1.8018181852865203,1.6263502597692652
2020-03-18,530.72287,10.11209,126.21311,2.73507,-0.309746451587302,-0.0906611047619048,-0.0470156134920635,-0.325686373015873,-0.24342379507936499,0.0778951099206349,0.0,0.0,0.0,0.0,207119341.8825145,8046.592541670591,829.7706488597933,2242.734756649661,30.08241722215603,476.18015151196914,15.83198886757185,0.22524300737255962,3.3614669926274408,813.7219876465159,56.616283093117566,41.408676044605876,1.1167650125531834,0.007883505258039587,10.45725,672.9471513880749,0.0,3.074271753646373,0.028417887808960582,-0.06085040877189433,-0.43918121229950396,0.11841907053873338,1.6293260710153492,1.4449456826310236
2020-03-19,683.98477,13.6988,153.2619,3.58671,-0.37454874484127,-0.143882734761905,-0.0801561105555555,-0.37129507666666695,-0.304056525476191,0.09643455833333339,0.0,0.0,0.0,0.0,207117009.88164482,9394.737960196946,985.4022045639044,2738.008082220956,36.69613708034478,581.3371820128419,20.26658425326125,0.28833436055049755,4.303025639449502,1010.0438629097782,76.03498196068941,51.03342163921277,1.3633853139548284,0.010091702619267418,14.04396,826.2090513880748,0.0,2.812450199507058,0.02995760851196547,-0.1018898638789329,-0.5729536148573009,0.19372187356839254,1.529817016380173,1.2826331831268851
2020-03-20,865.99243,18.29016,182.00766,4.59136,-0.43810946158730196,-0.19795030563492103,-0.11681843460317501,-0.41518861246031796,-0.36500128976190505,0.11500613626984099,0.0,0.0,0.0,0.0,207114425.36913502,10830.671545496041,1150.4988539355386,3319.304034127766,44.440852069409154,704.7586404049092,25.58227214374086,0.36396108924015436,5.431658910759846,1249.6861206117214,100.89292621395066,62.46338188223278,1.6528403995834544,0.012738638123405402,18.63532,1008.2167113880748,0.0,2.6249361274600793,0.03184272574022434,-0.15165899107921452,-0.6148858950888657,0.26915745779774264,1.5135511931776766,1.1113849342824027
