,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-18,50.8666,0.18317,12.33898,0.03521,-0.33170789999999994,-0.1854205,0.0166673,-0.23579170000000002,-0.2590775,0.11834910000000001,0.0,0.0,0.0,0.0,3014726.7084554643,187.02184633146842,181.7548587820246,91.76080079450031,10.113539166627975,59.537974746571784,0.04622991205025471,0.00516423587901745,0.02999576412098255,10.515619188337352,0.5055156141505865,10.784997646628154,0.35876349220028897,0.00018074825576561073,0.21838,74.52721463304468,0.0,0.01,0.0014860138058668667,-0.24973074353017882,0.10905948015137822,0.006214394954387158,0.3165055038221253,-0.30650550382212527
2020-03-19,65.28716,0.21833,14.42056,0.03516,-0.4011103,-0.24364519999999998,-0.024773800000000002,-0.3005686,-0.32041849999999994,0.142166,0.0,0.0,0.0,0.0,3014532.096304061,358.7509078396056,157.41602344425877,111.96741137034272,12.191124764778657,72.64880921795557,0.041062575464432725,0.004587004735543657,0.02664299526445634,22.27022120046165,0.5869055262008412,13.782523748707158,0.4377666625404829,0.000160545165744028,0.25354,94.93546480173177,0.0,1.0710419915238034,0.0015302634837315457,-0.19870376356955222,0.09644114328150535,-0.010987470291366637,0.33771228166712525,0.7333297098566782
2020-03-20,81.59938,0.24956,16.31222,0.03123,-0.4674044,-0.3006032,-0.07017369999999999,-0.36565820000000004,-0.3801137,0.16536840000000003,0.0,0.0,0.0,0.0,3014394.5484264307,452.4077465383109,160.43365636723627,127.1437013466643,13.680756854104658,82.49577613120682,0.027782651923261716,0.0031035353846313634,0.01802646461536863,36.5818255780091,0.6591981016652739,16.37865043451718,0.49710244365188416,0.0001086237384620977,0.28476999999999997,112.61084145211964,0.0,0.8742680385345357,0.0011954483583542935,-0.11658790204933878,0.06242419505791441,-0.0365551731617734,0.36024349209334094,0.5140245464411948
2020-03-21,99.61359,0.27069,18.01421,0.02113,-0.5280918,-0.3541585,-0.11642799999999999,-0.4274114,-0.4359285,0.18709869999999998,0.0,0.0,0.0,0.0,3014320.1051252545,471.5178045148496,174.1363512779001,141.70098162489649,15.088095715342845,91.94110548840334,0.003050437882724428,0.00034075731624916023,0.0019792426837508398,52.79705493254413,0.7081107535885356,19.024544337081313,0.5540180401194118,1.1926506068720615e-05,0.30589999999999995,130.62505145211964,0.0,0.46458099772300226,0.00012878721853470124,-0.012827344973292965,0.010887192469794027,-0.06983274580106967,0.3791894739419701,0.08539152378103215
2020-03-22,119.1664,0.27301,19.55281,0.00232,-0.5807654999999999,-0.4020827,-0.1598994,-0.4820022,-0.48557290000000003,0.2064903,0.0,0.0,0.0,0.0,3014244.9410907845,489.0391614609384,186.6176841841129,157.20301785925992,16.590311142774496,101.99942923722232,0.03648691864034609,0.004075868761169915,0.023674131238830082,70.83158722104113,0.71348119147126,21.896424966706203,0.6146274137027009,0.00014265540664094704,0.30821999999999994,150.17786145211963,0.0,0.43235120343262756,0.0014192333480456264,0.09938438379392167,-0.0512971114040458,-0.10775900174156963,0.39129064289484505,0.04106056053778251
2020-03-23,140.12067,0.3007599999999999,20.95427,0.02775,-0.6230187,-0.4421479,-0.1969502,-0.5256045,-0.5267572,0.2226769,0.0,0.0,0.0,0.0,3014172.6325989296,501.5935552495604,198.0005571980331,173.37784582885428,18.156010302607786,112.49428641856429,0.09376151957632717,0.010473881130055014,0.06083611886994497,90.80235644305158,0.7777181101116061,24.974149453413226,0.6778672472467253,0.0003665858395519256,0.33596999999999994,171.13213145211964,0.0,0.3883218211672998,0.003403124995525971,0.20427759413589586,-0.1149299407614015,-0.1451707439875974,0.3951392816334357,-0.006817460466135905
2020-03-24,162.35306,0.37207,22.23239,0.07131,-0.6531234,-0.4726822,-0.2246474,-0.5553455,-0.5577753,0.23499009999999998,0.0,0.0,0.0,0.0,3014105.382038587,507.5905419381651,207.96221868599227,189.99593885603713,19.7592017414758,123.27675120115032,0.17010135727933595,0.01900162672549737,0.11036837327450263,112.79104800350933,0.9427896296879332,28.239601845742826,0.7428401445680259,0.0006650569353924081,0.4072799999999999,193.36452145211965,0.0,0.3406438032101382,0.005818987522259191,0.287093676850241,-0.17054695323375602,-0.17619562769803665,0.39131346816498713,-0.050669664954848925
2020-03-25,185.70399,0.50144,23.35093,0.12937,-0.672068,-0.4942383,-0.2428761,-0.5721649,-0.5792575999999999,0.24355429999999997,0.0,0.0,0.0,0.0,3014044.9202799434,506.10612058695426,216.06903793487433,206.79568700178513,21.370822223313727,134.1770808864843,0.2664136740507,0.02976045147345039,0.17285954852654964,136.84967676216914,1.2422609869672692,31.66934332795059,0.8085232713571191,0.0010416158015707636,0.53665,216.71545145211965,0.0,0.29187782691678704,0.008677170459591974,0.34265639879154963,-0.2135199643132385,-0.19804189420681448,0.3820569125180354,-0.09017908560124838
2020-03-26,209.96519,0.70406,24.2612,0.20262,-0.6815199,-0.5079252000000001,-0.252226,-0.5779555,-0.5924185,0.24869219999999997,0.0,0.0,0.0,0.0,3013991.7040879317,497.60364943095686,221.88693893405554,223.46931683727234,22.95718464765278,144.99558010928556,0.3836188606308964,0.042853170081403054,0.24890682991859694,162.9965685870115,1.7112946610179693,35.232783586995474,0.8737133047443696,0.0014998609528491067,0.73927,240.97665145211965,0.0,0.2475968879470571,0.012025786028720759,0.3713736809312196,-0.24239890745003878,-0.2096870015899603,0.3702501441377593,-0.12265325619070222
2020-03-27,234.87965,0.99582,24.91446,0.29176,-0.6831466,-0.514852,-0.25328649999999997,-0.5746103,-0.5984725000000001,0.2507264,0.0,0.0,0.0,0.0,3013941.639972621,487.04003260475736,225.15141496389037,239.6677036794391,24.480563986198614,155.50572320300108,0.5210726435015911,0.058207812254113055,0.3380921877458869,191.21054277595087,2.386673521648866,38.89217346863214,0.9370452480272279,0.0020372734288939577,1.03103,265.8911114521196,0.0,0.22712141945646963,0.015906425425234988,0.3763828692765816,-0.2574859475194843,-0.2110266573913631,0.35883263661227305,-0.13171121715580342
2020-03-28,260.16066,1.39212,25.28101,0.3963,-0.6786208,-0.5161935,-0.2468291,-0.5641149999999999,-0.5986678,0.2500378,0.0,0.0,0.0,0.0,3013892.7295968398,476.6699485885617,226.2737428026021,255.03454075979087,25.903048165107347,165.47632448484498,0.6719641311832529,0.07506354915616206,0.435996450843838,221.42572806240076,3.304046165150457,42.60540153745463,0.9971260242114559,0.0026272242204656727,1.4273299999999998,291.1721214521196,0.0,0.21894386127206034,0.020215173365304633,0.362494997304488,-0.2604444680989003,-0.20292889707752668,0.35008400437459974,-0.1311401431025394
