,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-28,54.2364,0.48468,7.08977,0.13393,-0.6579153999999999,-0.42006390000000005,-0.2741669,-0.629099,-0.670261,0.1931993,0.0,0.0,0.0,0.0,4017874.552135034,225.53263017095819,179.97370106501583,267.32097818904873,4.731999505485645,64.0871581610162,0.7766305200437031,0.013941683213599487,0.1861883167864005,29.805430712315026,3.0192066422037436,5.078054484009176,0.1679584441154896,0.00048795891247598207,0.61861,75.80250948276358,0.0,0.01,0.009279837893800514,0.5001198263838978,0.9451964222601685,-0.5810331465940517,1.074371776332826,-1.064371776332826
2020-03-29,62.34028,0.68481,8.10388,0.20013,-0.6510736,-0.4188834,-0.2660696,-0.6223134,-0.6713912999999999,0.1919113,0.0,0.0,0.0,0.0,4017704.7105011814,367.811731458213,133.04534106474097,306.32228075552416,5.348276266793148,73.4372759968702,1.0855286832150357,0.019486868762005616,0.2602431312379945,53.96336743138958,3.995967162247447,6.142100660293311,0.19246306078238695,0.0006820404066701967,0.81874,91.07667387146688,0.0,0.9441995048246857,0.018313931478103437,0.49832122675838153,0.9377412773904668,-0.5566910150160009,1.0894601634156587,-0.14526065859097292
2020-03-30,71.56584,0.96454,9.22556,0.27973,-0.6411503999999999,-0.4145216,-0.2540609,-0.614702,-0.6690098,0.1896399,0.0,0.0,0.0,0.0,4017482.8593255538,544.7225046612346,122.97913441176098,326.71379600298917,5.624952499344094,78.32590939803511,1.4404511204468209,0.025858259091870256,0.3453317409081298,81.60151050732763,5.361225845462482,6.928695510510983,0.20527510118910508,0.000905039068215459,1.09847,102.36808144128638,0.0,1.6686489804819977,0.032873669443315795,0.49558551281501934,0.9104300528021301,-0.5213952755460802,1.0947089643538805,0.5739400161281172
2020-03-31,82.00294,1.33573,10.4371,0.37119,-0.6295416,-0.40839129999999996,-0.2393627,-0.6072668,-0.6642064999999999,0.1868823,0.0,0.0,0.0,0.0,4017345.9286708357,615.1004369241681,138.74734273053255,341.95883894302995,5.810473764398042,81.9807347121148,1.8081020247037554,0.03245814450463403,0.43347185549536604,111.02660310001305,7.172866965909304,7.655776617134974,0.21485360007845256,0.0011360350576621913,1.4696600000000002,112.80518144128638,0.0,1.115031359808902,0.04464171082005538,0.4921941840997462,0.872669641501254,-0.4795031416882608,1.095449358195551,0.019582001613350997
2020-04-01,93.77827,1.80166,11.77533,0.46593,-0.6169817,-0.401337,-0.22304549999999998,-0.6002555,-0.6576782,0.18388079999999998,0.0,0.0,0.0,0.0,4017188.5194925535,697.3941993349049,156.6027710500418,360.9625368369938,6.066319760640118,86.53665471818833,2.1484332924189045,0.038567601446785,0.5150623985532149,141.76906346318137,9.44689899061306,8.476083020950465,0.2267936713453388,0.0013498660506374752,1.9355900000000004,124.58051144128638,0.0,1.1363921200643838,0.047016092118012824,0.48829315736380713,0.8301203389102605,-0.43468362674416294,1.093818543812716,0.04257357625166791
2020-04-02,107.06897,2.35529,13.2907,0.55363,-0.60404,-0.39406129999999995,-0.20614180000000001,-0.5937273,-0.6500234,0.1808139,0.0,0.0,0.0,0.0,4017005.9657181986,794.8131315374683,177.14010150553344,384.2100558016368,6.399677822388971,92.10998246384946,2.4212415948177077,0.04346491983941004,0.5804650801605903,174.16719879314957,12.148962283031963,9.401954849696713,0.24140014608330507,0.001521272194379351,2.4892200000000004,137.87121144128636,0.0,1.1678577936350818,0.046944856177627975,0.48402147388944416,0.7872474363799516,-0.39012506551195436,1.0912325190402528,0.07662527459482904
2020-04-03,122.10265,2.97922,15.03368,0.62393,-0.5912856,-0.3872666,-0.1896841,-0.5877414000000001,-0.6418405,0.1778602,0.0,0.0,0.0,0.0,4016789.120944714,914.6545244843657,201.10071313306025,412.3694044490006,6.820992179874007,98.86086540128414,2.6047177902290213,0.046758592863639196,0.6244514071363608,208.60249397077123,15.194133877849671,10.449248129537947,0.25909273578635517,0.0016365507502273718,3.113150000000001,152.90489144128637,0.0,1.2265134684669448,0.044647085743477304,0.47956129414457715,0.7481366869842425,-0.3485724200244492,1.0892142353871819,0.13729923307976288
2020-04-04,139.16984,3.65043,17.06719,0.67121,-0.5792918,-0.3815258,-0.17464670000000002,-0.5823929,-0.6336878,0.1751811,0.0,0.0,0.0,0.0,4016529.5507892924,1062.6107328227708,229.8125369142365,446.2535910331128,7.343225430800839,106.98421299444487,2.7500861971686956,0.049368173901871516,0.6593018260981284,245.5160936479127,18.470061668078692,11.6382020910945,0.2803822555888814,0.001727886086565503,3.784360000000001,169.97208144128638,0.0,1.293317696297847,0.04152235956827104,0.4751403864648495,0.7157906404487042,-0.31218451597036406,1.0888351852260012,0.20448251107184579
2020-04-05,158.67377,4.3591,19.50393,0.70867,-0.5686473,-0.3768941,-0.1617709,-0.5779212,-0.6259644999999999,0.1728695,0.0,0.0,0.0,0.0,4016218.8299371866,1243.668784272846,264.7505542179926,486.9851939389092,7.984771719379508,116.74915061834298,2.9267712897464686,0.052539936439797784,0.7016600635602023,285.4218188919638,21.92881786524739,12.996907000304612,0.30597402431849247,0.0018388977753929228,4.493030000000001,189.47601144128637,0.0,1.3548078271926831,0.038669129760002204,0.4710327803308818,0.6901599569285758,-0.28222537524604724,1.0890560362962216,0.2657517908964615
2020-04-06,181.14285,5.1133,22.46908,0.7542,-0.559945,-0.3732971,-0.1517395,-0.5746015,-0.6190295,0.17100100000000001,0.0,0.0,0.0,0.0,4015849.976426167,1460.7626090993144,307.3895107555871,536.0224954142155,8.769833142027979,128.5052848234741,3.204275154675892,0.0575215472258094,0.7681884527741908,328.93406628983325,25.60978915499386,14.562173554349602,0.33678428438566166,0.002013254152903329,5.247230000000001,211.94509144128637,0.0,1.3961053344841379,0.03674872313419152,0.46754605919534586,0.6705422920568284,-0.25965052737251804,1.0885264981624674,0.3075788363216705
2020-04-07,207.23065,5.93901,26.0878,0.82571,-0.5537776,-0.3706601,-0.1452357,-0.572709,-0.6132419,0.169651,0.0,0.0,0.0,0.0,4015422.667577268,1709.808727060568,358.95258767343853,595.152228876148,9.728196420792404,142.6809645851788,3.635180331039519,0.06525694173956587,0.871493058260434,376.7980134760569,29.63977430966975,16.37953148839118,0.37393564489806547,0.002283992960884806,6.072940000000001,238.03289144128638,0.0,1.3931264999854476,0.035907588987956054,0.46500494399102266,0.6563199029569022,-0.2453727426915764,1.08604077853916,0.30708572144628765
2020-04-08,237.69455,6.87576,30.4639,0.93675,-0.550489,-0.36880450000000004,-0.1426604,-0.5722859,-0.6088368,0.1688461,0.0,0.0,0.0,0.0,4014934.3217838313,1989.48407342503,419.6562365432617,666.4505211189589,10.894449495634962,159.77391764307154,4.204701617811187,0.07548070343660213,1.008029296563398,429.9191016852326,34.21170464070927,18.501742267638537,0.41873254155136597,0.002641824620281074,7.009690000000001,268.4967914412864,0.0,1.363564765845841,0.0355670153854234,0.4636262115866424,0.6463928171673046,-0.23979713080964576,1.0803105722271125,0.2832541936187285
2020-04-09,273.3103,7.95927,35.61575,1.08351,-0.549428,-0.367133,-0.14328670000000002,-0.572441,-0.6055541,0.1684169,0.0,0.0,0.0,0.0,4014381.3172849165,2299.669484055965,489.46522654309524,751.9475188597731,12.301899386729346,180.2708485372593,4.8810954600318315,0.08762298787237083,1.1701870121276294,489.38891598312875,39.49991625852046,20.982847069091374,0.4724505206429185,0.003066804575532979,8.093200000000001,304.1125414412864,0.0,1.3209246027214103,0.03531611716726448,0.4631778668091777,0.6375078434960525,-0.24114902252933584,1.069625362058706,0.25129924066270437
2020-04-10,314.85066,9.21708,41.54036,1.25781,-0.5496943000000001,-0.3649442,-0.1461054,-0.57205,-0.6030096,0.1681447,0.0,0.0,0.0,0.0,4013768.390968005,2631.9038144060332,568.3443268509783,853.547721014456,13.981198729779598,204.6283391793653,5.632695915346199,0.10111534386502533,1.3503746561349748,556.4806241817911,45.638821718552286,23.87667877697565,0.5362861836399755,0.0035390370352758865,9.351010000000002,345.6529014412864,0.0,1.255470818722839,0.034941680813550965,0.4632905583368894,0.6259551246892235,-0.24726566017054938,1.0520686971383748,0.20340212158446414
2020-04-11,363.0854,10.66857,48.23474,1.45149,-0.5503878,-0.36153660000000004,-0.1501077,-0.5699885,-0.6008194,0.167811,0.0,0.0,0.0,0.0,4013129.79961241,2949.2446172729838,655.2367306369105,973.0452834962788,15.960698872618828,233.27651800359732,6.421550420490275,0.11527646595397004,1.5394935340460298,632.6372112547932,52.72300763389848,27.23686198274358,0.6113668032232488,0.004034676308388952,10.802500000000002,393.8876414412864,0.0,1.1268293816609334,0.034306601424616355,0.4635835218795845,0.6081545206453456,-0.25604173717245426,1.0257849796352874,0.10104440202564602
2020-04-12,418.6946,12.32334,55.6092,1.65477,-0.5509132999999999,-0.35658999999999996,-0.154482,-0.5655331,-0.5987629,0.1672644,0.0,0.0,0.0,0.0,4012493.1222925396,3225.953940993878,744.9993270387381,1111.8205183424861,18.26106769297044,266.54629909100396,7.184676347470708,0.12897572145766434,1.7224442785423362,719.4611299009979,60.79932805438876,31.110773191266524,0.6985596329234564,0.004514150251018252,12.457270000000001,449.4968414412864,0.0,0.9748496332812224,0.03329341188148724,0.4638050258995191,0.5827155396868435,-0.26575566457682687,0.9908535752923471,-0.01600394201112465
2020-04-13,481.92185,14.17476,63.22725,1.85142,-0.5518958,-0.3513102,-0.1592063,-0.559565,-0.5972746,0.1666219,0.0,0.0,0.0,0.0,4011878.515219395,3446.8716655955213,831.4674291862684,1269.5300807930385,20.871938690957048,304.35536944808405,7.852804447385386,0.14096962341581865,1.8826203765841814,818.6764780432458,69.83542440185947,35.515381645606496,0.7976489483628033,0.004933936819553651,14.308690000000002,512.7240914412864,0.0,0.8280810434354792,0.032005029477005564,0.4642180288193577,0.5560869909769629,-0.27639011819659653,0.9540035758825353,-0.1259225324470561
