,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-02,56.70211,1.63873,12.42678,0.50289,-0.5696324,-0.3534603,-0.15620979999999998,-0.4371062,-0.6309902000000001,0.1441451,0.0,0.0,0.0,0.0,7073593.496385886,910.0421886873535,36.19508283135252,462.86641325619314,5.012893745974461,85.72291053714402,3.6662531758254464,0.04008950944597461,0.6789904905540256,70.21805143863062,13.060740440578643,5.314982681517012,0.1771462660867179,0.001403132830609111,2.14162,105.16649107900227,0.0,2.201780427918439,0.01483728841657589,-1.107082355206138,3.163302525297165,-0.28274130947359616,2.411973633612194,-0.21019320569375477
2020-04-03,71.81669,2.35781,15.11458,0.71908,-0.5597927,-0.3499665,-0.1446167,-0.4284943,-0.627868,0.1433346,0.0,0.0,0.0,0.0,7073301.763593967,1090.4628232499545,111.44563047459823,454.8507476852722,4.834807511472674,84.23840839364672,5.054175854141077,0.05526607708988517,0.9360339229101149,109.91243924696552,17.44607361640409,5.645868171145109,0.17407854463313605,0.0019343126981459812,2.8607000000000005,111.1015384559829,0.0,8.065509036001897,0.1670247829604199,-1.0211969710620203,3.080760111534267,-0.25998546277821816,2.438072450688791,5.627436585313106
2020-04-04,90.09086,3.34911,18.27417,0.9913,-0.5514517,-0.3484384,-0.1359949,-0.4202732,-0.6256883,0.1423693,0.0,0.0,0.0,0.0,7072966.164091706,1292.7309402754538,133.54031094041122,508.73500275289933,5.343407844164428,94.21777834626025,6.640992308377257,0.07261749560363978,1.2299125043963601,148.8333963545366,23.491549470545166,6.664673465176852,0.19470089767652082,0.0025416123461273923,3.8520000000000003,129.3757084559829,0.0,3.0140046244456844,0.07127710861833943,-0.9502309350714269,3.0449799499164776,-0.24324615059240762,2.489997637247406,0.5240069871982782
2020-04-05,111.98798,4.65164,21.89712,1.30253,-0.5449421999999999,-0.3486549,-0.1309776,-0.4130681,-0.6247086000000001,0.1414006,0.0,0.0,0.0,0.0,7072585.247480017,1515.6199812330208,158.3104788590338,575.5518216937284,5.9896797297457836,106.59226054760974,8.312699338595936,0.09089717012823531,1.5395128298717646,192.31011680117044,31.435071778922424,7.885462249567517,0.22027274659053747,0.0031814009544882363,5.15453,151.2728284559829,0.0,2.8554590470958603,0.07445773690786732,-0.8960191565189826,3.0500373469876156,-0.23357734784313136,2.5589356156202645,0.2965234314755958
2020-04-06,137.94676,6.28205,25.95878,1.63041,-0.5404994,-0.350182,-0.1300462,-0.40759140000000005,-0.6250529,0.1406037,0.0,0.0,0.0,0.0,7072155.982212577,1759.6448716284926,185.60592736040925,656.6389816665348,6.785940852223795,121.6096114743287,9.955191774197216,0.10885739078243337,1.8437026092175663,241.4465215482744,41.37818111751836,9.332693094558305,0.25130607976264757,0.0038100086773851685,6.784940000000001,177.2316084559829,0.0,2.7148455507963365,0.07521771053955544,-0.859608834552624,3.0858217586706593,-0.2317883103644353,2.632919386748363,0.0819261640479736
2020-04-07,168.38128,8.23461,30.43452,1.95256,-0.5383581000000001,-0.3525859,-0.13368180000000002,-0.404555,-0.6268454,0.140154,0.0,0.0,0.0,0.0,7071668.30187856,2032.294441013899,215.48971527670895,753.212138441876,7.743108604262132,139.49497070854915,11.468997234555355,0.12541045337575304,2.124059546624247,297.459347267332,53.285932891715575,11.029451420507717,0.28826614780173854,0.004389365868151356,8.7375,207.6661284559829,0.0,2.6311017460245876,0.0739117948960588,-0.8422310023783002,3.142548429498736,-0.2387819802203532,2.7000302198948454,-0.0689284738702578
2020-04-08,203.71596,10.48408,35.33468,2.24947,-0.5385318,-0.3553577,-0.1419398,-0.404424,-0.6300319,0.14018370000000002,0.0,0.0,0.0,0.0,7071109.483798517,2342.7990029779394,248.87894001431434,866.49366193129,8.872139763057636,160.47472129204968,12.812868586955743,0.14010533141403805,2.372944668585962,361.6674167906438,67.00440012627092,12.999399114269872,0.331620770924193,0.004903686599491332,10.986970000000001,243.0008084559829,0.0,2.597160439435289,0.07112134594115468,-0.8436365313757714,3.208558319377997,-0.25477141232567646,2.748645148671312,-0.15148470923602275
2020-04-09,244.5256,12.99713,40.80964,2.51305,-0.5401473,-0.35768880000000003,-0.15317119999999998,-0.406674,-0.6338438,0.1406519,0.0,0.0,0.0,0.0,7070465.677436756,2700.3888711093123,286.9039646818353,998.4116220450476,10.191675420758177,184.9059419838285,13.960089517996076,0.15264988907165442,2.585410110928345,435.4920197712615,82.33031871322666,15.27458191488569,0.3821078518500546,0.005342746117507903,13.500020000000001,283.8104484559829,0.0,2.591078737778032,0.0670934612508221,-0.8567437129589206,3.264571855773188,-0.27674942998697527,2.769573485822055,-0.17849474804402288
2020-04-10,291.57035,15.73519,47.04475,2.73806,-0.5421101,-0.35869549999999994,-0.1653011,-0.4105332,-0.6373340000000001,0.1414743,0.0,0.0,0.0,0.0,7069724.90500828,3111.2939468374566,330.6951523878819,1151.7273318912971,11.729293995895446,213.30002827458387,14.8840456849359,0.1627531055452032,2.7565268944547965,520.5174444167023,99.02846823122273,17.897379029961222,0.4407841885940328,0.005696358694082113,16.23808,330.85519845598293,0.0,2.5865616920740155,0.062053257802411534,-0.8727538028861845,3.288902557730688,-0.3007852047359927,2.753858323103274,-0.1672966310292585
2020-04-11,345.79571,18.65447,54.22536,2.91928,-0.5433254000000001,-0.35749400000000003,-0.1762549,-0.4152299,-0.6395554,0.1425668,0.0,0.0,0.0,0.0,7068886.434943654,3569.7380010112875,381.01542962226847,1329.9410259575861,13.520324901211234,246.30522397557928,15.592639814067878,0.17050139505791614,2.8877586049420847,618.5623571479107,116.83179391615863,20.920503135667644,0.5089893760200863,0.0059675488270270645,19.15736,385.08055845598295,0.0,2.540428351362843,0.05639907231597909,-0.8827135276288041,3.2598735941411605,-0.32275778262803556,2.692897056879084,-0.1524687055162408
