,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-20,52.86619,0.24222,12.38153,0.04092,-0.3807723,-0.16911020000000002,-0.0635154,-0.3155275,-0.29662330000000003,0.1092437,0.0,0.0,0.0,0.0,21167724.16514296,434.83206330507744,235.98167685329588,294.63696053434177,5.222130646364615,70.63585363843697,0.14466989350536774,0.0025970416739268913,0.034682958326073106,23.96232053692952,1.3819016321649633,5.5514811402638,0.18512114464607426,9.089645858744122e-05,0.28314,81.1436919284947,0.0,0.42753607051963155,0.0013183625659108755,-0.2857628751706088,0.012088754790572281,0.06647816321952854,0.6633872849560003,-0.23585121443636875
2020-03-21,67.2329,0.2795,14.36671,0.03728,-0.44238570000000005,-0.22222750000000002,-0.10461880000000001,-0.3595928,-0.355642,0.12770099999999998,0.0,0.0,0.0,0.0,21167293.073435996,812.7188936060279,191.48529097204636,351.1051578937787,6.142798762261982,84.17346045013448,0.10400088910793606,0.0018669720188101042,0.024933027981189897,50.606309903259465,1.563851525670331,6.946659432664194,0.22060025531949903,6.534402065835367e-05,0.32042,101.17118985541126,0.0,1.8270867049309039,0.001338160168474233,-0.24008168430832588,-0.045191197238833136,0.11663241517609003,0.7019427757454394,1.1251439291854646
2020-03-22,83.48404,0.3063,16.25114,0.0268,-0.4976271,-0.27141149999999997,-0.1444031,-0.39723640000000005,-0.40932769999999996,0.1446319,0.0,0.0,0.0,0.0,21167145.193610992,861.167692576337,211.6967068671879,388.9418101692961,6.718431063082267,93.24436665095503,0.02797934367418728,0.0005022712035679423,0.006707728796432055,82.30753991743711,1.694652414778267,8.07876479287933,0.2443731192742331,1.7579492124877974e-05,0.34722,117.42232985541125,0.0,0.7728347713502487,0.0004436611831539203,-0.1773552460180775,-0.12426409369546987,0.17051550435281804,0.7394794067557791,0.03335536459446964
2020-03-23,101.4505,0.31351,17.96646,0.00721,-0.5436703,-0.3139151,-0.1795372,-0.4265768,-0.4550227,0.1591232,0.0,0.0,0.0,0.0,21166991.61888539,909.4385118822598,229.46941934383182,430.65486021128294,7.360301653613621,103.24459504129356,0.09243661113996407,0.0016593758764200262,0.022160624123579976,117.36732810455565,1.7298417584524541,9.330364721874517,0.27058153371228366,5.807815567470092e-05,0.35442999999999997,135.38878985541123,0.0,0.7262424351939841,0.0013258037476497877,-0.10934628767088805,-0.2127611100508741,0.22246695939908706,0.7709428037938333,-0.04470036859984916
2020-03-24,120.92531,0.33733,19.47481,0.02382,-0.5783708,-0.347575,-0.2072962,-0.44631,-0.4906836,0.17045369999999999,0.0,0.0,0.0,0.0,21166826.103708453,963.805082082946,245.7917766782672,475.05219711998666,8.046009788139052,113.8883506180962,0.2676082579434057,0.004803969791684508,0.0641560302083155,156.13020862933715,1.8460983695924182,10.687041040592547,0.29847649235179446,0.0001681389427089578,0.37825,154.86359985541122,0.0,0.7223287654941857,0.0035409844820052153,-0.04864234299535486,-0.29610949445832696,0.2664093024996063,0.7922407071624329,-0.06991194166824721
2020-03-25,141.78538,0.40629,20.86007,0.06896,-0.6023111,-0.37256140000000004,-0.227382,-0.4574426,-0.5167251,0.1786707,0.0,0.0,0.0,0.0,21166643.353613112,1028.8224110851006,262.01103378121087,521.3981437499724,8.761839867461262,124.99926316943889,0.5081297171564607,0.009121690900858025,0.12181830909914199,198.83195888833012,2.182666627535824,12.140218913742551,0.32759576738873886,0.00031925918153003093,0.44721,175.72366985541123,0.0,0.744792474613313,0.006277064266802556,-0.0020275173409876057,-0.365562704326855,0.29979920490375667,0.8027922253524225,-0.05799975073910946
2020-03-26,164.02196,0.53723,22.23658,0.13094,-0.6167553,-0.3896278,-0.2401029,-0.46155880000000005,-0.5341763,0.1840135,0.0,0.0,0.0,0.0,21166439.956653114,1106.605618552788,279.4742099057073,569.4429033811123,9.503092066037821,136.5174467783264,0.8246339155013589,0.014803416193923405,0.19769658380607663,245.6412059389041,2.821736344692285,13.689288788893013,0.35778241091449386,0.0005181195667873193,0.5781499999999999,197.96024985541123,0.0,0.7778129802204702,0.009556325657992372,0.027966954980053194,-0.41671463921385143,0.3216382703985709,0.803473828281281,-0.025660848060810815
2020-03-27,187.74062,0.74973,23.71866,0.2125,-0.6229673,-0.3995278,-0.24576730000000002,-0.46024279999999995,-0.5440665,0.18672149999999998,0.0,0.0,0.0,0.0,21166220.594610207,1190.9173948002053,299.2293925478932,619.3935849559724,10.273372222714682,148.49255345354862,1.221777609206813,0.021932741432916916,0.2929072585670831,296.7036039400571,3.858870260193644,15.341605003209075,0.3891665499994879,0.0007676459501520921,0.79065,221.67890985541123,0.0,0.786667880180087,0.013273937060525346,0.0412993753400237,-0.4477685663780429,0.3315355934339376,0.7956496445124268,-0.00898176433233977
2020-03-28,213.13588,1.06457,25.39526,0.31484,-0.6222948,-0.4031605,-0.2448227,-0.4549804,-0.5474909,0.1870994,0.0,0.0,0.0,0.0,21165987.42499045,1278.8088164118615,321.1267034283885,671.8068236660854,11.08250118841884,161.05803013892353,1.6803516788293804,0.03016483409943893,0.4028451659005612,352.1832851646952,5.395487869400457,17.11071842971682,0.42209791993701185,0.001055769193480363,1.10549,247.07416985541124,0.0,0.7812133278051567,0.01705081971990049,0.039843468152929384,-0.4594178409683438,0.3298777118542697,0.7808865811553636,0.0003267466497931526
2020-03-29,240.38954,1.49758,27.25366,0.43301,-0.6164183,-0.40200600000000003,-0.23827310000000002,-0.4468638,-0.5458094,0.1857133,0.0,0.0,0.0,0.0,21165742.448399197,1367.8493038662646,344.71721468206886,727.1750491292269,11.938975556533101,174.33193122364025,2.175248447035914,0.03904897370984389,0.5214910262901561,412.2944883441546,7.508849548229837,19.009293826364736,0.45688591549659807,0.0013667140798445361,1.5385000000000002,274.32782985541127,0.0,0.7650518294715735,0.02056751276709257,0.027251116238765638,-0.45570080806892377,0.31846383583031235,0.7605973861166626,0.004454443354910853
