,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-04,56.01078,0.81635,7.87961,0.1756,-0.4647905,-0.272319,-0.13121,-0.36279130000000004,-0.5012317000000001,0.1251729,0.0,0.0,0.0,0.0,3484068.4122584574,135.14216281264345,110.4207417326419,74.62153671989913,8.195636920706264,48.417353927953215,0.2614961578087217,0.029211127179152165,0.16966887282084778,18.03372384935594,2.296209421451939,8.92777745926869,0.29175293671355634,0.001022389451270326,0.99195,65.68166272285728,0.0,0.2646855157741819,0.020564823884167683,-0.12058535995608277,0.10316136333723963,0.00027294264825899334,0.3001834506453991,-0.03549793487121716
2020-04-05,64.35308,1.01523,8.3423,0.19888,-0.4532528,-0.2719756,-0.1182271,-0.35597140000000005,-0.4905876,0.122932,0.0,0.0,0.0,0.0,3484005.351480527,181.6874338536707,106.07813782394327,80.8394977227305,8.746751456356435,52.451808749144476,0.29318389615943674,0.03275089067984388,0.1902291093201561,27.57214039146373,2.7565855792606606,10.253411401039504,0.31606372502867636,0.001146281173794536,1.19083,74.70706173339391,0.0,0.5714710503988029,0.02470583292103584,-0.1203526172836366,0.1033719062238766,0.002170194998581336,0.30252398855480456,0.2689470618439983
2020-04-06,73.02353,1.23821,8.67045,0.22298,-0.44460120000000003,-0.2731902,-0.10843209999999999,-0.3508089,-0.48187019999999997,0.1212596,0.0,0.0,0.0,0.0,3483995.4173192764,169.42418996580855,108.25721470320818,86.10990434132074,9.191990183015033,55.87145344976698,0.32775114268393024,0.03661231733682252,0.21265768266317744,37.878157462139676,3.272749475420097,11.526911087536286,0.33666979502184796,0.0012814311067887883,1.41381,83.37751173339392,0.0,0.09415598750298342,0.02874937286992024,-0.12008588755508445,0.10262336031452307,0.0033218841723983723,0.3031938615478202,-0.20903787404483676
2020-04-07,81.87209,1.48748,8.84856,0.24927,-0.43896430000000003,-0.275103,-0.102287,-0.3471923,-0.4751762,0.1201154,0.0,0.0,0.0,0.0,3483986.960717486,157.20475864838224,108.52221276735325,91.1980525587639,9.618827957161075,59.172841814449846,0.3659210615354348,0.04087619013454369,0.23742380986545628,48.82859708770807,3.8497706181040274,12.826571241962869,0.3565632768519672,0.0014306666547090289,1.66308,92.22607173339392,0.0,0.07879155213056056,0.03145144520690372,-0.11986958353256362,0.10142270305149115,0.003921621679349544,0.30280924581426033,-0.22401769368369978
2020-04-08,90.74231,1.76578,8.87022,0.2783,-0.43625590000000003,-0.2768373,-0.09999859999999999,-0.34499270000000004,-0.47049599999999997,0.11943540000000001,0.0,0.0,0.0,0.0,3483978.503573411,146.50310121228588,107.24065472399239,95.9112374704551,10.005942307472354,62.2309394097033,0.4041698710218372,0.04514887562147821,0.26224112437852176,60.39899991378182,4.493991679639462,14.129412777195467,0.37499073894540386,0.0015802106467517375,1.9413799999999999,101.09629173339393,0.0,0.07879617169068072,0.03465415739406688,-0.11975372285609018,0.10031102067698133,0.004120766099560918,0.3020125685364353,-0.22321639684575462
2020-04-09,99.50778,2.07317,8.76547,0.30739,-0.4355319,-0.2774476,-0.10075189999999999,-0.34401200000000004,-0.46739669999999994,0.1190619,0.0,0.0,0.0,0.0,3483969.1179212574,138.0624922029321,104.89102969079478,100.11465883807037,10.338863966868043,64.95828260055825,0.43792191431905103,0.04891923782325232,0.28414076217674755,72.54021797822298,5.2055515506612995,15.416868825843109,0.3914251435711027,0.0017121733238138308,2.24877,109.86176173339393,0.0,0.08860250086331747,0.03799682161937694,-0.1197214395474604,0.0999146010052096,0.004056661053276201,0.3015843271270086,-0.21298182626369114
2020-04-10,108.0812,2.40623,8.57342,0.33306,-0.4356336,-0.2759713,-0.1034769,-0.3440349,-0.46533929999999996,0.11881370000000001,0.0,0.0,0.0,0.0,3483958.130589545,132.28029550486852,101.95231616320265,103.7391907054794,10.610688789384067,67.31001977941337,0.4626015346029896,0.051676140765492304,0.30015385923450766,85.18593451285201,5.97653346498035,16.676116925100384,0.4055962242404514,0.0018086649267922304,2.5818299999999996,118.43518173339393,0.0,0.1060796676152754,0.04103729900086546,-0.11972600778042931,0.10086886718956722,0.0038128838725753986,0.30229024789769654,-0.19621058028242114
2020-04-11,116.41442,2.75806,8.33322,0.35183,-0.4354021,-0.2714456,-0.107103,-0.3448462,-0.46378480000000005,0.1185094,0.0,0.0,0.0,0.0,3483945.903474913,128.470018831636,98.86152849261313,106.77528714200228,10.82123882615225,69.27995717534648,0.4750662549168808,0.053068545661200076,0.3082414543387999,98.2611533639033,6.790964999583339,17.900084891873586,0.41746665857398746,0.0018573990981420024,2.9336599999999997,126.76840173339393,0.0,0.12153569165921389,0.04335778966593946,-0.11971559323627036,0.10369516765551773,0.0034596236054472776,0.3047737026406779,-0.18323801098146397
2020-04-12,124.49501,3.11937,8.08059,0.36131,-0.4340337,-0.2634231,-0.110716,-0.34613819999999995,-0.4623112,0.1180133,0.0,0.0,0.0,0.0,3483932.116026682,126.71154391302719,95.88892555423236,109.25833185919578,10.97529468392015,70.89105311595357,0.47803780216470726,0.05340049028823589,0.31016950971176405,111.6898751344941,7.62734125450022,19.08694703071402,0.42717478869400277,0.0018690171600882566,3.2949699999999997,134.84899173339392,0.0,0.14137261553603211,0.044993001748634694,-0.11965287699579652,0.10833806844994598,0.003074850619448401,0.3090945466895811,-0.16772193115354897
2020-04-13,132.33263,3.48294,7.83762,0.36357,-0.43214379999999997,-0.2535162,-0.11402509999999999,-0.3472343,-0.46096519999999996,0.1173707,0.0,0.0,0.0,0.0,3483915.8662685915,127.65625111420646,93.26341380143774,111.2460721008703,11.079986159786193,72.18077625793659,0.47565793467861617,0.05313464083030013,0.3086253591696999,125.40086498229759,8.468949056664927,20.23812218458503,0.4349463929576497,0.001859712429060505,3.6585399999999995,142.6866117333939,0.0,0.17170476146084956,0.0461568690495329,-0.11956300879273384,0.11342371162313128,0.002693726102892549,0.31388893354927316,-0.1421841720884236
