,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-03,56.78278,1.68967,9.75803,0.45824,-0.4918091,-0.2796626,-0.1240086,-0.4174414,-0.5242226999999999,0.1342186,0.0,0.0,0.0,0.0,8601551.204883277,639.6044943004066,35.29133041986131,460.4960073800756,4.846341189785361,84.0353747709241,3.0395139113372083,0.032302681267374456,0.5546773187326255,72.62480568244867,13.27026906726005,5.133908532056212,0.17128855681609628,0.0011305938443581063,2.14791,103.42754000000001,0.0,1.342054795884432,0.012584050169836866,-1.2879411320096095,1.6119855862400463,0.47380751402565896,1.9796418785809284,-0.6375870826964964
2020-04-04,67.93132,2.27665,11.14854,0.58698,-0.4859966,-0.2801791,-0.1163201,-0.4133265,-0.5240991,0.1331355,0.0,0.0,0.0,0.0,8601385.06446206,727.5556870040219,78.32727647990849,453.252483271787,4.6819850616263325,82.71351257592825,3.7712487418443152,0.040079252683594246,0.6882107473164059,112.00829182496601,16.89676297859726,5.448263009390498,0.16859421686333467,0.0014027738439257988,2.73489,109.13975285249913,0.0,4.712315020884461,0.12749699964023056,-1.233826155177308,1.6184467332801866,0.4376540597426142,2.0040645481703256,2.708250472714135
2020-04-05,80.60928,3.00494,12.67796,0.72829,-0.4824812,-0.282702,-0.11182589999999999,-0.4109044,-0.5262003,0.1325542,0.0,0.0,0.0,0.0,8601193.654191067,830.0809078883146,89.0979596896456,481.84142493185846,4.907791674766107,87.93067491437446,4.528874692247646,0.04813098408198867,0.8264690159180113,150.68727341970583,21.396301720441574,6.145956458912667,0.17922831244586476,0.0016845844428696039,3.4631800000000004,121.81771285249913,0.0,2.446863461277737,0.06898586207875715,-1.2015488958802822,1.6501915165847574,0.4169360133111513,2.047368544340459,0.3994949169372779
2020-04-06,95.03057,3.87954,14.42129,0.8746,-0.4813195,-0.28670829999999997,-0.1106476,-0.4104835,-0.5304310999999999,0.1326346,0.0,0.0,0.0,0.0,8600970.286232984,952.0818897767225,101.65340824250701,516.6613709892193,5.2011885738671975,94.28492591663904,5.273296171503901,0.05604238388947401,0.962317616110526,191.73955093232505,26.79977641268922,6.93958883877974,0.1921801257363044,0.001961483436131591,4.33778,136.23900285249914,0.0,2.5106955360079644,0.0706150420662784,-1.1909573525741517,1.7012311766972905,0.4115547597511293,2.1036184941991007,0.4070770418088636
2020-04-07,111.48407,4.8979,16.4535,1.01836,-0.4825685,-0.2916748,-0.11290660000000001,-0.4123724,-0.5366960000000001,0.1335368,0.0,0.0,0.0,0.0,8600703.209453782,1102.9292363603245,116.59389838031613,558.8036545919106,5.572409422177796,101.97542168532821,5.975049085171179,0.06350032004633556,1.0903796799536642,235.6955641073416,33.09143258419312,7.84505779212184,0.20785559484690141,0.0022225112016217453,5.35614,152.69250285249913,0.0,2.631492287448804,0.07012975962561158,-1.2023463356168262,1.7655765257251654,0.42189003220750293,2.1669101326406746,0.4645821548081295
2020-04-08,130.35582,6.05178,18.87175,1.15388,-0.486106,-0.2970346,-0.1184751,-0.4166323,-0.5446969,0.135342,0.0,0.0,0.0,0.0,8600378.408209927,1293.1115257987822,135.06697342497796,609.775179132298,6.036010609108604,111.27715524815898,6.643350671932534,0.07060274950622746,1.2123372504937724,283.17829351696383,40.2203616693643,8.883607870842706,0.22681523561971076,0.0024710962327179602,6.51002,171.56425285249912,0.0,2.7902919357577285,0.06798203664207082,-1.2348360902322892,1.8363499228840554,0.4476970966151136,2.2310008395917125,0.559291096166016
2020-04-09,152.2176,7.33472,21.86178,1.28294,-0.4910948,-0.3020465,-0.1262275,-0.42233580000000004,-0.5533232,0.137816,0.0,0.0,0.0,0.0,8599980.583589302,1533.1173362517557,158.35708614177747,671.9173362217514,6.615249082899981,122.61740440644473,7.297360360511174,0.07755329065595896,1.331686709344041,334.938745890208,48.146652341296836,10.086705269863902,0.24992996459608224,0.002714365172958564,7.79296,193.42603285249913,0.0,2.9502258287480365,0.06446135676051996,-1.2812407859950312,1.9037809691636625,0.48440799443551297,2.288738087928977,0.6614877408190596
2020-04-10,177.84909,8.74396,25.63149,1.40924,-0.49651870000000004,-0.30592569999999997,-0.1347889,-0.42830820000000003,-0.5612616,0.14064590000000002,0.0,0.0,0.0,0.0,8599495.339657893,1831.2492425520275,187.74868929599978,748.46106815406,7.342516593090207,136.58578001928183,7.956030450671133,0.0845533606024819,1.4518866393975178,391.9273223382245,56.85325270180801,11.497257336165813,0.2784015803449283,0.002959367621086866,9.2022,219.05752285249912,0.0,3.0692883458847082,0.059943452370502075,-1.3324702794708556,1.9568028279584375,0.5260083089400731,2.3321307677524876,0.7371575781322206
2020-04-11,208.23787,10.2804,30.38878,1.53644,-0.5013618000000001,-0.30788730000000003,-0.142784,-0.4333749,-0.5671987000000001,0.1435186,0.0,0.0,0.0,0.0,8598916.007028727,2187.068328730434,224.25853320790912,843.4607951365427,8.258489256603198,153.9221684616669,8.640539878487527,0.09182804021121511,1.5768019597887852,455.3697634463175,66.34572315247914,13.169612568787645,0.3137381866823684,0.0032139814073925297,10.73864,249.44630285249912,0.0,3.090860029308742,0.054909410644323337,-1.3788986495446784,1.9838902989899745,0.5658600920888158,2.3526416518589444,0.7382183774497975
2020-04-12,244.53609,11.94903,36.29822,1.66863,-0.5049151,-0.3074962,-0.1491169,-0.4366735,-0.570288,0.1461789,0.0,0.0,0.0,0.0,8598238.157389639,2597.950684493162,267.83286732888615,961.5024984787655,9.408903519880145,175.46346006894595,9.38050808512163,0.09969211250176645,1.7118378874982338,526.8372653528938,76.65489303096666,15.167176082421904,0.35764560973395415,0.0034892239375618255,12.40727,285.74452285249913,0.0,3.027875500082887,0.04990685493668836,-1.4133731287088724,1.978474863901888,0.5981142381449933,2.3450058836628416,0.6828696164200454
2020-04-13,287.8872,13.76056,43.35111,1.81153,-0.5076988,-0.3057167,-0.1538064,-0.4385906,-0.5715511999999999,0.1486031,0.0,0.0,0.0,0.0,8597459.071095537,3059.8880484896326,318.1503622297702,1106.7661111064879,10.834539102147621,201.9724458844811,10.207781148045807,0.10848402425221067,1.8628059757477893,608.291395384455,87.84693111608829,17.55287421339211,0.41167863969757423,0.0037969408488273725,14.218800000000002,329.09563285249914,0.0,2.91415878517786,0.04547265341072005,-1.440623746236942,1.9539276969872188,0.6223900908649416,2.317483951940051,0.5966748332378091
2020-04-14,339.38264,15.73185,51.49544,1.97129,-0.5105398999999999,-0.3038625,-0.1571506,-0.43982509999999997,-0.572477,0.1508254,0.0,0.0,0.0,0.0,8596582.052926555,3563.342322658926,374.7201580154105,1282.7936267893328,12.568893454618939,234.095500185348,11.190970534985045,0.11893294941531056,2.04222705058469,702.0484395399725,100.02600226413409,20.386771083887194,0.4771547755120404,0.004162653229535871,16.19009,380.5910728524991,0.0,2.761985265219883,0.04196798784513737,-1.46865629763884,1.92851229810395,0.6399054119213999,2.2815513227113424,0.48043394250854066
2020-04-15,400.0344,17.89301,60.65176,2.16116,-0.5140726999999999,-0.3030182,-0.1594207,-0.4409334,-0.5742131,0.1528646,0.0,0.0,0.0,0.0,8595612.963462794,4097.392066885585,436.3741996602908,1492.2455280869494,14.635765674099895,272.3181313047104,12.545956403634076,0.13333317192243832,2.289496828077561,810.7239263901673,113.37813279911913,23.724558523979347,0.5550636244937536,0.004666661017285343,18.35125,441.2428328524991,0.0,2.591622502024285,0.03994657368557813,-1.5038237406052604,1.9169943850775875,0.6518916967233611,2.246852251520521,0.344770250503764
