,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-13,56.07596,7.51224,7.56789,0.41452,-0.6761135,-0.43446640000000003,-0.32322409999999996,-0.391963,-0.7618751,0.1920941,0.0,0.0,0.0,0.0,3272197.687459509,528.612365221844,17.363959859728453,166.37137710411116,1.8081683305862268,30.811997299841565,2.277922614862453,0.024908481713123057,0.4218715182868768,233.2783618874533,48.34160817267357,1.9096128234895495,0.06367294621868792,0.0008717968599593073,7.926760000000001,79.32590175599549,0.0,2.8511284946823183,0.019216392225360663,1.9896507994098496,2.3065852952956374,0.15296974500259441,3.056243007910344,-0.20511451322802587
2020-04-14,65.11521,7.95902,9.03925,0.44678,-0.6738232000000001,-0.4271537,-0.3207797,-0.39696820000000005,-0.75851,0.1928341,0.0,0.0,0.0,0.0,3272050.323606497,611.6846895264183,64.7349530067294,166.38830185406124,1.775272405803687,30.815131765389904,2.5587498175721177,0.02797925294898595,0.4738807470510141,247.15112433933442,51.06631078753602,2.0683493675344793,0.06367942358704355,0.0009792738532145083,8.37354,82.17313724650832,0.0,8.5149800630843,0.17626220299382683,2.0104966080576645,2.1899722968431763,0.14246618378686637,2.94997225688997,5.56500780619433
2020-04-15,75.73004999999999,8.46088,10.61484,0.50186,-0.6724831,-0.420234,-0.3187143,-0.4022468,-0.755943,0.193502,0.0,0.0,0.0,0.0,3271888.493318841,699.0766113528904,74.90815999888807,205.63413688595023,2.174324864828146,38.0834647207388,2.9320134252404997,0.032060791841097815,0.5430092081589022,260.9959793054458,54.12692060510814,2.660138498712525,0.07869942274067931,0.0011221277144384235,8.8754,92.78797724650832,0.0,2.5080492026311765,0.054176040335982445,2.0226069411450887,2.0820789254443866,0.13370221189965004,2.845425246691388,-0.3373760440602114
2020-04-16,88.01303,9.03595,12.28298,0.57507,-0.6719762,-0.41399790000000003,-0.3172784,-0.40742710000000004,-0.7541453,0.1940483,0.0,0.0,0.0,0.0,3271711.9563930896,790.4992943440204,85.61035375145045,250.1412782785035,2.6255920520478613,46.32619219153961,3.3589645863680837,0.036729389940065825,0.6220806100599341,278.1891176763214,57.63400403034864,3.344928289465594,0.0957330066994284,0.0012855286479023036,9.450470000000001,105.07095724650831,0.0,2.364301295364949,0.053636006897349014,2.027171004153427,1.9868874917337869,0.12766928323415705,2.7487649473236337,-0.3844636519586846
2020-04-17,102.05089,9.69476,14.03786,0.65881,-0.6719633,-0.40856560000000003,-0.31643899999999997,-0.4121115,-0.7528636,0.1944388,0.0,0.0,0.0,0.0,3271519.892918713,886.2853983043536,96.80616277248271,299.95925895920317,3.129018958945586,55.552487681398524,3.801007405448112,0.04156301132985,0.7039469886701499,299.1764585885915,61.651778616716726,4.127554591227942,0.1147991324947377,0.0014547053965447499,10.109280000000002,119.10881724650831,0.0,2.2506793009721595,0.05310709752056226,2.0272870342505875,1.9055442667751152,0.12416531321420421,2.6640337824421696,-0.4133544814700101
2020-04-18,117.92457,10.44027,15.87368,0.74551,-0.672105,-0.40405749999999996,-0.3161634,-0.4159021,-0.7518445,0.19463940000000002,0.0,0.0,0.0,0.0,3271308.9516320224,989.2590456164913,108.53632526303966,355.1390022829158,3.6846096342786554,65.77178220122595,4.22362481344746,0.046184220983820114,0.7822157790161799,324.4072821441267,66.19829602216484,5.012529898985602,0.1359172892965121,0.001616447734433704,10.854790000000001,134.9824972465083,0.0,2.1860213671164,0.05218701649522984,2.0260121758630287,1.839155991325812,0.12301851855717683,2.5952238539482804,-0.4092024868318802
2020-04-19,135.72169,11.26867,17.79712,0.8284,-0.6721170999999999,-0.4004716,-0.3163543,-0.4184982,-0.7508575999999999,0.1946207,0.0,0.0,0.0,0.0,3271074.814779364,1102.8658548248204,121.14668903477099,415.7793228285656,4.292931404100476,77.00237622188408,4.609328841860426,0.050401792588631776,0.8536482074113683,354.3343466445072,71.2503208356123,6.00473912515118,0.15912529500034747,0.0017640627406021125,11.683190000000002,152.7796172465083,0.0,2.1641707454689914,0.05079754477128884,2.0259032803081247,1.7870712479285937,0.12381267668919937,2.5438243731281807,-0.3796536276591893
2020-04-20,155.58658,12.17272,19.86489,0.90405,-0.6719365,-0.3973162,-0.3166575,-0.4199871,-0.7497634999999999,0.1943713,0.0,0.0,0.0,0.0,3270812.742514212,1230.5524404611665,135.05921159231514,482.27438789361844,4.957807403019411,89.31726957012559,4.944812319316778,0.05407021574258563,0.9157797842574145,389.4180068713078,76.76369967747273,7.112228827685316,0.1845740036387677,0.0018924575509904973,12.587240000000001,172.6445072465083,0.0,2.1702505568947688,0.0488223191772016,2.0275280700078504,1.741769197817535,0.12507579689872328,2.5014102329263714,-0.3311596760316027
2020-04-21,177.73275999999998,13.14257,22.14618,0.96985,-0.671555,-0.3939776,-0.3166541,-0.4205532,-0.7484456,0.1938846,0.0,0.0,0.0,0.0,3270518.2943825363,1375.0448201454133,150.69597241097222,555.3561996851219,5.686718229734392,102.85202913503689,5.2167170891153685,0.05704342253286463,0.9661365774671353,430.1516187717231,82.6783619967895,8.346902983971479,0.2125435639847924,0.001996519788650262,13.557090000000002,194.7906872465083,0.0,2.1872350171956265,0.046201195872154925,2.0309564476824615,1.6943768769827594,0.1250616204715671,2.457432113339051,-0.27019709614342435
2020-04-22,202.44296,14.16575,24.7102,1.02318,-0.6709645000000001,-0.3898417,-0.31592549999999997,-0.4203808,-0.7467873,0.193154,0.0,0.0,0.0,0.0,3270189.5744421063,1536.1916037868687,168.39080519220073,636.0651472347251,6.490414052118781,117.79933507946775,5.416987468970772,0.05923332620288448,1.0032266737971156,477.0905459934212,88.91825908590488,9.7245241058382,0.24343214930603396,0.0020731664171009575,14.580270000000002,219.50088724650828,0.0,2.1885821689334124,0.04299681912732395,2.0362527595406856,1.6364365314244766,0.12203005293373437,2.4017565121011595,-0.21317434316774708
2020-04-23,230.05465,15.22821,27.61169,1.06246,-0.6701758,-0.3845549,-0.3141429,-0.4195881,-0.7447094,0.19220020000000002,0.0,0.0,0.0,0.0,3269825.4274407937,1713.1203063891808,188.12517039540074,725.6330396929649,7.381581715248817,134.3873185932953,5.558624718267696,0.06078209208763887,1.0294579079123611,530.8785711468801,95.39770655487565,11.263906520971874,0.27771119236429925,0.0021273732230673607,15.642730000000002,247.1125772465083,0.0,2.169910303716729,0.03948472549126838,2.0433073226636314,1.5636136746954743,0.11466634960061595,2.3286245151619847,-0.15871421144525577
