,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-18,67.85038999999999,0.78917,18.45856,0.23591,-0.3649581,-0.17840399999999998,-0.043610100000000006,-0.411628,-0.30414549999999996,0.1057192,0.0,0.0,0.0,0.0,17263150.019933384,1116.0976813585285,37.72354984398913,470.1886150752153,8.358527957647292,112.72236224769635,1.2371449047615675,0.022208607447636617,0.29659139255236344,41.33034883107906,5.003036395774743,8.793629085585575,0.295420691499195,0.0007773012606672816,1.02508,130.96576,0.0,2.7458032162665265,0.005051067592568973,1.5655153349847175,-0.2237551314027443,0.14116991617596705,1.3985882933099656,1.3472149229565609
2020-03-19,90.89936,1.10797,23.04897,0.3188,-0.4292071,-0.2332265,-0.0775914,-0.4691418,-0.3677074,0.1256447,0.0,0.0,0.0,0.0,17262808.786963847,1320.729605010519,136.67960817250733,464.8295144190132,8.111623100613901,111.43757893708037,1.6063480610947407,0.028836358114412482,0.38510364188558743,83.84583715355353,6.55898130053631,9.332072000532419,0.2920535550545668,0.0010092725340044369,1.34388,138.69499749000394,0.0,9.04864421379438,0.053555088782734295,1.5687993736345747,-0.27210720030366814,0.29757885846050824,1.50992920534344,7.538715008450941
2020-03-20,118.90386,1.52191,28.0045,0.41394,-0.4891292,-0.2857003,-0.11284050000000001,-0.52138,-0.42663260000000003,0.1445797,0.0,0.0,0.0,0.0,17262443.717785496,1524.2189079935265,161.73925269241735,538.0892290628739,9.291485862171182,129.00076066347566,2.0529697897302768,0.0368538883250414,0.49217611167495856,125.78130907817656,8.57926936163105,11.282953265486434,0.3380828183442807,0.001289886091376449,1.75782,166.69949749000395,0.0,2.672481389281741,0.018890892535128278,1.4983856756409342,-0.3094018975147587,0.5027756131544187,1.6074175648326197,1.0650638244491213
2020-03-21,152.04287,2.05094,33.13901,0.52903,-0.5430788,-0.33424329999999997,-0.14758459999999998,-0.5669304000000001,-0.4794765,0.16197140000000002,0.0,0.0,0.0,0.0,17262063.22775067,1718.2890631248572,186.65896954476304,625.455611842712,10.712188627069434,149.9458553174677,2.6133327892521407,0.0469132450234063,0.6265167549765938,174.26252893122557,11.161269151361328,13.591520593884503,0.3929753367657963,0.0016419635758192206,2.28685,199.83850749000396,0.0,2.354309426220816,0.020321367475974687,1.3743241869890612,-0.336076612743796,0.7478361033517334,1.7017418511490243,0.6525675750717919
2020-03-22,190.28772,2.72437,38.24485,0.67343,-0.5896209,-0.3773355,-0.1799005,-0.6047446999999999,-0.5250277,0.177317,0.0,0.0,0.0,0.0,17261673.420728557,1898.0021317617816,210.42519825786357,725.6548955108254,12.347243093789588,173.96749171712824,3.323720951942394,0.0596657785220398,0.7968242214779604,230.55406820882934,14.448031940613468,16.25577674364531,0.4559307991481062,0.0020883022482713932,2.96028,238.08335749000398,0.0,2.090461301206712,0.022394910687321294,1.221110087058546,-0.3534538459990125,1.013913426396826,1.797227841008385,0.29323346019832686
2020-03-23,233.40207,3.58086,43.11435,0.85649,-0.6273206,-0.413457,-0.20786480000000002,-0.6337748,-0.562075,0.19011399999999998,0.0,0.0,0.0,0.0,17261267.652152378,2071.775725048214,232.43322875110428,836.6614357586268,14.1574198610518,200.5800447234882,4.221543552838368,0.07578304144263329,1.0120669585573667,295.80235703293994,18.62824289255586,19.25925752943581,0.5256764880684828,0.0026524064504921657,3.81677,281.19770749000395,0.0,1.930775240375233,0.02523173838872672,1.0656424699845881,-0.3634534288763146,1.2738315059482366,1.8916787206085357,0.03909651976669726
2020-03-24,281.02568,4.66871,47.62361,1.08785,-0.6551904999999999,-0.4414854,-0.22990200000000002,-0.6534806000000001,-0.5898064000000001,0.19998729999999998,0.0,0.0,0.0,0.0,17260834.911403723,2251.3648470412413,253.71389892704073,956.0724101219572,16.09765925397671,229.20746503306012,5.348556172790859,0.09601460911811205,1.282255390881888,370.967853280163,23.93763644539423,22.576867503492718,0.6007027041187472,0.0033605113191339225,4.9046199999999995,328.82131749000393,0.0,1.8646012194750856,0.02894089717264189,0.9326654678218906,-0.3683429430242714,1.498053977360509,1.9780346757101537,-0.11343345623506806
2020-03-25,333.00952,6.04698,51.98384,1.37827,-0.6740344,-0.461889,-0.2458288,-0.6653548,-0.6090072,0.20707129999999999,0.0,0.0,0.0,0.0,17260362.749350894,2448.5252988824777,275.7067506603887,1082.434318382626,18.14092570969462,259.5012925324578,6.747523356500222,0.12112816929650913,1.6176418307034903,456.7913069623613,30.664462618185087,26.198224768802476,0.680096209449694,0.004239485925377821,6.282889999999999,380.8051574900039,0.0,1.8642248105717727,0.03344827931141677,0.8340619036782648,-0.37032517384898883,1.6707472856771344,2.0501421890584357,-0.185917378486663
2020-03-26,389.49951,7.78575,56.48999,1.73877,-0.6851037999999999,-0.47553379999999995,-0.2558096,-0.6713985,-0.6208621,0.2116284,0.0,0.0,0.0,0.0,17259837.189755827,2675.10175663826,299.8514234384679,1215.4997327833107,20.28240865349894,291.40220923652214,8.461287261270622,0.15189280298855837,2.0284971970114416,553.8802801860186,39.15075597468531,30.13349457002869,0.7637015445779994,0.005316248104599542,8.021659999999999,437.29514749000396,0.0,1.909882779727376,0.03859781175390542,0.772869725356923,-0.3709093042623843,1.7835197784436687,2.101138373090233,-0.19125559336285702
2020-03-27,450.93654,9.96614,61.43703,2.18039,-0.6896502999999999,-0.48328560000000004,-0.2600092,-0.6736126,-0.626556,0.2139204,0.0,0.0,0.0,0.0,17259242.45270797,2943.293200447032,327.5984405539232,1356.1467102014649,22.537618246786955,325.12071927538517,10.52679148651652,0.1889717032397474,2.5236782967602522,662.8187285824098,49.79243323595593,34.41339068677485,0.8520703948520455,0.00661400961339116,10.20205,498.73217749000395,0.0,1.9875381089471942,0.04415333879258161,0.7470353445741758,-0.3709764406300707,1.8320190077356577,2.1237360852317884,-0.13619797628459418
