,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-28,54.6607,0.87127,11.87295,0.25251,-0.6567628000000001,-0.40485869999999996,-0.3028284,-0.6461529,-0.5881581,0.18704529999999997,0.0,0.0,0.0,0.0,3505396.99163571,753.9355907541442,232.68764498913214,344.79605720488314,3.7188867915957795,63.856267637580025,1.7266692169508902,0.01888067150939223,0.31977932849060786,48.095178177201184,6.853409518174778,4.000005744951642,0.13195888132298003,0.0006608235028287278,1.12378,76.9751711880737,0.0,1.4176716032059213,0.015176698436887081,0.424559248864816,-0.7429896670102647,0.1636998317754046,0.8104848685766566,0.6071867346292648
2020-03-29,68.36195,1.20993,13.70125,0.33866,-0.6541799,-0.40581470000000003,-0.2967364,-0.6451255,-0.5925362,0.1874401,0.0,0.0,0.0,0.0,3505072.162235432,986.5279154219287,228.6337633750673,398.4032110494036,4.239083004797401,73.78431841326083,2.223827178755889,0.02431696241732595,0.4118530375826741,77.67073738942437,8.918738735125668,4.881106932116698,0.15247518336418453,0.0008510936846064084,1.46244,92.7793616214956,0.0,1.3969619278697556,0.027598376635452955,0.4160661483421464,-0.7439367244221793,0.16000806550852223,0.7973529443751898,0.5996089834945658
2020-03-30,83.8908,1.6461,15.52885,0.43617,-0.6481798000000001,-0.4037236,-0.28685279999999996,-0.6418683000000001,-0.5929524,0.1866836,0.0,0.0,0.0,0.0,3504890.7343819225,1047.2911791583383,254.74278700565864,446.2127556842579,4.690874286321643,82.63865132699246,2.770033028906332,0.030289579020412204,0.5130104209795879,111.79730167271335,11.578735913881557,5.746857584005394,0.1707726490536707,0.0010601352657144273,1.8986100000000001,108.30821162149559,0.0,0.7945796988523226,0.03498649288260239,0.39654456598200305,-0.7418602452398968,0.1540533981776537,0.7739531738664605,0.02062652498586215
2020-03-31,101.19298,2.1894,17.30218,0.5433,-0.640301,-0.40000250000000004,-0.27457719999999997,-0.6371545,-0.5904672,0.185177,0.0,0.0,0.0,0.0,3504738.0075677214,1071.9770789066492,277.4782926872628,499.0645547720279,5.194432753554881,92.42681031881881,3.3377037033742702,0.03649690780401738,0.6181430921959826,149.9668501937413,14.89206894278789,6.7114733549153796,0.19099986493330245,0.0012773917731406085,2.44191,125.61039162149558,0.0,0.6007037525795011,0.037835694692807495,0.37135213480534657,-0.7381201535509214,0.1467175816618623,0.7451650178629882,-0.14446126528348702
2020-04-01,120.03936,2.84404,18.84638,0.65464,-0.6314354999999999,-0.3955519,-0.2609607,-0.6313709,-0.5859656,0.1831869,0.0,0.0,0.0,0.0,3504628.623720654,1050.369479789542,293.81952941567397,555.4394432104071,5.732418688544344,102.86744584505612,3.894412531694318,0.04258437169733379,0.7212456283026661,192.60530721845197,18.88441264616216,7.76217999260858,0.21257542259293039,0.001490453009406683,3.09655,144.4567716214956,0.0,0.39547270588646244,0.040529268750815806,0.3436042031499298,-0.7335711515633456,0.13865819449165243,0.713906701024937,-0.3184339951384746
2020-04-02,139.99564,3.60787,19.95628,0.76383,-0.622314,-0.39114350000000003,-0.2469671,-0.6248074,-0.5802886,0.1809461,0.0,0.0,0.0,0.0,3504567.79285825,982.9360556413355,300.74589341829915,612.9133973459625,6.277975085809189,113.51162845903889,4.407987770055694,0.04820018118514186,0.8163598188148583,240.0069888508498,23.54265517785648,8.874764789246665,0.23457161000417304,0.0016870063414799654,3.86038,164.41305162149558,0.0,0.20841301961305703,0.043322703429697317,0.31571757686977064,-0.72898400769675,0.1304608043767786,0.6824098284964999,-0.47399680888344287
2020-04-03,160.42236,4.47243,20.42672,0.86456,-0.6136668000000001,-0.38754869999999997,-0.2335606,-0.617754,-0.5742772,0.17868760000000003,0.0,0.0,0.0,0.0,3504524.1866715373,906.6260939501707,296.5452282674001,668.2158007271037,6.795516006499376,123.75363963496467,4.852987738329105,0.053066138219748114,0.898773861780252,292.25701918942895,28.815202947912177,10.013577138902168,0.2557367107417119,0.0018573148376911839,4.72494,184.83977162149557,0.0,0.14660593400821614,0.04659778956190715,0.2899014797190027,-0.7251835794656787,0.12268833614846482,0.6526216913484894,-0.5060157573402733
2020-04-04,180.56377,5.42427,20.14141,0.95184,-0.6061475000000001,-0.38535490000000006,-0.2216458,-0.6105212999999999,-0.5686801,0.1766191,0.0,0.0,0.0,0.0,3504476.3007878773,844.0402222480096,284.7394613778816,717.7154246604415,7.246166257084477,132.9209754202708,5.231859732398734,0.05720900333479841,0.9689409966652017,349.158921739672,34.62003068624128,11.136483138860791,0.2746809963959707,0.0020023151167179445,5.67678,204.98118162149558,0.0,0.1634610922804645,0.05094727727601989,0.2679436088728806,-0.7228378628215333,0.11584721339026063,0.6261684143883086,-0.46270732210784415
2020-04-05,199.90333,6.45042,19.33956,1.02615,-0.6001008999999999,-0.3844133,-0.21189029999999998,-0.6035028,-0.5638770000000001,0.1748468,0.0,0.0,0.0,0.0,3504406.127304415,811.5145056718361,270.15940920434264,759.2519560945613,7.607803348567537,140.61354560072917,5.5539340678230165,0.06073080106481763,1.0285891989351823,410.204181177531,40.87804041864001,12.214685109852882,0.29057768113916743,0.0021255780372686174,6.70293,224.32074162149559,0.0,0.24894764704102365,0.05632599707542468,0.25061756895337894,-0.7218249147547753,0.11029251267433376,0.6043006218196381,-0.3553529747786144
2020-04-06,218.25261,7.53974,18.34928,1.08932,-0.5957947,-0.38439120000000004,-0.2049025,-0.5971125,-0.5601554,0.1734519,0.0,0.0,0.0,0.0,3504299.7261200016,819.3156930509766,257.63544650654245,792.4835825325202,7.878496405995172,146.76804646439027,5.8286430308222315,0.06373467096656588,1.0794653290334342,474.699477519861,47.52129448646303,13.237677869889085,0.30329594794547976,0.0022307134838298057,7.79225,242.67002162149558,0.0,0.39700913232800344,0.06230217207432661,0.2384585349553212,-0.7218010958439756,0.10633951653170622,0.5882124105897526,-0.19120327826174915
