,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-14,57.78565,2.1477,9.96145,0.13541,-0.43693869999999996,-0.2223301,-0.1265522,-0.27683820000000003,-0.6126654,0.1148253,0.0,0.0,0.0,0.0,1775994.1033685727,385.9272258761812,307.96936464060605,365.30931260998744,3.8362034050199187,66.66486679688249,0.8124633423435348,0.00863452024064032,0.1482654797593597,86.11472980686007,14.105564949253969,4.0752514882839765,0.13588240494080836,0.0003022082084224111,2.2831099999999998,86.93860137167586,0.0,0.01,0.005381959376930851,0.9928352876151751,0.05869340567342446,0.1962964045588766,0.9081129421445604,-0.8981129421445604
2020-04-15,69.60983,2.3046,11.82418,0.1569,-0.4377089,-0.2167397,-0.1306682,-0.2783059,-0.6160742,0.1152788,0.0,0.0,0.0,0.0,1775471.6705981297,861.2622478629971,227.6657155901931,445.0362281821487,4.6149516314709,81.21413784823076,0.9711241250676006,0.010320700611406535,0.17721929938859352,117.30252833841432,15.074928291597503,5.2115264875774585,0.16553805469432048,0.0003612245213992288,2.4400099999999996,107.58613504123923,0.0,1.6980866248706066,0.009082925011835854,0.9917601369348732,0.04819899699125424,0.20784291007296163,0.9080898882961731,0.7899967365744335
2020-04-16,83.4635,2.49214,13.85367,0.18754,-0.4391621,-0.2128474,-0.13356310000000002,-0.2784439,-0.6194097,0.1156761,0.0,0.0,0.0,0.0,1775145.718032619,1081.96584743446,238.83542751019687,490.95031131605003,5.024682457118454,89.59294487713987,1.1827063568595502,0.012569307985737719,0.21583069201426228,155.26805501243,16.233592416665104,6.051515429735012,0.1826165025234004,0.00043992577950082026,2.6275499999999994,122.8497815845875,0.0,1.43410985473556,0.014963658870857058,0.9897044837263786,0.041167018258804755,0.21615869732648027,0.9073180436087478,0.5267918111268122
2020-04-17,99.47601,2.72054,16.01251,0.2284,-0.4406905,-0.2103002,-0.1355539,-0.27743,-0.6223874,0.1159596,0.0,0.0,0.0,0.0,1774893.420885609,1202.0583799360422,272.4063081379077,537.1766682699089,5.4356704568762435,98.02873838816981,1.4528025196169667,0.015439776919783599,0.2651202230802163,197.0952879090276,17.644698773524652,6.932715822969273,0.19981110539203492,0.000540392192192426,2.8559499999999995,138.8622915845875,0.0,1.0588385400533222,0.017521300533145646,0.9875042645680816,0.03668723668735285,0.22197075414588432,0.9064500996984028,0.15238844035491939
2020-04-18,117.73925,3.0011,18.26324,0.28056,-0.4416861,-0.208745,-0.136957,-0.2754421,-0.6247229999999999,0.11607150000000001,0.0,0.0,0.0,0.0,1774628.8019024695,1319.8454778305816,306.7784522256161,591.4033472406659,5.929745399871079,107.92450125442419,1.7894388605076823,0.019017407008018322,0.3265525929919817,242.80350342595648,19.37806129314162,7.937778381539521,0.2199815508095224,0.0006656092452806412,3.1365099999999995,157.1255315845875,0.0,0.9740660506227076,0.018921615222709662,0.9860499823201203,0.03399958139561854,0.22611275140306247,0.9064501594158854,0.06761589120682221
2020-04-19,138.30694,3.34667,20.56769,0.34557,-0.44162599999999996,-0.2077676,-0.13795159999999998,-0.2726555,-0.6261652999999999,0.1159513,0.0,0.0,0.0,0.0,1774354.3148002634,1433.163129417059,341.3376373369354,653.2500619037858,6.501448223522975,119.21083547181517,2.2103249055407126,0.023490407678249323,0.40335959232175067,293.0718423244532,21.513070153649302,9.06965942429424,0.24298638544149592,0.0008221642687387266,3.4820799999999994,177.6932215845875,0.0,0.8975560933804609,0.020753424424424915,0.9861382421308931,0.03232888921743127,0.2290717322854045,0.9078267079308129,-0.010270614550351942
2020-04-20,161.19162,3.77352,22.88468,0.42685,-0.4403267,-0.20670940000000002,-0.13816710000000001,-0.2692353,-0.6265963,0.1155264,0.0,0.0,0.0,0.0,1774072.6338116552,1539.8931076352856,375.4590509934719,722.1301789350566,7.143330908949397,131.78068701498057,2.7358628571942845,0.029075604996430242,0.4992643950035698,348.54538494071693,24.150245059190013,10.329049052468726,0.26860740202041333,0.0010176461748750585,3.9089299999999993,200.5779015845875,0.0,0.8281966764771811,0.023087060863424793,0.9880315260958767,0.03053611684498364,0.2297153576798052,0.9085708449177496,-0.08037416844056855
2020-04-21,186.36394,4.30186,25.17232,0.52834,-0.4376894,-0.2048506,-0.1370952,-0.26534420000000003,-0.625931,0.11472120000000001,0.0,0.0,0.0,0.0,1773782.3878439036,1642.2231394481953,408.5172840947472,797.2620588391749,7.846099625452961,145.49141541175368,3.3862477889874514,0.03598762374865728,0.6179523762513426,409.8175229716406,27.414447916384297,11.714332076967612,0.29655385774078813,0.001259566831203005,4.43727,225.7502215845875,0.0,0.776184282138192,0.025978535152898104,0.9917874803846698,0.02742734838451577,0.22652276680316838,0.9060254398694381,-0.12984115773124605
2020-04-22,213.75262,4.9558,27.38868,0.65394,-0.4336155,-0.2014714,-0.1342277,-0.2611449,-0.6240845,0.1134602,0.0,0.0,0.0,0.0,1773467.2680213947,1757.0119491076673,440.4138939967553,877.6923212387832,8.59888029803734,160.16903939839608,4.172198624557253,0.044340380167550784,0.7613796198324494,477.41334023565975,31.45463570537175,13.221585817085016,0.32647112814048135,0.0015519133058642773,5.091209999999999,253.1389015845875,0.0,0.7747822128872439,0.029417993127087535,0.9973602648720439,0.021907517618345418,0.2180905093853857,0.8976461361728592,-0.12286392328561524
2020-04-23,243.27978,5.76152,29.52716,0.80572,-0.4281079,-0.19619969999999998,-0.12922599999999998,-0.25674230000000003,-0.6210175,0.1117235,0.0,0.0,0.0,0.0,1773114.6706923128,1895.349481262738,473.15576823752133,962.5294368228676,9.391713148943484,175.65086483951978,5.066115430094311,0.05384055371211253,0.9245094462878876,551.7750236157193,36.432554329929005,14.846524380938586,0.3580275952106602,0.0018844193799239387,5.896929999999999,282.6660615845875,0.0,0.804365727351236,0.03313390112696244,1.0044519972094488,0.01363578463807874,0.20376013304398172,0.8821357591885934,-0.07777003183735742
