,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-08,51.08885,1.71034,5.85799,0.24731,-0.491635,-0.298972,-0.1155297,-0.4195503,-0.6415987,0.1294827,0.0,0.0,0.0,0.0,604917.9779933098,232.91445321019467,185.8668549923625,284.863111584383,2.985569056687167,51.984334189128404,1.2931578743368448,0.01374314046969475,0.23598685953030524,70.76999561005547,12.094800172968903,3.215041394947684,0.1059592059245783,0.0004810099164393164,1.9576500000000001,68.6833512956793,0.0,0.01,0.014193639012736693,0.717455133733119,-0.4249856491997127,0.5925542925944632,0.9174209799027984,-0.9074209799027984
2020-04-09,57.9734,1.96007,6.88455,0.24973,-0.4950157,-0.3005143,-0.1188626,-0.4212093,-0.6475888000000001,0.130172,0.0,0.0,0.0,0.0,604630.7142525198,491.7895352533179,137.4014638798706,327.6900574946998,3.387786223785056,59.799773177065404,1.2547354524108474,0.013334803056147579,0.22897519694385243,95.08239795168959,13.637688047305748,3.9008104511380286,0.12188934568747212,0.0004667181069651653,2.20738,81.14463019914804,0.0,1.5484137031567784,0.019445034645083674,0.7025821088915181,-0.4264948240074019,0.6167768733645858,0.9252613610236308,0.6231523421331476
2020-04-10,66.05638,2.20238,8.08298,0.24231,-0.4992475,-0.3006998,-0.12330719999999999,-0.42263680000000003,-0.6526288,0.131048,0.0,0.0,0.0,0.0,604406.6990430946,655.7599270587136,140.71346787514716,350.7198356727757,3.5758710824743263,64.0024503101345,1.1523619643411742,0.012246820486629041,0.21029317951337095,123.01976944200504,15.134733499716596,4.407762980183309,0.13045562510075187,0.0004286387170320164,2.4496900000000004,90.35658982057872,0.0,1.634735519859227,0.024157726384545112,0.6835834885072201,-0.42667586744042707,0.6497009580504807,0.9390057818922025,0.6957297379670245
2020-04-11,75.49039,2.42492,9.43401,0.22254,-0.503237,-0.2986956,-0.1279149,-0.4234979,-0.6560493,0.1318988,0.0,0.0,0.0,0.0,604244.1002343912,738.2868725082233,162.73374493952548,373.4174984802711,3.7609698392190487,68.14452009984636,0.9813770085465057,0.010429663964347694,0.17909033603565233,152.87562726914317,16.50963546405777,4.926935384870391,0.13889836910523004,0.00036503823875216933,2.6722300000000003,99.79059982057872,0.0,1.1597860016378096,0.02008901834956715,0.6652844830011153,-0.4247144446812684,0.6845837262059161,0.9575509673006919,0.20223503433711776
2020-04-12,86.40073,2.61444,10.91034,0.18952,-0.5062148,-0.29404620000000004,-0.1319052,-0.4236378,-0.6574255,0.1325445,0.0,0.0,0.0,0.0,604076.3111129886,815.9544630157154,185.73934337708795,402.3419550355039,4.012804768963078,73.4229101568922,0.7702608169126883,0.008186009469695648,0.14056399053030433,184.61786736767925,17.680532472604277,5.527353176854251,0.14965726460189938,0.00028651033143934756,2.8617500000000002,110.70093982057872,0.0,1.0354438904162993,0.013633855590201588,0.6513803826075923,-0.4201186810032513,0.7154097596574042,0.9790686640366741,0.05637522637962511
2020-04-13,98.85346,2.76319,12.45273,0.14875,-0.5087071000000001,-0.2878036,-0.1351703,-0.4236217,-0.6573108999999999,0.1329314,0.0,0.0,0.0,0.0,603906.7804094955,885.9126402390523,208.72704315210382,437.39182967683456,4.329008017123595,79.81912055601317,0.5556752152127771,0.005905483537432201,0.10140451646256779,218.7774203587342,18.599543289516966,6.212651769819381,0.16269460335768027,0.0002066919238101271,3.0105000000000004,123.15366982057873,0.0,0.9171746081549563,0.008617387512617713,0.6395818505804551,-0.41384787087287106,0.7410596952382319,0.9991908777207448,-0.08201626956578845
2020-04-14,112.84738,2.8705,13.99392,0.10731,-0.5115639000000001,-0.2813971,-0.1377704,-0.4241954,-0.6565036999999999,0.13303779999999998,0.0,0.0,0.0,0.0,603737.4546677136,947.1635658375537,230.76014759130715,478.0930447492795,4.7033877903689545,87.24663742354136,0.3693109341997509,0.003924881985739117,0.06739511801426087,255.8753894554055,19.262528504729744,6.982765125370059,0.1778340449135036,0.00013737086950086909,3.1178100000000004,137.14758982057873,0.0,0.815719754142745,0.005096499051016442,0.6258769172671057,-0.40729296977727564,0.7617599269020936,1.0127410771668526,-0.19702132302410758
2020-04-15,128.31849,2.94182,15.47111,0.07132,-0.5153477,-0.27598490000000003,-0.1397018,-0.42585819999999996,-0.6556364000000001,0.1328438,0.0,0.0,0.0,0.0,603571.1354647449,997.9775560307344,251.16775516024714,523.6694820564113,5.1267411239744645,95.563827862648,0.22204224423002406,0.0023597720071297443,0.040520227992870264,296.3910913379141,19.703159438929493,7.834171195734449,0.1947869001957309,8.259202024954107e-05,3.1891300000000005,152.61869982057874,0.0,0.7252754175624859,0.0027716175503890808,0.607427499707756,-0.40166111410864214,0.7772939004310105,1.0154574888050534,-0.29018207124256745
2020-04-16,145.15781,2.9847,16.83932,0.04288,-0.5194689,-0.2716423,-0.1407053,-0.4281252,-0.6546787000000001,0.1323377,0.0,0.0,0.0,0.0,603411.1507417026,1036.3112947482668,269.3450402203736,573.1620637488943,5.588161567970778,104.59567088463449,0.1196169739205587,0.0012712391176468536,0.021828760882353145,340.7362284700952,19.968081683159518,8.760872593941073,0.21319642548008613,4.449336911763988e-05,3.2320100000000003,169.45801982057873,0.0,0.641525866650274,0.0013717893596653546,0.5869473794266171,-0.3970798267171889,0.7854178997367005,1.0076826552210576,-0.3661567885707836
2020-04-17,163.21581,3.0078,18.058,0.0231,-0.5230504,-0.26817399999999997,-0.1404573,-0.43026519999999996,-0.6534346,0.13151,0.0,0.0,0.0,0.0,603256.5987356675,1064.6021812034908,284.6874754441792,625.4648235045058,6.075437157475221,114.14033999614912,0.06778295188831657,0.000720368833333217,0.012369631166666777,389.23933541770697,20.11079865708008,9.754640385563016,0.2326512396206209,2.5212909166662597e-05,3.25511,187.51601982057872,0.0,0.578455354216486,0.0007248864769077417,0.5688227680821991,-0.39338096217687174,0.7834068037005272,0.9912458123807835,-0.4127904581642975
2020-04-18,182.30243,3.02089,19.08662,0.01309,-0.5252148,-0.2653844,-0.1386347,-0.43154739999999997,-0.6517082999999999,0.13035080000000002,0.0,0.0,0.0,0.0,603090.9756105528,1100.5918233675468,297.1394258222484,679.3353974402029,6.575168021566596,123.97111767339103,0.07244335346963704,0.0007698976301246528,0.01322010236987535,442.13335215971966,20.191671608968395,10.805015189357857,0.2526892263054531,2.6946417054362856e-05,3.2682,206.60263982057873,0.0,0.5867966497786663,0.0007329741986794938,0.5577223713840764,-0.39038018381217365,0.7686947731234888,0.9684341634703204,-0.3816375136916541
2020-04-19,202.22388,3.03488,19.92145,0.01399,-0.5253044,-0.2630053,-0.135019,-0.43140239999999996,-0.6493629,0.1288626,0.0,0.0,0.0,0.0,602901.6249651868,1156.0021634255677,308.84097477305625,733.5948546573815,7.074893572236506,133.87286220328252,0.14001917639878386,0.0014880651836004732,0.02555193481639953,499.54412204276315,20.278104962438032,11.901332354736468,0.2728718640947191,5.208228142601657e-05,3.2821900000000004,226.52408982057872,0.0,0.6429072439204845,0.0013573309171772139,0.5572604562913757,-0.38780285517583774,0.7398626375758606,0.9417174414663274,-0.2988101975458429
