,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-21,62.01737,0.29146,13.24238,0.08297,-0.5337127,-0.288448,-0.1675601,-0.5280742,-0.4425625,0.1629943,0.0,0.0,0.0,0.0,11376126.90790731,457.77999289178035,231.13356834155948,309.21009758061194,6.12959079947241,78.64016108970475,0.4402070395553746,0.008843913266992567,0.11195608673300743,26.898785330176015,1.738889617721183,6.543309927122509,0.21742486227961288,0.0003095369643447399,0.37443,91.12456178974223,0.0,0.5252527688662897,0.004150177072134165,0.8972977507401658,-0.06537206664593774,0.3000254218500788,0.7246224931164182,-0.19936972425012855
2020-03-22,77.20127,0.41226,15.1839,0.1208,-0.5925641,-0.3465111,-0.2095965,-0.5644094,-0.49864539999999996,0.18341259999999998,0.0,0.0,0.0,0.0,11375716.020047715,812.6583071065377,191.45558521937454,361.5436491839205,7.0720814953481925,91.9499428875247,0.5969032539666421,0.011991994976269725,0.15180800502373026,55.23978648134022,2.2998966572765576,8.052567983400634,0.2542238392178933,0.0004197198241694404,0.49522999999999995,111.73968630468403,0.0,1.7781024400242633,0.007945622636490901,0.8001579545278219,-0.12275036007493276,0.4668238893395715,0.736902870964572,1.0411995690596914
2020-03-23,94.27746,0.57606,17.07619,0.1638,-0.6411256000000001,-0.3968591,-0.2460878,-0.5929335,-0.5461491,0.2008376,0.0,0.0,0.0,0.0,11375557.471059347,871.7924964778559,211.67188609332578,397.05263272900794,7.666720614408175,100.98079992604478,0.7690868849185581,0.015451224296347528,0.19559877570365247,88.32366801627084,3.0605999112432,9.302736388124854,0.2791924153329308,0.0005407928503721635,0.65903,128.81587630468402,0.0,0.8287835042103409,0.012359314343539159,0.6906736765058215,-0.18450091542499467,0.6413887953427924,0.7402329435957306,0.08855056061461031
2020-03-24,113.15677,0.78711,18.87931,0.21105,-0.6771927,-0.4366689,-0.2741498,-0.6123568,-0.5831284999999999,0.2143602,0.0,0.0,0.0,0.0,11375396.008498963,926.6614509983841,230.75601491979737,436.40159111742776,8.335889050559253,110.98826232972874,0.9512553444166802,0.01911105231138857,0.2419289476886114,124.59526048059091,4.040736796161758,10.684913376375395,0.30686111672848587,0.0006688868308986002,0.87008,147.69518630468403,0.0,0.7637024663584586,0.013826776508251627,0.5921963096157881,-0.241215001004318,0.7944488818181532,0.7381015776017347,0.02560088875672395
2020-03-25,133.73822,1.04815,20.58145,0.26104,-0.7014548,-0.466042,-0.2935141,-0.6235852,-0.6100686000000001,0.2240663,0.0,0.0,0.0,0.0,11375232.344014194,977.0819117551175,248.65460331944678,478.94310873870586,9.065371585299129,121.80767548898254,1.1372501068248453,0.02284775208909802,0.2892322479109021,164.40095267191623,5.253032140578438,12.191706080919634,0.3367747051990587,0.0007996713231184307,1.13112,168.27663630468402,0.0,0.7103948070929622,0.015163168775766532,0.5177211620107727,-0.28752693320957784,0.9096092183096275,0.7324748342829337,-0.022080027189971485
2020-03-26,155.91607,1.36023,22.17785,0.31208,-0.7153252000000001,-0.4858112,-0.3045666,-0.6280738,-0.6280615,0.23029039999999998,0.0,0.0,0.0,0.0,11375066.38493074,1023.6980424551657,265.31394655759965,524.0649040976222,9.842011900481586,133.28332031250517,1.3210584104272711,0.026540525145282656,0.33597947485471735,208.0269032802723,6.702362247403284,13.81537314920085,0.3685026475220406,0.000928918380084893,1.4432,190.45448630468402,0.0,0.668802877633909,0.016346038953279966,0.47217052605373055,-0.3208318029865397,0.9788313505679954,0.7228414608072977,-0.05403858317338872
2020-03-27,179.57979,1.72275,23.66372,0.36252,-0.7202170999999999,-0.49680909999999995,-0.307693,-0.6272778,-0.6381998,0.2333671,0.0,0.0,0.0,0.0,11374895.152630292,1069.961609148376,280.78147073606635,571.1856682730016,10.653583794604998,145.26735483924233,1.498198014672195,0.030099321700816674,0.38103067829918336,255.70241424461483,8.385940657830554,15.547822547002152,0.4016361892191096,0.001053476259528584,1.80572,214.11820630468404,0.0,0.6470089816397383,0.017373853307932986,0.45558936767916514,-0.3401034843541878,0.9988725977841193,0.707029868281208,-0.06002088664146965
2020-03-28,204.62308,2.13388,25.04329,0.41113,-0.7176283999999999,-0.5000553,-0.3034716,-0.622606,-0.6416308,0.2336976,0.0,0.0,0.0,0.0,11374716.350267282,1118.2203306716501,295.50766776282626,619.7790065325394,11.489232656497961,157.62590321303958,1.6708918193454498,0.03356880058925026,0.42495119941074977,307.6029113888284,10.295268672502749,17.381271923493397,0.4358051893955421,0.0011749080206237591,2.21685,239.16149630468402,0.0,0.6386652028381284,0.018309095969419355,0.46439732424739644,-0.3458934445100921,0.9718600624681446,0.6830353293775604,-0.04437012653943195
2020-03-29,230.97982,2.5924,26.35674,0.45852,-0.7093962,-0.49731699999999995,-0.2932523,-0.6152828,-0.6397218,0.2319504,0.0,0.0,0.0,0.0,11374529.748772608,1168.466976394148,310.04393614545563,669.4990081945838,12.341953251926673,170.27099136079713,1.8428568044167921,0.03702363723717559,0.4686863627628245,363.8551147481913,12.424680491848198,19.310880553962548,0.4707664167244582,0.001295827303301146,2.67537,265.518236304684,0.0,0.6335798758674093,0.019187122534881026,0.49190620973539634,-0.34100632401222086,0.9080003289068863,0.6515716018021731,-0.017991725934763836
2020-03-30,258.63307,3.09811,27.65325,0.50571,-0.6974424,-0.49054830000000005,-0.2785776,-0.6064864,-0.6338952,0.2288607,0.0,0.0,0.0,0.0,11374341.518031903,1214.2964872990437,324.7123921735572,720.1988869926308,13.208876066342174,183.1652877214375,2.019012502199134,0.04056266676802344,0.5134873332319767,424.5537280447068,14.77324729626499,21.335408240638557,0.5064166566471199,0.0014196933368808208,3.18108,293.17148630468404,0.0,0.6094857754264348,0.020035619683039067,0.5304945057961756,-0.32906746639577766,0.8200941475260769,0.6141925740985863,-0.004706798672151513
2020-03-31,287.59462,3.65216,28.96155,0.55405,-0.6834775999999999,-0.48150689999999996,-0.260914,-0.5972083,-0.6254507,0.22507449999999998,0.0,0.0,0.0,0.0,11374156.089042721,1251.8272491138341,338.917350554176,771.8384504423088,14.089321145750173,196.29857030198454,2.207995424975141,0.044359399731816775,0.5615506002681832,489.7798004967194,17.346309798464127,23.45571814359939,0.5427276473265186,0.0015525789906135872,3.7351300000000003,322.133036304684,0.0,0.5736874934890271,0.02092118688398929,0.5735394117188997,-0.3134341146990822,0.7202175314144088,0.5729942156063377,0.0006932778826894692
2020-04-01,317.82313,4.25807,30.22851,0.60591,-0.6683681,-0.4711656,-0.2414236,-0.5876927,-0.6151959,0.2208823,0.0,0.0,0.0,0.0,11373977.281182393,1278.264772284443,351.8345164870476,824.176977262123,14.978583427924859,209.60961742661794,2.419608196390544,0.04861077426339177,0.6153692257366083,559.6105472984701,20.160215223439266,25.668783711731987,0.5795301226491403,0.001701377099218712,4.3410400000000005,352.361546304684,0.0,0.5304761449786097,0.021965356545856875,0.617642667324505,-0.29599366290238616,0.6175343175929403,0.5318547091871706,-0.0013785642085608618
2020-04-02,349.20374,4.92205,31.38061,0.66398,-0.6527689999999999,-0.46030099999999996,-0.22119260000000002,-0.5779974,-0.603816,0.21648520000000002,0.0,0.0,0.0,0.0,11373809.183774559,1290.8869866362666,362.6388103427993,876.7133797431094,15.866805733632901,222.97098947269495,2.663580558130877,0.053512264273533734,0.6774177357264661,634.1009395346005,23.24380341982981,27.966195906312446,0.6164717366632713,0.0018729292495736807,5.005020000000001,383.742156304684,0.0,0.48093532358909286,0.02329240891110784,0.6604815807966697,-0.27817703897866597,0.519297586023209,0.4942735150133241,-0.01333819142423126
2020-04-03,381.548,5.65298,32.34426,0.73093,-0.6373352,-0.4496894,-0.20130710000000002,-0.56818,-0.5919958,0.21208449999999998,0.0,0.0,0.0,0.0,11373656.012626005,1287.1787936274327,370.51356137535856,928.7099564450948,16.73954683663377,236.1950697985042,2.944321868787715,0.05915245531731774,0.7488175446826824,713.2598400648119,26.638313977960685,30.334158076221858,0.6530337655779097,0.002070335936106121,5.735950000000001,416.086416304684,0.0,0.425831488327669,0.024980321083246302,0.7001734993138351,-0.2612761825258003,0.43102582660496747,0.4625945305651136,-0.03676304223744464
2020-04-04,414.59462,6.46095,33.04662,0.80797,-0.6226953000000001,-0.43995379999999995,-0.1828256,-0.5583817,-0.5803698,0.20785969999999998,0.0,0.0,0.0,0.0,11373522.368618157,1264.5480410449288,374.67237081853204,979.233316507393,17.578677352981476,249.0444728586888,3.245032836536967,0.06519384375102824,0.8252961562489718,797.0283745766203,30.3906058467484,32.753540866348196,0.6885598841924051,0.0022817845312859885,6.543920000000001,449.13303630468397,0.0,0.36447337272187247,0.026946477430974794,0.7353481474961328,-0.24620588426579582,0.3563527193542257,0.438166369756674,-0.07369299703480153
2020-04-05,448.01217,7.35144,33.41755,0.89049,-0.6093722,-0.43110160000000003,-0.16669640000000002,-0.5490784,-0.5693707,0.20390370000000002,0.0,0.0,0.0,0.0,11373413.214225324,1220.35831214952,374.33713667098164,1027.1835844038164,18.363018106418764,261.23947173218505,3.5435937864605735,0.07119203757523934,0.9012279624247608,885.2621091420996,34.526128683285364,35.20007988783319,0.7222767015771687,0.0024917213151333774,7.434410000000001,482.550586304684,0.0,0.29547302520756713,0.029099081171420405,0.7652642056838186,-0.2328646891031059,0.29698322489896806,0.42205412865179215,-0.12658110344422502
2020-04-06,481.39982,8.32386,33.38765,0.97242,-0.5978621,-0.4229867,-0.15384,-0.5408295,-0.5593805,0.2002877,0.0,0.0,0.0,0.0,11373329.19829778,1156.6094006869807,368.7291963391496,1071.3090093151247,19.068669602342187,272.4617136651876,3.8179214846205793,0.07670337690255058,0.9709966230974496,977.7159486549905,39.04214246974594,37.6444298943622,0.7533040338326085,0.002684618191589271,8.406830000000001,515.938236304684,0.0,0.22901146055763116,0.031379866507525986,0.7895021418758943,-0.22093729341762575,0.253531772817177,0.4147680084475569,-0.18575654788992574
2020-04-07,514.28729,9.37156,32.88747,1.0477,-0.5886614,-0.41546289999999997,-0.1451771,-0.5341943,-0.5507813,0.1970826,0.0,0.0,0.0,0.0,11373254.919112302,1091.10630917661,357.63731867454607,1110.2140962301942,19.669202597133793,282.3562880214225,4.048520006665812,0.08133618179936591,1.0296438182006344,1074.0304090359996,43.907763954366516,40.05216112160409,0.7806606215723736,0.0028467663629778072,9.454530000000002,548.825706304684,0.0,0.2065576562459586,0.03378125468453487,0.807805515887986,-0.2101373068424006,0.22618993815719224,0.41652953437488904,-0.20997187812893045
2020-04-08,546.18546,10.48254,31.89817,1.11098,-0.5820143999999999,-0.40830219999999995,-0.14127499999999998,-0.5295116,-0.5438107999999999,0.19432069999999999,0.0,0.0,0.0,0.0,11373179.013326714,1035.4345386884065,343.11820441384816,1142.5437099984645,20.13937850225786,290.5785487257059,4.22653419443303,0.08491254904350981,1.07491745095649,1173.718664801643,49.067263961032324,42.38746450617184,0.803393584939738,0.0029719392165228438,10.565510000000002,580.723876304684,0.0,0.2180271580817713,0.03636039308838092,0.820436400322617,-0.20008963418315828,0.21438348313317634,0.42740163644474644,-0.20937447836297512
2020-04-09,576.78865,11.64237,30.60319,1.15983,-0.5771578,-0.4009484,-0.14128780000000002,-0.5262366,-0.5381287,0.1918774,0.0,0.0,0.0,0.0,11373091.407635069,998.4698444962002,327.7954251465813,1167.7146829578062,20.46979807075321,296.9801810908689,4.34573264032588,0.08730728747863672,1.1052327125213632,1276.170532373108,54.45362815546535,44.62796084767262,0.8210928624599425,0.003055755061752285,11.725340000000001,611.3270663046841,0.0,0.2619179308595576,0.038967833091909695,0.8293509647736612,-0.19000559862177266,0.21442169449769322,0.4464384478216932,-0.18452051696213556
2020-04-10,606.02518,12.83491,29.23653,1.19254,-0.5730764,-0.3927636,-0.1440163,-0.5236041,-0.53325,0.18958919999999999,0.0,0.0,0.0,0.0,11372985.191620262,984.8369900020729,314.2927766991585,1186.0446537502753,20.669169372740917,301.6419688758346,4.399883936748007,0.08839520594840086,1.1190047940515995,1380.7236363059942,59.99190079579123,46.768402367108266,0.8339818056294098,0.003093832208194031,12.91788,640.5635963046841,0.0,0.3315526072211497,0.041297650576179866,0.8366374907850074,-0.17906155937299936,0.22264468661048298,0.4728920051946024,-0.14133939797345269
2020-04-11,634.0573899999999,14.04231,28.03221,1.2074,-0.568755,-0.38310989999999995,-0.14826129999999998,-0.5208486,-0.52869,0.1872927,0.0,0.0,0.0,0.0,11372867.393717932,984.6542687960092,304.7136010809597,1198.679797169746,20.762515931797203,304.855414108294,4.3904457229032365,0.08820558893381883,1.1166044110661812,1486.7462445270555,65.59918473253924,48.82067417109934,0.8428663612741212,0.00308719561268366,14.12528,668.5958063046841,0.0,0.38329698950965324,0.0429794868117783,0.8441483169232011,-0.1665319108763821,0.2357455433126967,0.5060333365316271,-0.12273634702197384
2020-04-12,661.23522,15.24712,27.17783,1.20481,-0.5634834,-0.371699,-0.1529706,-0.5173496,-0.5240978,0.1848809,0.0,0.0,0.0,0.0,11372740.545181151,993.7460902195655,299.07987350700836,1207.3356971235148,20.785688808466585,307.0568343467236,4.349376738335445,0.08738049868117806,1.1061595013188223,1593.7132776490462,71.19444045544248,50.81039578786315,0.8489528632030036,0.0030583174538412316,15.33009,695.773636304684,0.0,0.4257258130248532,0.043915941780488,0.8530262975084104,-0.1522498556230073,0.2507173843469747,0.5441652134044892,-0.11843940037963602
