,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-21,52.07544,0.17787,10.96037,0.00929,-0.6727338,-0.4140117,-0.3278695,-0.7318944999999999,-0.6367609000000001,0.1944407,0.0,0.0,0.0,0.0,7163853.016245871,413.9446466362528,176.17118042215853,253.3345222195594,5.0196310729101725,64.42955062855198,0.018512017888586953,0.00037191290890995247,0.004708087091090048,21.191441747972885,0.8691893834700655,5.358611205211493,0.17813526801109522,1.3016951811848334e-05,0.18716,74.2610895063293,0.0,0.7866954934408821,0.00022897684372732643,0.13046912309930203,-0.20147045951273046,1.1961766831635712,0.6158146584275949,0.1708808350132872
2020-03-22,64.49321,0.18295,12.41777,0.00508,-0.72317,-0.4674449,-0.3705591,-0.7645511,-0.6940784999999999,0.214179,0.0,0.0,0.0,0.0,7163594.178889007,622.1297756775475,153.89119750579812,292.3155261599975,5.713754351677409,74.34343265666165,0.09583977765154267,0.0019254546268369583,0.024374545373163047,44.41250346223243,0.8927814013586525,6.508975365830741,0.20554523773584274,6.739091193929353e-05,0.19224,89.97404217869996,0.0,1.4696582319191906,0.0016737783501534623,-0.24697651842031032,-0.13665926809584794,1.6281941071196986,0.7351976322809924,0.7344605996381982
2020-03-23,78.21898,0.20925,13.72577,0.0263,-0.7609447,-0.5090175,-0.4043287,-0.7883476,-0.738988,0.2294635,0.0,0.0,0.0,0.0,7163491.088310752,649.1174882485678,166.33466301278312,321.1499578080612,6.197414735376884,81.67677774298328,0.20312202305311738,0.004080792429653689,0.051659207570346304,71.1616044979114,1.014921179010195,7.513855493336441,0.2258205210433574,0.00014282773503787913,0.21854,103.69981217869997,0.0,0.6705529303697065,0.004060974356994178,-0.5650440393273,-0.0718738890635654,2.0150347426197914,0.8687561259063781,-0.19820319553667154
2020-03-24,93.0546,0.26499,14.83562,0.05574,-0.7850915,-0.5367766,-0.4267584,-0.8027698999999999,-0.7702601,0.2395951,0.0,0.0,0.0,0.0,7163386.084903482,674.7639049729621,176.92884690448489,351.8148654692533,6.715652939663517,89.47566043519026,0.34750118619205733,0.0069814202743411526,0.08837857972565885,100.49952140768464,1.2737832020633124,8.599989073982636,0.24738292594934067,0.00024434970960194035,0.27428,118.53543217869998,0.0,0.6322056197894953,0.006427773156767294,-0.7842369193600032,-0.021617474926600933,2.293988122911671,0.9787730403025192,-0.3465674205130239
2020-03-25,108.83513,0.36035,15.78053,0.09536,-0.7971107000000001,-0.5519527,-0.43857219999999997,-0.8091459000000001,-0.7895013,0.24502,0.0,0.0,0.0,0.0,7163277.299785191,701.1070866128258,186.2754888698343,383.5331353747272,7.252366379305135,97.54244051245772,0.5365569909282562,0.010779617462185313,0.13646038253781467,132.58925568040823,1.7166443882553697,9.755300652022157,0.26968601540180387,0.0003772866111764859,0.36964,134.31596217869998,0.0,0.6160526150661834,0.009330485097775551,-0.8979562243074772,0.00822716075067742,2.4479790257724217,1.048889273893074,-0.4328366588268906
2020-03-26,125.4493,0.50759,16.61417,0.14724,-0.7991193,-0.5565722000000001,-0.44128,-0.8092641,-0.7990271,0.2464714,0.0,0.0,0.0,0.0,7163160.556450988,732.243441557796,194.97666495309406,415.77131959498416,7.79668464715201,105.74144830734271,0.7779784840618953,0.015629859630548373,0.19786014036945165,167.52208008812755,2.4004413791836257,10.971644016948233,0.2923546889641438,0.0005470450870691931,0.51688,150.93013217869998,0.0,0.6282095369450218,0.012849874534809744,-0.91725966795308,0.01764414654451163,2.4839614776224126,1.0749852678912963,-0.44677573094627454
2020-03-27,142.83954,0.72108,17.39024,0.21349,-0.7932340999999999,-0.5526613,-0.4363916,-0.8049130999999999,-0.8011531,0.2446819,0.0,0.0,0.0,0.0,7163024.128219197,779.3180739171858,203.88671769751994,448.2201430449762,8.342455695400316,113.99402713075422,1.0815682892387017,0.021729084914266505,0.2750709150857335,205.34008516548323,3.391909863245521,12.244804399830556,0.3151714760773482,0.0007605179719993276,0.73037,168.32037217869998,0.0,0.7015082160841702,0.01706704450312359,-0.8609427706430157,0.009661586613209039,2.419188407815172,1.0585465354628174,-0.35703831937864716
2020-03-28,161.02448,1.01788,18.18494,0.2968,-0.7814659,-0.5422299,-0.4254021,-0.7977434,-0.7980082000000001,0.2403837,0.0,0.0,0.0,0.0,7162857.697743935,850.701979733316,214.87096165588653,480.8518059567661,8.889293261205014,122.2931067794681,1.465729101406977,0.029447009886173436,0.37277299011382664,246.056881425286,4.770278152484223,13.576145725372475,0.33811682899455353,0.0010306453460160701,1.02717,186.5053121787,0.0,0.8184048201065532,0.022118302287497234,-0.7505356015130262,-0.011086039094570399,2.276620941614349,1.0056386126842045,-0.18723379257765127
2020-03-29,180.18912,1.4201,19.16464,0.40222,-0.7653991000000001,-0.5272219,-0.40974629999999995,-0.7888542,-0.7909757999999999,0.2343055,0.0,0.0,0.0,0.0,7162654.687201416,950.0015295037886,230.0472021168497,514.2262197210961,9.44861327807985,130.781087266642,1.9510136333406622,0.03919654572860223,0.49619345427139766,289.6835158106281,6.6382272538912,14.979212066044134,0.36158445625882973,0.0013718791005010783,1.42939,205.6699521787,0.0,0.9472340517038601,0.027936345269204122,-0.60454765127378,-0.03954817914210507,2.0808026615082107,0.9273461427697778,0.01988790893408232
2020-03-30,200.70735,1.95549,20.51823,0.53539,-0.7465119,-0.5095649,-0.39084409999999997,-0.7792066,-0.7812528000000001,0.22717510000000002,0.0,0.0,0.0,0.0,7162420.21277941,1068.687459650385,251.09766421413718,549.5411662661213,10.044420857736853,139.76259565496716,2.5476982414267306,0.05118414803271948,0.6479458519672805,336.282454817651,9.124630887231863,16.48137635836371,0.38641659288387076,0.0017914451811451822,1.9647799999999997,226.1881821787,0.0,1.0219427171707045,0.0340736018652681,-0.4399415302546199,-0.07093700844884587,1.8557875496989356,0.8355483226729219,0.1863943944977826
2020-03-31,223.1031,2.65462,22.39575,0.69913,-0.7261338,-0.49097810000000003,-0.3700282,-0.7696208,-0.7699319,0.2196384,0.0,0.0,0.0,0.0,7162155.6627431605,1203.0030589487783,277.9632615277627,588.4864853899269,10.71016122460172,149.66740210711603,3.2245165647431193,0.06478166468072055,0.8200783353192795,386.02605194747906,12.371459128658593,18.120996147678685,0.41380147039331705,0.00226735826382522,2.6639099999999996,248.5839321787,0.0,1.0564690953037579,0.0395101749215811,-0.2708367355501684,-0.10152941617852651,1.622430523784752,0.7407036837335093,0.3157654115702486
