,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-17,52.60041,4.81558,3.85322,0.19607,-0.5928119000000001,-0.3935795,-0.2542067,-0.5164756,-0.7187963,0.1569044,0.0,0.0,0.0,0.0,2297868.3281668792,316.3266065373061,20.82077999805682,252.12433950202367,2.732356945266424,46.69345534778726,1.2826889552958862,0.014025864697138417,0.23755413530286162,156.87631246447785,30.56371337073148,2.8759475368941416,0.09649195546111683,0.0004909052643998446,5.0116499999999995,80.47895419036806,0.0,0.9832900119505544,0.009024144097413813,2.7969115361074817,0.8486408721544443,1.2115177769135022,3.323500407613694,-2.3402103956631395
2020-04-18,57.5819,5.06716,4.98149,0.25158,-0.5939491,-0.3914452,-0.2595254,-0.5221802,-0.718238,0.1568506,0.0,0.0,0.0,0.0,2297742.7822856815,403.4326799688544,38.73800417131161,249.84080577036517,2.6579608683929017,46.2705446500539,1.5944132685433239,0.01743448767028033,0.29528551232971956,178.27260329485853,32.09798232602737,3.066285379639133,0.0956180111383896,0.0006102070684598115,5.263229999999999,83.8930178158039,0.0,6.046334745264194,0.09159758994241879,2.786063074925588,0.8137416889131259,1.2689237628756418,3.3351587491526216,2.7111759961115727
2020-04-19,63.93392,5.37988,6.35202,0.31272,-0.5944906,-0.3899872,-0.26434219999999997,-0.5273340000000001,-0.7169741000000001,0.156475,0.0,0.0,0.0,0.0,2297579.639045339,517.5095952482777,49.405192343925684,262.377444888756,2.7505607130170984,48.59233159074396,1.9174053399241746,0.02096632060041674,0.3551036793995833,199.42723894137924,34.0051155945707,3.4204175565749675,0.10041598036989315,0.0007338212210145863,5.575949999999999,90.2450378158039,0.0,4.2219502943387,0.059204788398021416,2.7808755473575335,0.7900910165308552,1.322046461590845,3.3594432479174996,0.8625070464212001
2020-04-20,72.03508000000001,5.75595,8.10116,0.37607,-0.5943578,-0.3885353,-0.2679923,-0.5317803,-0.71491,0.1557458,0.0,0.0,0.0,0.0,2297367.478780329,666.6736540140236,63.37528505385867,282.61673498326866,2.928845061468886,52.340650337619465,2.2330045383215644,0.024417314418497933,0.41355268558150204,221.61648474749668,36.29859093449487,3.872066233138565,0.10816187543984797,0.0008546060046474279,5.952019999999999,98.3461978158039,0.0,4.3040539576194,0.05406262806807912,2.78214906382391,0.7666925053579323,1.3630198145413233,3.3782916061614316,0.9257623514579687
2020-04-21,82.42697,6.19392,10.39189,0.43797,-0.5935488999999999,-0.38627870000000003,-0.2697388,-0.5354784,-0.7119837,0.1546423,0.0,0.0,0.0,0.0,2297094.565093668,858.36637641478,81.64222122445159,312.79330013471946,3.21553905140492,57.9293535157097,2.5224482619567787,0.02758230503323896,0.46715769496676096,245.50136225581713,38.969565472816434,4.451425653949225,0.11971092217732056,0.000965380676163364,6.389989999999999,108.73808781580391,0.0,4.315452111511988,0.04760827914845134,2.789887912893004,0.7306290993643003,1.3828436412757799,3.36979087597135,0.9456612355406375
2020-04-22,95.81416,6.6886600000000005,13.38719,0.49474,-0.5920621,-0.3824064,-0.2688447,-0.5383876,-0.7081336,0.1531437,0.0,0.0,0.0,0.0,2296750.9461850827,1097.3346385836721,105.11730465564824,355.8236043976518,3.6405205459500483,65.89857058801384,2.774468752696407,0.030338082487645322,0.5138319175123547,271.9337836586023,41.98675373477321,5.197776379821251,0.13617929730769487,0.0010618328870675865,6.884729999999999,122.12527781580391,0.0,4.21749241047908,0.04064856030279693,2.8040303828667064,0.669605355240031,1.372677367709832,3.312743328254835,0.904749082224245
2020-04-23,113.05065,7.23283,17.23649,0.54417,-0.5899481999999999,-0.37646369999999996,-0.2648195,-0.540412,-0.7033492,0.1512669,0.0,0.0,0.0,0.0,2296326.763848981,1387.6520291452252,134.38184752178205,415.1581532278718,4.239091742675735,76.88733554365885,3.0075736856645605,0.03288702331741387,0.5570029766825861,302.01483766430397,45.30539248746962,6.1587298601995775,0.15888756361129425,0.0011510458161094854,7.4289,139.36176781580392,0.0,4.04366250944374,0.034223325050517825,2.82395512651871,0.5780692798701574,1.3273691115691242,3.1958237403962575,0.8478387690474825
2020-04-24,135.08576,7.82272,22.03511,0.58989,-0.5874676999999999,-0.3694214,-0.25815699999999997,-0.5412351000000001,-0.697825,0.14917999999999998,0.0,0.0,0.0,0.0,2295811.663112755,1733.3921367239627,169.9347098297821,494.4598889833477,5.048390697618576,91.57402570936821,3.2476636089688107,0.03551234317029663,0.6014676568297033,337.14023551847276,48.902856173134175,7.387211740502311,0.18923758681659142,0.0012429320109603823,8.01879,161.39687781580392,0.0,3.8413437130715318,0.028907502617413754,2.8470617203058666,0.4729120775490703,1.2540287559219538,3.0404327762151566,0.8009109368563752
2020-04-25,162.95061,8.4597,27.86485,0.63698,-0.5849336,-0.36260620000000005,-0.2495975,-0.5404854,-0.6918067999999999,0.147089,0.0,0.0,0.0,0.0,2295198.861903491,2134.5594432633593,212.27475158657722,597.5201643807599,6.106473083395445,110.66080002439263,3.52048611472397,0.03849558516069284,0.6519944148393073,379.0179882731321,52.787499782102984,8.940708107089709,0.22868037731868696,0.0013473454806242494,8.655769999999999,189.26172781580394,0.0,3.6144043500127836,0.024779964722580594,2.8703625722566297,0.3745708152415492,1.1628323398408211,2.874195949777266,0.7402084002355176
2020-04-26,197.75812,9.15019,34.80751,0.69049,-0.5826589,-0.3573451,-0.23988099999999998,-0.5377911000000001,-0.6855406,0.14519959999999998,0.0,0.0,0.0,0.0,2294497.8512968593,2574.8879799073225,261.40252166014585,728.2488122447973,7.452221332651716,134.87175995698982,3.8525025896777336,0.04212609755864836,0.7134839024413515,429.67881955168144,56.99847589682695,10.881265487264175,0.27871228971597245,0.0014744134145526933,9.34626,224.06923781580394,0.0,3.310804810361442,0.02170824629512424,2.8910156823772297,0.3009587629185235,1.063432958228645,2.721837625962664,0.5889671843987778
2020-04-27,240.6213,9.9058,42.86318,0.75561,-0.5809348,-0.3544935,-0.2296282,-0.5330828000000001,-0.6793025,0.14367570000000002,0.0,0.0,0.0,0.0,2293724.1872991505,3034.042671118709,315.3260561866345,890.247358125693,9.120695988676655,164.87390843434997,4.271856936498175,0.04671162650109068,0.7911483734989093,491.48570557173457,61.606588486504684,13.270935425928176,0.34071168455734047,0.001634906927538174,10.101869999999998,266.93241781580394,0.0,2.968210781441925,0.01954731310182773,2.9065041292297327,0.2618987959031456,0.9633022728089281,2.598135420380072,0.3700753610618528
2020-04-28,292.32653,10.74366,51.70523,0.83786,-0.5799651,-0.35302100000000003,-0.21898230000000002,-0.5274997,-0.67349,0.1425119,0.0,0.0,0.0,0.0,2292890.7759101777,3496.833214475285,371.55508016323853,1085.1648459946966,11.125261037597404,200.97264858093993,4.80720291116257,0.05256549323612341,0.8902945067638766,567.1066712357191,66.71630542300286,16.153559482349284,0.41530967694156135,0.001839792263264319,10.939729999999997,318.637647815804,0.0,2.6517127635459845,0.01823529263867504,2.9151527211158026,0.24196003778740138,0.8644996263143765,2.4880426076558466,0.1636701558901379
2020-04-29,353.25185,11.68652,60.92532,0.94286,-0.5799316,-0.35142589999999996,-0.207967,-0.5224834,-0.668531,0.14166109999999998,0.0,0.0,0.0,0.0,2291991.8128302814,3968.644914058422,428.22935804089246,1312.4298880188483,13.455085295588926,243.06215930738264,5.478679719384479,0.059907914655207305,1.0146520853447927,659.3461569432914,72.46636833416544,19.550213806818086,0.502287587746112,0.002096777012932256,11.882589999999997,379.562967815804,0.0,2.4284954301941637,0.017637330423541476,2.9154506952686905,0.22053862785681932,0.7678101300796627,2.3702296756434382,0.05826575455072547
