,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-13,60.87249,1.80554,16.77486,0.00506,-0.037760600000000005,0.1031583,0.0844811,-0.0784453,0.0245004,0.003146,0.0,0.0,0.0,0.0,45917251.818482906,1068.0649692390434,47.14312080011189,485.5081335962607,8.650300510521005,116.39504223360656,0.8060068905865045,0.01446903314577831,0.1932309668542217,61.56937479407632,8.836869023090635,8.980590228968639,0.30504598358373,0.0005064161601022409,1.8106,139.74776882606903,0.0,1.8969814206272329,0.0026332711984195624,-0.11093668061184889,0.5575675451610075,-0.1364581211771804,2.5644735807922117,-0.6674921601649788
2020-03-14,82.28696000000001,2.01324,21.41447,0.2077,-0.07582760000000001,0.0756161,0.0771591,-0.1104703,-0.0168436,0.0150205,0.0,0.0,0.0,0.0,45916875.33157193,1313.8714897430377,130.79742386050074,486.1470570296739,8.504399815228755,116.54821684566775,1.99836932294861,0.03587372801516609,0.4790862719848339,105.43593553368517,9.85057591367714,9.65348234777193,0.3054474207867208,0.0012555804805308136,2.0183,149.40699703208236,0.0,7.9888365065609275,0.053312748080577746,-0.20783263047777717,0.3945692600182846,-0.12423381277932297,2.3168036541814176,5.67203285237951
2020-03-15,109.08625,2.5282,26.79929,0.51496,-0.1213752,0.0418023,0.0661834,-0.15082399999999999,-0.0653941,0.0294018,0.0,0.0,0.0,0.0,45916436.7370453,1591.7670391217716,160.89939384921982,551.6344725219176,9.536655217786963,132.24807842271005,3.618260783408527,0.0649532104708341,0.8674367895291661,149.26275954013616,12.363905236625751,11.520404905756164,0.3465933289370467,0.0022733623664791935,2.53326,176.20628703208234,0.0,3.354926285859023,0.034791593359376316,-0.304056933778593,0.20853437119484883,-0.10605082070855992,2.052727454127929,1.302198831731094
2020-03-16,142.05318,3.46059,32.96693,0.93239,-0.1742707,0.0019351,0.050604300000000005,-0.19912310000000003,-0.1202975,0.0461869,0.0,0.0,0.0,0.0,45915931.36743756,1902.4893191046788,194.93105204219805,634.2997299213588,10.868228257107534,152.06613184024818,5.674490302498903,0.10186561582930084,1.3603943841706987,198.92679495341523,16.91455602003428,13.816984601878232,0.3985321184375013,0.0035652965540255302,3.46565,209.17321703208233,0.0,3.1428465166472748,0.04435535853656982,-0.3888516221006245,0.00912986506200851,-0.08053260044625704,1.7940464799353601,1.3488000367119146
2020-03-17,181.99291,4.92285,39.93973,1.46226,-0.2327938,-0.043037200000000005,0.0302154,-0.2530398,-0.17972359999999998,0.0649032,0.0,0.0,0.0,0.0,45915354.47531679,2246.7768285057205,232.98273890426336,735.6021808427457,12.5203585657303,176.35224001731103,8.162983218519615,0.14653779779878476,1.9569822022012153,255.972526823162,24.05130632253318,16.599311405939073,0.4621807035844897,0.005128822922957468,4.92791,249.11294703208233,0.0,2.9616084157089198,0.05266735653946584,-0.44891675419689114,-0.18991603011225308,-0.04765194108338633,1.5678161120277028,1.393792303681217
2020-03-18,229.72911,7.02637,47.7362,2.10352,-0.2948272,-0.09198410000000001,0.0049961,-0.3097602,-0.2415979,0.0849854,0.0,0.0,0.0,0.0,45914698.00353467,2628.590280337927,275.1448925128475,856.9724945341137,14.51372882265787,205.44938960236934,11.079509644562913,0.1988938235621027,2.6561861764378976,322.073280326186,34.317809541052796,19.924764752369033,0.5384379774711457,0.006961283824673596,7.03143,296.8491470320823,0.0,2.81999949357224,0.05980953657811053,-0.47387522389066944,-0.3753560875558936,-0.007790583544988002,1.3972789424286822,1.4227205511435579
2020-03-19,286.10398,9.88145,56.37487,2.85508,-0.3582538,-0.1437751,-0.0250742,-0.3664707,-0.303846,0.1058682,0.0,0.0,0.0,0.0,45913940.51825159,3064.785222544557,321.9025498962916,999.8169284687671,16.86855486994444,239.69471479909566,14.417705347116227,0.25881944557780534,3.4564805544221957,399.02837328717635,48.25239918561571,23.852014933490572,0.6281874952110337,0.009058680595223186,9.886510000000001,353.2240170320823,0.0,2.755527549405445,0.06590347791489364,-0.4582055820485954,-0.5361646777819569,0.038568599933621224,1.2984991775233021,1.4570283718821428
2020-03-20,352.0591,13.59675,65.95512,3.7153,-0.4209123,-0.1970777,-0.0595587,-0.4205176,-0.3644189,0.126932,0.0,0.0,0.0,0.0,45913055.30187196,3575.440214352464,375.319875981104,1165.8417936695273,19.61042115135863,279.49728423028296,18.162241836926704,0.326039494462523,4.354190505537476,488.76066226694957,66.38540453273194,28.44665536398545,0.732501336318869,0.011411382306188305,13.601810000000002,419.1791370320823,0.0,2.752613930845663,0.0709608291213783,-0.4018331113129602,-0.6636511115535145,0.0901670481210585,1.2789836626748172,1.4736302681708457
2020-03-21,428.95898,18.27698,76.89988,4.68023,-0.48046570000000005,-0.2497517,-0.09619,-0.469889,-0.4213693,0.1473393,0.0,0.0,0.0,0.0,45912013.18079667,4180.634612073028,437.8557322573064,1358.2896310713102,22.79237263447804,325.6344601334453,22.29565627813667,0.40024048610861984,5.345129513891381,593.343492499865,89.22787636965865,33.80374208823376,0.8534167974336914,0.014008417013801695,18.282040000000002,496.0790170320823,0.0,2.7794592325751664,0.07471234025332682,-0.3105820372822725,-0.7517511676161204,0.14314505935623492,1.3351126918780754,1.444346540697091
2020-03-22,518.67193,24.02235,89.71295,5.74537,-0.534533,-0.2994548,-0.1322432,-0.5127333000000001,-0.47277549999999996,0.1661983,0.0,0.0,0.0,0.0,45910780.08732991,4902.886850669242,511.9690778275241,1582.1429327698036,26.49806586519678,379.3007382086044,26.80033060968082,0.48110614988305844,6.42507385011694,715.1395914770334,117.26890264779531,40.05342743804383,0.9940643908926866,0.016838715245907045,24.027410000000003,585.7919670320823,0.0,2.8192173006066574,0.07698085950801975,-0.19593957354988545,-0.8003500942302112,0.19344347871671255,1.4514546483568493,1.367762652249808
