,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-12,55.67903,2.03913,16.23955,0.16716,-0.016329800000000002,0.13497372500000002,0.081508925,-0.11595784999999999,0.02997135,0.0013126,0.0,0.0,0.0,0.0,88369382.47423404,1189.2457298289037,64.32893815645411,573.4781645067214,10.238313179515732,137.48485464780913,0.07842753615191744,0.0014078919589609034,0.0188021080410391,64.88304251622648,10.768085583207025,10.524230281379802,0.36031777564661643,4.927621856363161e-05,2.20629,163.30794483550727,0.0,1.3864323041354754,0.00018777481897766594,-0.16084731995782145,0.5123925592714751,-0.19426528421237127,3.677015916212178,-2.290583612076703
2020-03-13,77.98935,2.05934,22.31032,0.02021,-0.04691065,0.11175242499999999,0.07549595,-0.135785775,-0.00031497500000000103,0.009539375,0.0,0.0,0.0,0.0,88368870.67464998,1555.5311779970243,145.6374680180228,582.4920159490558,10.212371808557759,139.64582281027134,0.9741157904430638,0.01748684015528778,0.23353315984471223,116.71463451657036,10.866723119358943,11.442422262771913,0.3659812012183723,0.0006120394054350723,2.2265,176.48840220357854,0.0,7.958079357933207,0.019044862631859658,-0.4424112412079709,0.4147750866031079,-0.17656491328345547,3.315534893222577,4.64254446471063
2020-03-14,107.82924,2.31036,29.83989,0.25102,-0.085360125,0.0815495,0.066330375,-0.16371259999999999,-0.038677500000000004,0.020337775,0.0,0.0,0.0,0.0,88368242.27430204,1993.6598472653593,190.49353426660753,654.1492842435932,11.324935483764321,156.82483628571478,2.332840839075961,0.04187799362342142,0.5592720063765785,169.24741067555598,12.091858909802006,13.521162549129057,0.4110036434294182,0.0014657297768197498,2.47752,206.32829220357854,0.0,4.316474596053121,0.020145851744091545,-0.7600579048028704,0.29369286175838205,-0.15061680132687016,2.902754116739537,1.413720479313584
2020-03-15,146.85976,2.91151,39.03052,0.60115,-0.13175665,0.044603575,0.052872199999999994,-0.199579525,-0.08468925000000001,0.0336989,0.0,0.0,0.0,0.0,88367492.4917683,2499.6164243308003,244.14766852826767,754.4888977204538,12.944020866510492,180.88011515783973,4.172841643946404,0.07490876909800392,1.0003912309019958,228.15711371149882,15.025849748877967,16.240150934189064,0.47404727538412694,0.0026218069184301375,3.07867,245.35881220357857,0.0,3.937830922245749,0.02755023504683001,-1.089423079323685,0.15462576965167385,-0.11477598696368667,2.4701626644751977,1.4676682577705513
2020-03-16,196.88356,3.98681,50.0238,1.0753,-0.18576305,0.0013580999999999999,0.034228999999999996,-0.2428207,-0.1376268,0.049505825,0.0,0.0,0.0,0.0,88366619.46210955,3066.971625401217,306.10814731130074,887.9615554276426,15.140636071569482,212.8786638037395,6.49893018649073,0.11666554886647273,1.5580444511335267,296.02963085705613,20.27399139282437,19.724965668314173,0.5579084825079648,0.0040832942103265464,4.153969999999999,295.38261220357856,0.0,3.5777621935611026,0.03347826434617121,-1.398517168533893,0.004493892246535292,-0.06956868399306751,2.0561440008304706,1.521618192730632
2020-03-17,259.60254,5.66152,62.71898,1.67471,-0.24537942499999998,-0.046923875,0.010498849999999999,-0.29124165,-0.19558152499999998,0.06720942499999999,0.0,0.0,0.0,0.0,88365622.11423936,3689.2945725154236,375.58762735336006,1058.3180961541984,17.972533353118525,253.71970307894907,9.300551152590522,0.1669588492015457,2.229701150798454,375.848385456541,28.4476315793151,24.094166441012327,0.6649439262623806,0.0058435597220541,5.8286799999999985,358.10159220357855,0.0,3.2601710923820186,0.038212675014804125,-1.646910391742157,-0.14700665337108534,-0.019489251511400504,1.7063296644862527,1.553841427895766
2020-03-18,336.55728,8.05818,76.95474,2.39666,-0.30819015,-0.0987745,-0.01797265,-0.34224089999999996,-0.25634825,0.08615257500000001,0.0,0.0,0.0,0.0,88364497.39004995,4362.934618541265,451.7985701668914,1268.424990504042,21.48119493958798,304.09043664478173,12.566838777712118,0.22559361332513816,3.0127563866748615,470.9301077580396,40.14484273190563,29.455074884848397,0.7969546173499347,0.007895776466379838,8.22534,435.05633220357856,0.0,2.996671196250541,0.042081228524714666,-1.8032549627286985,-0.2907704873114836,0.02956511513823825,1.455275626208952,1.541395570041589
2020-03-19,429.127,11.29653,92.56972,3.23835,-0.371779775,-0.15272585,-0.050839875,-0.39321695,-0.317721875,0.10567802500000001,0.0,0.0,0.0,0.0,88363231.56427903,5095.36164112044,534.2939100264364,1520.3248657838346,25.693252652819453,364.4805611204585,16.28972135105908,0.2924249419163871,3.905275058083613,584.8440374130005,55.950031509617745,35.903771788918775,0.955223943653833,0.010234872967073552,11.46369,527.6260522035785,0.0,2.8039494577225392,0.04534636163963768,-1.8514121173845288,-0.4195417694183697,0.07122992032887078,1.320011994636868,1.4839374630856712
2020-03-20,538.59932,15.49423,109.47232,4.1977,-0.43374290000000004,-0.207153625,-0.0873524,-0.441698975,-0.37752162499999997,0.12510427500000001,0.0,0.0,0.0,0.0,88361807.22224593,5896.826944350476,623.9884234486174,1815.5559875684962,30.626505684424494,435.25885814766485,20.47148844444385,0.3674939362249605,4.9078060637750385,721.3367935698993,76.43745286067683,43.52995679915108,1.1407184013104816,0.012862287767873622,15.66139,637.0983722035785,0.0,2.6681682187509956,0.048188437040523106,-1.791747697042772,-0.5279376742535783,0.09871403080191013,1.2987646206164554,1.3694035981345403
2020-03-21,666.44929,20.76953,127.84997,5.2753,-0.491714775,-0.2598075,-0.12514015,-0.485738575,-0.433664,0.1436523,0.0,0.0,0.0,0.0,88360205.70259015,6777.580238159835,722.1375061310605,2156.2685164837094,36.31010866086178,516.9408042334195,25.117184877114212,0.4508911583263979,6.021558841673602,884.2863600088041,102.18424130512068,52.43638652287164,1.3547889416583594,0.015781190541423927,20.93669,764.9483422035785,0.0,2.569062745617813,0.05062535407712652,-1.6406645190636246,-0.6122385274601312,0.10631962474769928,1.373152539334839,1.195910206282974
