,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-25,50.42261,1.7806,7.66115,0.1495,-0.3985654,-0.1924568,-0.1656603,-0.2715305,-0.5369785,0.1147089,0.0,0.0,0.0,0.0,1571621.6788629151,657.3205554189566,30.066454034025952,395.17815031208266,4.158971765768594,72.11559585867823,0.8888939282771905,0.009446792508019865,0.16221320749198018,72.49626566485068,11.924590102340705,4.373834113295194,0.14699257749773,0.00033063773778069526,1.9301,90.16162,0.0,1.8006776590687084,0.004319684863815178,1.4699136578061296,0.12106620491346931,1.4177861353204035,2.8054914068671257,-1.0048137477984174
2020-04-26,60.55889,1.95226,10.13628,0.17166,-0.3955635,-0.1894493,-0.1601533,-0.2659038,-0.5325221,0.1133926,0.0,0.0,0.0,0.0,1571377.1380294086,821.5023709461851,80.49682161246017,390.9605967794414,4.039163589435603,71.34593947501405,1.0541828376946896,0.01120341383422279,0.19237658616577716,106.27417132058582,12.985144030617896,4.641648455534964,0.14542379373777767,0.0003921194841977976,2.10176,95.02814056238665,0.0,8.144371117582947,0.041832762728564205,1.491312518039968,0.10513072279970037,1.343732810516057,2.7369014601828483,5.4074696574000995
2020-04-27,73.58801,2.15584,13.02912,0.20358,-0.3938869,-0.19039459999999997,-0.1545886,-0.2591673,-0.5289492,0.1128214,0.0,0.0,0.0,0.0,1571097.8970809265,1000.3424663401262,100.60286303707619,429.089924096667,4.377026841041698,78.30411557103751,1.2777785491184872,0.01357969544028301,0.23318030455971697,139.61907777010921,14.242906868312586,5.358666940925223,0.15960658217430282,0.00047528934040990545,2.30534,108.05726056238666,0.0,3.4747673492411097,0.01893911484428725,1.503049569615734,0.11009142281470652,1.2707842730992176,2.680650674356781,0.7941166748843287
2020-04-28,89.87147,2.4026,16.28346,0.24676,-0.39322450000000003,-0.19370539999999997,-0.148689,-0.2521224,-0.5262454000000001,0.1128328,0.0,0.0,0.0,0.0,1570784.561032232,1191.4399207993445,122.50398743886188,481.0454376592094,4.86033399831092,87.7854161331952,1.5666198826807713,0.016649380201423335,0.28589061979857666,176.1672664390491,15.767445417431073,6.254778253593528,0.17893223276441053,0.0005827283070498168,2.5521000000000003,124.34072056238665,0.0,3.1207299410397424,0.018579589350174962,1.5076443399030506,0.1278129960081401,1.1955100523845412,2.627692797122855,0.49303714391688747
2020-04-29,109.69982,2.70514,19.82835,0.30254,-0.39310670000000003,-0.1971358,-0.1420516,-0.2457789,-0.5243069,0.1131569,0.0,0.0,0.0,0.0,1570433.319250833,1397.1103944370132,145.90617313864487,547.2715342318519,5.491190440842555,99.87093860441179,1.9232441681313723,0.020439433795896883,0.35097056620410316,217.09925884584604,17.636605300111846,7.3459719401040475,0.2035660457045706,0.0007153801828563909,2.8546400000000003,144.16907056238665,0.0,2.873722942720557,0.01873126104794398,1.5084589522582377,0.14674472947721973,1.1133621951538044,2.565291285716385,0.3084316570041721
2020-04-30,133.31602,3.07655,23.6162,0.37141,-0.3930688,-0.19880520000000002,-0.1343291,-0.240945,-0.5229642,0.1135636,0.0,0.0,0.0,0.0,1570038.900244133,1620.8490709707894,171.09300061707273,627.9490927262376,6.269049413901422,114.59369136453094,2.332841684889649,0.024792464713899745,0.42571753528610023,263.63123962112354,19.93125946824322,8.64561857431061,0.2335753016817755,0.0008677362649864911,3.2260500000000003,167.78527056238664,0.0,2.710257440855569,0.019076312023102792,1.5087208775556329,0.15616767698903156,1.0211696712135323,2.48278363458532,0.22747380627024905
2020-05-01,161.00893,3.52706,27.69291,0.45051,-0.3926638,-0.1982948,-0.12539730000000002,-0.23762339999999998,-0.5217854,0.1139821,0.0,0.0,0.0,0.0,1569595.6078129495,1866.1501251161055,198.4924972314272,723.5030050043115,7.196144886266815,132.03121242969917,2.7760976575130183,0.029503203608729642,0.5066067963912703,316.9923835719078,22.714611153132868,10.169614698703413,0.2691180457445578,0.0010326121263055375,3.6765600000000003,195.47818056238665,0.0,2.5985438868622053,0.01935910671720667,1.5115149105405585,0.15327213777063808,0.9190810479008391,2.3805935050391587,0.2179503818230466
2020-05-02,193.13669,4.06317,32.12776,0.53611,-0.3914493,-0.19555160000000002,-0.1151876,-0.2356153,-0.5202731,0.11438100000000001,0.0,0.0,0.0,0.0,1569098.8044330461,2135.0234893110605,228.53256677451105,834.7057291006073,8.27852652132868,152.3244667581062,3.2336973105588953,0.03436638113368429,0.5901136188663157,378.44579236692135,26.026818810645885,11.93766947248566,0.31048160551317,0.0012028233396789501,4.21267,227.60594056238665,0.0,2.511139350162027,0.01943739619568871,1.5198397768265188,0.13792973824447685,0.8083518261389679,2.2628467500370864,0.2482926001249406
2020-05-03,230.1267,4.68765,36.99001,0.62448,-0.38898269999999996,-0.19052219999999997,-0.10363149999999999,-0.2347218,-0.5179298,0.1147291,0.0,0.0,0.0,0.0,1568549.544800802,2423.543135886656,261.45934968965724,962.6403814971895,9.525587203308099,175.6711110026484,3.698184001497168,0.0393027512138974,0.6748772487861027,449.3182737959094,29.88499612120478,13.973303570933638,0.3580688627848552,0.0013755962924864092,4.83715,264.59595056238663,0.0,2.4123451190250518,0.01930737515345359,1.5364989591577398,0.1107644103221973,0.6906982014497438,2.134686979756804,0.2776581392682478
2020-05-04,272.4462,5.40183,42.3195,0.71418,-0.38511629999999997,-0.18334530000000002,-0.09093540000000001,-0.23475169999999998,-0.5145085,0.1150123,0.0,0.0,0.0,0.0,1567950.8521753112,2726.297785894334,296.79205658680104,1108.4793891614447,10.94764501997711,202.2850999816452,4.208808668090514,0.044729456382345725,0.7680605436176543,531.0268892536536,34.297360122701946,16.302230144061603,0.41231591976245,0.0015655309733821003,5.55133,306.91545056238664,0.0,2.299388360055314,0.019206039768900864,1.5619427050962518,0.07415901628539379,0.5708371450267395,2.003664275235508,0.29572408481980617
2020-05-05,320.48461,6.21462,48.03841,0.81279,-0.3808807,-0.1749259,-0.0784045,-0.23554390000000003,-0.5107641,0.1152849,0.0,0.0,0.0,0.0,1567306.4146810758,3037.87666488665,333.8680111619287,1272.85689967476,12.54925788629072,232.28215854136644,4.816732163253873,0.05119021276380635,0.8789997872361938,625.0864458191327,39.31895879079246,18.945879751921247,0.47345865737061693,0.0017916574467332226,6.36412,354.95386056238664,0.0,2.181561790963749,0.01936346352845567,1.588877684195075,0.03445286789927349,0.46218528106245366,1.882241241983925,0.2993205489798241
2020-05-06,374.52409,7.14481,54.03948,0.93019,-0.3776013,-0.1663612,-0.0676189,-0.23694500000000002,-0.507702,0.11561830000000001,0.0,0.0,0.0,0.0,1566619.7015460678,3353.7533888689686,372.02459889326593,1455.7551238406372,14.32812639355318,265.6590403522662,5.572959993182808,0.059227085523163345,1.0170029144768367,733.0631046360973,45.06588095404633,21.91978022262665,0.5414904586447217,0.002072947993310717,7.294309999999999,408.99334056238666,0.0,2.0677077143398517,0.019915624650718326,1.6090581126871704,-0.0023531467892389246,0.37634300057879155,1.7797733753038458,0.28793433903600585
2020-05-07,434.73955,8.22104,60.21546,1.07623,-0.3766036,-0.158748,-0.060158699999999996,-0.2388014,-0.5063277,0.11608399999999999,0.0,0.0,0.0,0.0,1565891.2072732348,3672.933586145634,410.7075095253951,1656.5666103342955,16.275878995903113,302.30489233654356,6.51306655661473,0.06921814447592463,1.1885618555240751,856.5183319233797,51.71507094722914,25.23355720267424,0.6161853727424329,0.002422635056657362,8.37054,469.20880056238667,0.0,1.9697564563968613,0.020887991223516353,1.6150809687524843,-0.03203440612676567,0.3211225090896696,1.7008944805425112,0.26886197585435
2020-05-08,501.21618,9.47882,66.47663,1.25778,-0.37890320000000005,-0.1530279,-0.0572574,-0.240976,-0.5074088,0.1167628,0.0,0.0,0.0,0.0,1565120.6667159596,3995.307275473797,449.79497026368523,1874.28994678961,18.380251633415206,342.0369679293231,7.610021524377984,0.08087612260069997,1.3887438773993002,996.9583129222283,59.485917503843865,28.891898867840318,0.6971709089662802,0.002830664291024499,9.62832,535.6854305623866,0.0,1.8884681562958927,0.022107318015368714,1.6011170151042866,-0.05245527680775963,0.30056469802201424,1.645951845145664,0.24251631115022865
2020-05-09,574.01946,10.94844,72.80328,1.46962,-0.3842766,-0.1495211,-0.0587631,-0.2433966,-0.5107617,0.1177744,0.0,0.0,0.0,0.0,1564307.8310591667,4320.764475610611,489.2735125798616,2107.9360978798773,20.629457920782222,384.67477923709623,8.821259895363173,0.09374865688679414,1.6097813431132058,1155.800268681308,68.56555902822186,32.898408713251435,0.7840791804485469,0.003281202991037795,11.097940000000001,608.4887105623866,0.0,1.8203017718479637,0.02339908311823314,1.5673604893356998,-0.06417709355359347,0.31116952811136084,1.6110783327205902,0.2092234391273735
2020-05-10,653.21269,12.65197,79.19323,1.70353,-0.3921909,-0.1483922,-0.0641771,-0.24600729999999998,-0.5159651000000001,0.11924799999999999,0.0,0.0,0.0,0.0,1563451.610502824,4650.052352705882,529.1296679456495,2356.618239458957,23.013110074645894,430.05649076447867,10.104268450700697,0.10738393464347644,1.8439160653565234,1334.3737188520754,79.09034892358503,37.256570264281926,0.8765803193386812,0.003758437712521676,12.801470000000002,687.6819405623866,0.0,1.7640723192143004,0.024639732461979393,1.5147660229535633,-0.06782156219397084,0.3504445734967931,1.5941144430835086,0.16995787613079183
2020-05-11,738.85699,14.60327,85.6443,1.9513,-0.402113,-0.1498059,-0.0730009,-0.24875219999999998,-0.5225977,0.12131259999999999,0.0,0.0,0.0,0.0,1562547.3946580254,4987.349689486712,569.4549358581814,2619.5473740986013,25.522123697543616,478.03811929877475,11.413582383852784,0.12129877494204815,2.0828512250579516,1533.929449776728,91.14591737428572,41.969747076553894,0.9743808459351218,0.004245457122971685,14.752770000000002,773.3262405623866,0.0,1.7239863397766446,0.02573609685641659,1.443989461054529,-0.06324773965350605,0.4182904409524224,1.5957575711805683,0.12822876859607635
2020-05-12,831.02829,16.80742,92.1713,2.20415,-0.4135021,-0.153772,-0.0846224,-0.25160720000000003,-0.5302859999999999,0.12403259999999999,0.0,0.0,0.0,0.0,1561589.207128223,5337.691911571743,610.7610586096582,2896.124938755543,28.149658627017615,528.5104337742232,12.692085884328371,0.13488617486183202,2.316163825138168,1755.6480847963608,104.7636497581385,47.042117729556644,1.0772581155282477,0.004721016120164124,16.95692,865.4975405623866,0.0,1.698905504798576,0.02659233405626263,1.3561115508247648,-0.04989008730075706,0.5149006913874006,1.6178475637385312,0.08105794106004471
