,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-06,52.67379,0.81851,2.82693,0.20556,-0.5191595,-0.3206662,-0.0861501,-0.4270852,-0.6787115,0.12014010000000001,0.0,0.0,0.0,0.0,881041.0453175516,263.49747785569537,289.09997318832563,240.19148907758708,3.0628856508581928,48.61201331985054,1.1057563206104737,0.014347553429747615,0.22379244657025238,42.36780911221901,5.779137923270209,3.348944538808249,0.10907973624361102,0.0005021643700411666,1.02407,60.49667997185227,0.0,0.01,0.030441435435862866,-0.10376237308000513,0.0495789929030629,0.20354599988246008,0.37732325357512875,-0.36732325357512874
2020-04-07,55.96276,1.05665,3.28897,0.23814,-0.5165021,-0.3219191,-0.0836515,-0.422604,-0.6796019,0.1195278,0.0,0.0,0.0,0.0,881038.2377825481,234.11710632453656,278.37972360809675,257.10155170059716,3.2287710439658595,52.034416805611585,1.2216067455673532,0.015850750952516587,0.24723924904748334,63.29291697970147,7.123034243880683,3.8078955185405596,0.11675921388815426,0.0005547762833380805,1.26221,68.11432620321918,0.0,0.01,0.03453691494843688,-0.09863667146887267,0.05005510667319553,0.19659567602452271,0.37597474509845646,-0.36597474509845646
2020-04-08,59.81874,1.31974,3.85598,0.26309,-0.5167808,-0.32340539999999995,-0.08500479999999999,-0.41989269999999995,-0.681229,0.11963810000000001,0.0,0.0,0.0,0.0,881035.5771254721,208.22761257701785,265.6555770278095,271.39233009162837,3.361404525519175,54.9267070868523,1.3155872105423931,0.01707017852208949,0.26625982147791055,85.65259501909,8.607730989448036,4.2498279251005515,0.12324917880571236,0.0005974562482731324,1.5253,75.44949897769322,0.0,0.01,0.03862622036470241,-0.09917202022366634,0.05062276520434027,0.20035237005618267,0.3797637489064675,-0.3697637489064675
2020-04-09,64.32489,1.60307,4.50615,0.28333,-0.5190416,-0.32443350000000004,-0.0895499,-0.4184778,-0.6831799,0.12033630000000001,0.0,0.0,0.0,0.0,881033.0860906142,185.38147916397307,251.65300967873824,283.0085022123001,3.460638530432021,57.27768761503149,1.4077103540752383,0.018265506732579925,0.2849044932674201,109.21506363130918,10.206648199990429,4.6715605389214545,0.12852450723616296,0.0006392927356402977,1.8086300000000002,82.44939656630088,0.0,0.01,0.04331063364318499,-0.10353396049080765,0.05101723461950619,0.21310362451593354,0.388547532514243,-0.378547532514243
2020-04-10,69.53992,1.90624,5.21503,0.30317,-0.5220741,-0.324281,-0.09636139999999999,-0.4177069,-0.6849175,0.1214557,0.0,0.0,0.0,0.0,880762.0616258656,433.91134836334453,236.9348167664984,291.9674187768484,3.527230281814446,59.090869976487156,1.5180352477415897,0.019697008662078557,0.3072329913379214,133.74419616759053,11.917528554065667,5.07106384592939,0.13259307877315768,0.0006893953031727495,2.1118,89.08033319230536,0.0,1.0789051383578863,0.04930374371516107,-0.10943853595366271,0.05095862873927401,0.23260071370908794,0.40208144036431015,0.6768236979935761
2020-04-11,75.49804999999999,2.23317,5.95813,0.32693,-0.5246678,-0.3222256,-0.1045138,-0.4169281,-0.6859049,0.1228293,0.0,0.0,0.0,0.0,880596.3528136044,546.7367141265239,254.84067177705322,298.3387196131478,3.5625630951964697,60.38034847678039,1.661884793439551,0.021563504023015743,0.33634649597698424,159.00588071169167,13.762493801807256,5.447201778729694,0.13548651940846576,0.000754722640805551,2.43873,95.32345246387024,0.0,0.7013914573772473,0.05732871413015422,-0.11453757322798508,0.050171914201335994,0.25654700285539417,0.420141977698356,0.2812494796788913
2020-04-12,82.21298,2.59108,6.71493,0.35791,-0.5259792,-0.3178714,-0.113133,-0.4156718,-0.6857605,0.1243025,0.0,0.0,0.0,0.0,880491.9105882068,584.5266859951201,283.9007809953363,306.26978459613423,3.620869963601211,61.98550542082597,1.8355907813207883,0.023817396581203607,0.37150260341879643,184.77258544556256,15.782288595246808,5.851765551938794,0.13908830596550587,0.0008336088803421262,2.79664,102.03838246387024,0.0,0.41164425351907613,0.0588717976211219,-0.11713283905708183,0.04852486328819344,0.28258850454330947,0.441941162644032,-0.030296909124955862
2020-04-13,89.69363,2.9864,7.48065,0.39532,-0.5266325,-0.3121276,-0.12155010000000001,-0.41419910000000004,-0.6847252,0.12577080000000002,0.0,0.0,0.0,0.0,880383.5615337117,621.6446279239174,313.2675371374084,316.99182910387356,3.717499567515853,64.15552473511521,2.0308416979314807,0.026350841704748103,0.4110191582952519,211.18003674593288,18.013199376567595,6.302462728239464,0.1439575783589114,0.0009222794596661838,3.19196,109.51903246387023,0.0,0.38350874560143444,0.058466844458703454,-0.11843001896738325,0.046392782588994735,0.3087376431240328,0.46466104061525515,-0.08115229501382071
2020-04-14,97.94808,3.42377,8.25445,0.43737,-0.5276185999999999,-0.3062298,-0.1291475,-0.41295360000000003,-0.6831950999999999,0.1271417,0.0,0.0,0.0,0.0,880274.6558885588,654.823817591248,342.81304414718414,330.3282157203944,3.8492906698681653,66.85465702465095,2.239929659286522,0.029063827053456993,0.453336172946543,238.4713455540162,20.481411074499075,6.799780114685169,0.1500141190804813,0.001017233946870995,3.62933,117.77348246387024,0.0,0.3495404896700258,0.05844120444124077,-0.12039341171413775,0.0442516108710401,0.332949664089295,0.4847684971158083,-0.13522800744578245
2020-04-15,106.98104,3.90617,9.03296,0.4824,-0.5296745,-0.3012061,-0.1354299,-0.4122571,-0.6815217,0.1283328,0.0,0.0,0.0,0.0,880167.0796954314,682.6622400531863,372.02837439495937,346.1047232077148,4.013235001026812,70.04764190125749,2.4574684332035486,0.031886464485991126,0.49736353551400897,266.8736308433693,23.203740733785597,7.344001481229105,0.15717880789677147,0.0011160262570096891,4.11173,126.80644246387024,0.0,0.31572092089267373,0.05859098235794246,-0.12450778488038405,0.04246619308171261,0.35340769778179737,0.49932673985273685,-0.18360581896006312
