,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-14,57.23109,4.81735,8.62901,0.83998,-0.605258,-0.3513538,-0.18060500000000002,-0.537362,-0.6356288,0.13907619999999998,0.0,0.0,0.0,0.0,3333161.931703393,2137.8239095038734,114.14494861129356,1287.102459804032,1.474091565058775,75.68212204832382,17.828025087216467,0.020555235077611787,1.0482947649223884,459.9243752410292,100.01951474684222,1.5586436490855222,0.05193981231956664,0.0007194332277164126,5.65733,109.95188456849544,0.0,1.4172784995094934,0.02027378397363375,6.437407340605265,1.8308987011209403,-1.6906277329899067,2.7764164751497824,-1.359137975640289
2020-04-15,68.60556,5.8862,11.37447,1.06885,-0.6073944,-0.34708799999999995,-0.1883685,-0.5372529,-0.6344802,0.1397073,0.0,0.0,0.0,0.0,3332286.6575278775,2752.1700317179457,261.802294882596,1280.4572459916656,1.4395245598847533,75.29138090805648,21.954065753188992,0.025312449374425016,1.2909075506255747,556.9953184758048,118.91638983405869,1.6828057785803765,0.05167165095012115,0.0008859357281048757,6.72618,116.40818105985106,0.0,7.685413460740158,0.20386610214730622,6.413524682619313,1.6999452601348475,-1.7571333564897371,2.555074752677907,5.130338708062251
2020-04-16,83.41369,7.20242,14.80813,1.31622,-0.6105916,-0.343885,-0.1965194,-0.5380514000000001,-0.6342106,0.1403892,0.0,0.0,0.0,0.0,3331198.414457529,3504.43548037407,337.0363793798517,1409.479129245326,1.563956752008641,82.8779175049913,26.06943145442763,0.030057355723023194,1.5328926442769766,653.3736221738517,142.1866755872477,1.9675834304584092,0.056878208011889544,0.0010520074503058117,8.0424,131.21631105985105,0.0,4.167111250760542,0.10554675033241874,6.377170971481998,1.603374818796989,-1.8264105279376652,2.3528734287548057,1.8142378220057367
2020-04-17,102.47723,8.76537,19.06354,1.56295,-0.6142813,-0.3417422,-0.20491800000000002,-0.5393878,-0.6346501,0.1410846,0.0,0.0,0.0,0.0,3329867.9735813374,4406.957966669149,429.1603470946502,1596.4337303234179,1.754598671657478,93.87092029860116,29.855040823183437,0.03442206185879039,1.7554879381412096,759.38484774083,169.8190570416753,2.334197591576859,0.0644225855541048,0.0012047721650576637,9.605350000000001,150.27985105985104,0.0,3.9584593136934423,0.09389179554269564,6.334304668666732,1.5396105699772722,-1.8972067663478553,2.1754466387096327,1.7830126749838096
2020-04-18,126.75151,10.55528,24.27428,1.78991,-0.6178954,-0.340657,-0.2134245,-0.5408926000000001,-0.635629,0.1417562,0.0,0.0,0.0,0.0,3328292.4113782234,5444.278537701656,539.6850994116136,1853.6618426550667,2.0244805297257416,108.99603271172471,33.07637822795877,0.03813617754437691,1.9449038224556232,879.4192026745736,201.46400786485873,2.801020374698691,0.07480278471855704,0.0013347662140531919,11.395260000000002,174.55413105985104,0.0,3.6828948422677885,0.08169305124601017,6.291368630430279,1.5075750280320683,-1.9683060450997818,2.029375779776049,1.6535190624917395
2020-04-19,157.27732,12.53832,30.52581,1.98304,-0.6209575,-0.34052889999999997,-0.22183160000000002,-0.5423089999999999,-0.6369694,0.1423623,0.0,0.0,0.0,0.0,3326477.649920352,6593.9941274344355,666.7175012937029,2193.9403790619835,2.3869772724137697,129.0045421560267,35.83702418593715,0.04131912833980708,2.107230871660193,1018.7975521518154,236.5234260928175,3.3880673882969625,0.08853440583599555,0.001446169491893248,13.378300000000003,205.07994105985105,0.0,3.3748942483944777,0.07038470068443721,6.254256210436555,1.503804877455603,-2.037974795795884,1.9188244585097576,1.4560697898847201
2020-04-20,194.98837,14.68687,37.71105,2.14855,-0.623359,-0.3408668,-0.22966180000000003,-0.5438307,-0.6384618,0.1428436,0.0,0.0,0.0,0.0,3324432.3634756603,7833.703113512893,807.5140273855978,2627.154674209019,2.8519767240703806,154.4777101300732,38.32545854320135,0.0441882264557531,2.2535517735442467,1183.8028235569734,274.5090002787546,4.113294967258998,0.10601636231327263,0.0015465879259513586,15.526850000000003,242.79099105985105,0.0,3.0806428763588554,0.0609301517724911,6.224678974056699,1.5137549222049804,-2.102326604760153,1.83484545791501,1.2457974184438454
2020-04-21,240.66319,16.98461,45.67482,2.29774,-0.6250833,-0.3410817,-0.2363703,-0.5457637,-0.6398887,0.1431365,0.0,0.0,0.0,0.0,3322171.326615974,9137.658861080305,959.3313291283017,3159.703899658718,3.425270371763838,185.79181039475688,40.72999434951011,0.04696059179119634,2.394939408208803,1381.4581202215506,315.13219882195597,4.991675153653351,0.12750688671565735,0.001643620712691872,17.824590000000004,288.46581105985103,0.0,2.813680189772574,0.05346271753232963,6.203186729640066,1.52009174461476,-2.1570484655905147,1.764968175077795,1.0487120146947788
2020-04-22,294.92514,19.42651,54.26195,2.4419,-0.6261135,-0.34058489999999997,-0.2414119,-0.5484144,-0.6410326000000001,0.1431775,0.0,0.0,0.0,0.0,3319725.853080134,10466.741903684235,1119.0164208801866,3794.7396021254617,4.108910653662983,223.13215511482576,43.25078719362391,0.04986699837516928,2.543163001624831,1619.2600170430776,358.3040931714661,6.0351958890414945,0.15313315675430583,0.001745344943130925,20.266490000000005,342.72776105985105,0.0,2.5635457451220125,0.04778726160781174,6.190244060503222,1.5054527342228772,-2.1979234192797996,1.696511541859783,0.8670342032622296
2020-04-23,358.21924,22.01954,63.2941,2.59303,-0.6264254,-0.3390183,-0.2443315,-0.5519194000000001,-0.6416894999999999,0.14293329999999999,0.0,0.0,0.0,0.0,3317135.403631882,11778.490649735248,1281.7786526507175,4531.9637919429315,4.9010478229856815,266.48122238273965,46.13653039457755,0.05319418293874473,2.7128458170612553,1904.9305228243452,404.14791036509,7.252415428290096,0.18288314733578134,0.0018617964028560653,22.859520000000003,406.02186105985106,0.0,2.329994125950253,0.04370138764908578,6.186310545940184,1.45952771910095,-2.221496149422914,1.6230802820317036,0.7069138439185494
