,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-26,62.56441,0.58853,13.18078,0.00482,-0.5629310000000001,-0.32457729999999996,-0.18840990000000002,-0.5129806,-0.41599980000000003,0.1391985,0.0,0.0,0.0,0.0,4142401.12673561,1203.0029524545205,55.71891540611625,762.8731182281289,4.968587837845607,108.71966537428551,0.5897765167401529,0.0038789251705069958,0.084051074829493,55.33916763745117,4.573150934922891,5.2083585066150055,0.1756079938200895,0.00013576238096774486,0.59335,121.59764000000001,0.0,1.7670806231965166,0.0014895000663185801,1.420933063265073,-0.9383769549345099,1.0224107669400677,2.4165245101201918,-0.6494438869236752
2020-03-27,78.44427,0.67646,15.87986,0.08793,-0.5730669,-0.3414794,-0.1938725,-0.5228734,-0.4285956,0.1439042,0.0,0.0,0.0,0.0,4142004.7539105285,1452.1587626311275,147.32220567980386,755.1577932117035,4.828263090649061,107.62012793614919,1.450864987331542,0.009542252969775598,0.2067677470302244,118.240904483122,5.250857451663044,5.527271632139816,0.1738319805939959,0.0003339788539421459,0.6812800000000001,128.82697026411833,0.0,7.119452786584241,0.029921167258552497,1.421029943540548,-1.0047421857313377,1.0649814873022463,2.392826879961018,4.726625906623223
2020-03-28,97.5588,0.89277,19.11453,0.21631,-0.5770743,-0.3539264,-0.1934977,-0.5285473,-0.43626469999999995,0.1472374,0.0,0.0,0.0,0.0,4141519.2321976973,1760.070895686324,177.8343365422125,826.4597061419581,5.2166884878825535,117.78160817329342,2.705473169479223,0.017793736571997065,0.38556626342800304,180.3777016625824,6.918032438994586,6.370485910991301,0.19024517642700517,0.0006227807800198973,0.8975900000000001,147.94150026411833,0.0,3.299234277327721,0.02110227141342215,1.4208195449961982,-1.054722319010133,1.062037346735225,2.3396922075708515,0.9595420697568695
2020-03-29,120.63217,1.29613,23.07337,0.40336,-0.5764566,-0.3628691,-0.1883813,-0.5309432000000001,-0.4399493,0.1494903,0.0,0.0,0.0,0.0,4140927.8210219876,2136.283053071844,215.54188705546005,917.4540867654256,5.733132629323642,130.7495295431029,4.448711162209414,0.029258909457414647,0.6340010905425852,248.27845217641425,10.026865608473809,7.388339608949005,0.2111914389815212,0.0010240618310095127,1.3009500000000003,171.01487026411834,0.0,3.3300307334182087,0.02874569254512886,1.4208611634425585,-1.0912111308177412,1.022189800675436,2.2633974681498144,1.0666332652683943
2020-03-30,148.59796,1.95939,27.96579,0.66326,-0.5729082,-0.36939520000000003,-0.1799841,-0.5310392,-0.4406812,0.1510008,0.0,0.0,0.0,0.0,4140227.1611956777,2575.8012179702578,261.613598447779,1032.4228760981407,6.403466726350181,147.13412615042725,6.75845119751749,0.044449932677200724,0.9631700673227992,323.55861096094816,15.138836770683223,8.622016474002034,0.23765644078094914,0.0015557476437020254,1.96421,198.98066026411834,0.0,3.2557616959599387,0.036030450060591884,1.4210353745254805,-1.118145599174441,0.9581759341909768,2.1726233443915772,1.0831383515683615
2020-03-31,182.54139,2.96701,33.94343,1.00762,-0.5680095000000001,-0.3745286,-0.1697743,-0.5297734,-0.4395001,0.1520857,0.0,0.0,0.0,0.0,4139418.1446542977,3069.9948985583233,315.43789319041554,1176.3485305203396,7.2578489830857755,167.64546494802434,9.643949406338301,0.06342768325552564,1.3743923167444745,408.1840321273489,22.904907968200714,10.11938966859253,0.27078710802877287,0.0022199689139433976,2.9718299999999997,232.92409026411835,0.0,3.0980274392498552,0.04235930193265678,1.4210943053658558,-1.1395136026679775,0.8826631924326471,2.0758015299800867,1.0222259092697685
2020-04-01,223.46833,4.40483,40.92694,1.43782,-0.5628865,-0.3790393,-0.1592507,-0.5279246,-0.4374775,0.15297840000000001,0.0,0.0,0.0,0.0,4138502.7233484886,3610.2342323785006,375.95786357677815,1353.331384179604,8.320258354941231,192.8678986228565,13.097492346226137,0.08614143033891411,1.8665685696610863,504.52813467807306,33.98667737453901,11.92483192627284,0.31152730863230743,0.0030149500618619936,4.40965,273.8510302641183,0.0,2.9081587152341877,0.047712093794454215,1.4209306500473597,-1.1584214881743509,0.8074929975956402,1.9815597943182102,0.9265989209159775
2020-04-02,272.24752,6.35754,48.77919,1.95271,-0.5585512,-0.3836339,-0.14991949999999998,-0.5262315000000001,-0.4356928,0.1538908,0.0,0.0,0.0,0.0,4137488.9373148414,4182.862613139496,442.1166789736881,1566.2655459268674,9.606505806147087,223.21387655649457,17.111232427910142,0.1125395607981782,2.4385804392018224,615.2982326072125,49.03687972076515,14.076666657171774,0.3605432459706807,0.003938884627936237,6.362360000000001,322.6302202641183,0.0,2.7030671560444883,0.05229935142424464,1.4206122303956203,-1.177807909972605,0.7431017086480614,1.897463663920638,0.8056034921238504
2020-04-03,329.61058,8.90866,57.36306,2.55112,-0.5560159,-0.3890188,-0.143287,-0.5254328,-0.43522530000000004,0.1550354,0.0,0.0,0.0,0.0,4136406.6111274273,4754.116459215013,512.2419234017593,1816.9362731019787,11.125044599310645,258.93782189737266,21.666590316108053,0.14249987944712092,3.087780120552879,743.4352478923638,68.69923214867529,16.60716838913246,0.4182458736512653,0.004987495780649232,8.913480000000002,379.9932802641183,0.0,2.454911179103163,0.05631289544177037,1.420349582852587,-1.200691854783386,0.6986256549151311,1.829841017833893,0.62507016126927
2020-04-04,396.07214,12.13894,66.46156,3.23028,-0.5560446,-0.39568770000000003,-0.1405185,-0.5261045,-0.4368973,0.15658239999999998,0.0,0.0,0.0,0.0,4135294.7364517306,5285.205445145005,582.1988394967743,2105.6071717244045,12.87439783130436,300.0773020437151,26.70165725101649,0.1756152160443709,3.80534478395563,892.0216723125664,93.59610246478334,19.539039399654023,0.4846958719144988,0.00614653256155298,12.143760000000002,446.45484026411833,0.0,2.177666774469323,0.05989868429209304,1.4203528717339806,-1.229276082587269,0.6803784238023578,1.7830128477986307,0.39465392667069255
2020-04-05,471.61036,16.1199,75.53822,3.98096,-0.5584097,-0.4032835,-0.1414153,-0.5281714000000001,-0.4405024,0.1585349,0.0,0.0,0.0,0.0,4134197.061155262,5737.339245469426,647.2370845483088,2428.9970127447964,14.830032535323785,346.1646977863274,32.144061020470915,0.21140958284297298,4.580960417157029,1064.1556209182047,124.27871971579984,22.87131624365829,0.5591379250507927,0.007399335399504056,16.124720000000003,521.9930602641183,0.0,1.8925559845518525,0.06344298290322435,1.4205990578392385,-1.2621617132578657,0.6862687580894103,1.756263737520344,0.13629224703150844
2020-04-06,555.58706,20.91227,83.9767,4.79237,-0.5626356,-0.4112361,-0.1454377,-0.5313954,-0.4455776,0.1608541,0.0,0.0,0.0,0.0,4133150.7966285283,6083.020243456039,702.6063158459385,2779.998844226267,16.942925711703964,396.1871730218689,37.92102697183138,0.24940434526883412,5.404255654731167,1262.6580315026072,161.21515073627074,26.575846385431458,0.6399360630121907,0.008729152084409195,20.917090000000005,605.9697602641182,0.0,1.6237085273683143,0.0673241506274955,1.4209167186182783,-1.296967002254374,0.7129301022336245,1.74843745344709,-0.12472892607877561
2020-04-07,646.74772,26.56593,91.16066,5.65366,-0.5682465,-0.4189757,-0.15204610000000002,-0.5355384,-0.45165930000000004,0.1635013,0.0,0.0,0.0,0.0,4132151.3593505677,6339.918510455333,744.9391189210075,3147.941698627522,19.141696166798127,448.6239715556475,43.97265854767166,0.2892055672162722,6.266694432783729,1489.7572574510032,204.78983770810214,30.597288198624113,0.7246339045771357,0.010122194852569526,26.570750000000007,697.1304202641182,0.0,1.4298360500150906,0.07191589003414413,1.4210963022313197,-1.331208320905005,0.757589591039155,1.759035207215031,-0.3291991571999404
2020-04-08,743.40091,33.12183,96.65319,6.5559,-0.5747319000000001,-0.42594920000000003,-0.16061620000000001,-0.5402996999999999,-0.4582326,0.1663982,0.0,0.0,0.0,0.0,4131180.714043663,6536.996197179909,776.3994069048692,3519.9999901661336,21.342215232412094,501.6472751552771,50.2889618095186,0.33074751914469747,7.166852480855302,1746.79591363374,255.3183962557738,34.861026302806934,0.8102790906507751,0.011576163170064414,33.12665000000001,793.7836102641182,0.0,1.3107233702442616,0.07757219394414193,1.4209596404440425,-1.3623713731725258,0.8170941264928262,1.787240028613904,-0.4765166583696425
2020-04-09,844.13596,40.61943,100.73505,7.4976,-0.5814408,-0.43167079999999997,-0.17018619999999998,-0.5451277999999999,-0.4645751,0.1693092,0.0,0.0,0.0,0.0,4130217.2812178903,6703.215454342368,800.5339440972336,3886.149005808361,23.4803353940258,553.828427573133,56.87275384070021,0.3740487288440749,8.105131271155926,2034.0547229891365,313.1049580652924,39.30483070400426,0.8945640032263737,0.013091705509542625,40.62425000000001,894.5186602641182,0.0,1.2492188793298535,0.08417308573331723,1.420429847603581,-1.3881601922912123,0.8856603831944652,1.829487673356395,-0.5802687940265414
2020-04-10,948.00238,49.09861,103.86642,8.47918,-0.5876874,-0.4356718,-0.17970960000000002,-0.5494086,-0.46991259999999996,0.1719593,0.0,0.0,0.0,0.0,4129239.3268043837,6864.146780906208,820.8894947978108,4240.167576395861,25.517998501847497,604.2808286486239,63.72658343089422,0.4191259595529442,9.081894040447057,2350.986021029648,378.4568919059926,43.88677169011197,0.9760565731839063,0.014669408584353047,49.10343000000001,998.3850802641182,0.0,1.2307274727491098,0.09147345215133054,1.419581451596314,-1.406311741948736,0.9561124122630291,1.8809397567601682,-0.6502122840110585
