,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-05,52.17125,1.25149,13.7439,0.26417,-0.6239619,-0.4335351,-0.17004439999999998,-0.4465807,-0.6979459,0.1502339,0.0,0.0,0.0,0.0,843908.4744415917,1111.5755646322746,38.01402811598683,509.17953934464776,4.145439372495934,81.38649317740202,1.792337989455546,0.01473538646236532,0.28648461353763477,65.59670132187732,10.534234454213507,4.369672652227363,0.14651450046194078,0.0005157385261827861,1.51566,96.83356,0.0,2.7065457675801388,0.006744389172884251,0.36095610909356113,-0.044938566736600905,0.194949517778304,2.008205346456958,0.6983404211231807
2020-04-06,68.88414,1.55271,16.71289,0.30122,-0.6182238,-0.43314349999999996,-0.1678714,-0.4400945,-0.7034195,0.1495674,0.0,0.0,0.0,0.0,843624.6604019076,1259.3884725021057,136.1258204955162,503.120533706302,4.020884965111272,80.41803081208043,2.0580171981043414,0.01691962059537312,0.3289503794046268,108.23417596943688,12.627792443669053,4.63723218394397,0.14477104434125518,0.0005921867208380591,1.81688,102.30299796482821,0.0,7.485445335572811,0.06323684485026686,0.3851236847570929,-0.04706069461000428,0.19168457695668098,2.0269858534254634,5.458459482147347
2020-04-07,88.46985000000001,1.89858,19.58571,0.34587,-0.6143435,-0.43330440000000003,-0.1681054,-0.435217,-0.7097698,0.1496385,0.0,0.0,0.0,0.0,843344.0634407493,1385.9638773002894,154.2272919598204,581.1634697513107,4.595457524203991,92.89229654975435,2.3864716732983737,0.019619950363391734,0.38145004963660833,150.27494485023215,15.031679641773394,5.595345874900126,0.16722760613463478,0.0006866982627187108,2.16275,121.88870796482821,0.0,2.0679676819040282,0.020477685006057986,0.4011774391609819,-0.04618923129643271,0.19203520053738518,2.0442616947236285,0.023705987180399735
2020-04-08,110.65999,2.29965,22.19014,0.40107,-0.6122464999999999,-0.4335593,-0.1704582,-0.4322131,-0.7169863,0.1505091,0.0,0.0,0.0,0.0,843074.3457060542,1486.2392849755406,169.727975296994,668.7203856946287,5.242295314779524,106.88726255177959,2.7681214928444806,0.022757616148187266,0.44245238385181274,198.78453730417345,17.81922131507177,6.680865722699047,0.1924217799184723,0.0007965165651865544,2.56382,144.0788479648282,0.0,1.7556398511803524,0.0209647167615887,0.40975612144200113,-0.04480729570316777,0.19557352413089843,2.057760636191426,-0.3021207850110734
2020-04-09,135.08036,2.76486,24.42037,0.46521,-0.6113442,-0.43345350000000005,-0.17407920000000002,-0.4305177,-0.7245802,0.1519952,0.0,0.0,0.0,0.0,842823.8027395754,1555.1522014765737,182.0079071159627,762.8447719956192,5.936247512744393,121.93196315654525,3.1868414460945527,0.02620004741223562,0.5093799525877643,254.5491949131924,21.05255280791625,7.8754862309785505,0.2195057186366814,0.000917001659428247,3.02903,168.4992179648282,0.0,1.4830290204038319,0.021931690633679994,0.41342639914110624,-0.04538108956446063,0.2010649433411721,2.066348539239512,-0.5833195188356799
2020-04-10,161.26756,3.30044,26.1872,0.53558,-0.6109199000000001,-0.4325336,-0.1779771,-0.42935850000000003,-0.7319432,0.1538512,0.0,0.0,0.0,0.0,842599.226655579,1589.7650181476201,190.44712402565196,860.2872001358361,6.650210589002452,137.50701458777596,3.626268311911206,0.029812716857311256,0.5796172831426887,318.1061043691375,24.774974254010804,9.156538327012191,0.24754441143478095,0.0010434450900058938,3.56461,194.6864179648282,0.0,1.2408046198457523,0.023272056577259115,0.4151479590758469,-0.05035802847960058,0.2070384542896495,2.06906667120759,-0.8282620513618375
2020-04-11,188.66899,3.90987,27.40143,0.60943,-0.6102568,-0.4303459,-0.1811605,-0.4279632,-0.7384668000000001,0.1558318,0.0,0.0,0.0,0.0,842399.2713609715,1595.6391003708043,194.6858804529451,957.5182542153755,7.355314828160739,153.04828030646732,4.0688488167107,0.03345131338168125,0.6503586866183189,389.7184774721465,29.010672565922007,10.49698936170926,0.2755222821406365,0.0011707959683588441,4.17404,222.0878479648282,0.0,1.0570146706260288,0.02495526693314911,0.4178328419655273,-0.06210746723783789,0.2119648088179638,2.0649284698673473,-1.0079137992413185
2020-04-12,216.68029,4.59368,28.0113,0.68381,-0.6088437,-0.4266144,-0.18286639999999998,-0.4257578,-0.7436700999999999,0.1577106,0.0,0.0,0.0,0.0,842219.7847538459,1580.4612664679435,195.40523259393396,1050.9772951942768,8.022964139890604,167.98663311378115,4.491138927299838,0.03692309605625155,0.7178569039437486,469.3526043343532,33.76333138263271,11.867274637631354,0.30241477024080604,0.0012923083619688046,4.85785,250.0991479648282,0.0,0.9293956299615627,0.02694555411566047,0.42353173171423775,-0.08186653763628238,0.2146224019707823,2.0535258823704314,-1.1241302524088688
2020-04-13,244.79509,5.34846,28.1148,0.75478,-0.6069925,-0.4217718,-0.1832444,-0.42296320000000004,-0.7475818,0.159338,0.0,0.0,0.0,0.0,842053.6290305795,1553.9626288833567,193.54652396529016,1137.9672412201621,8.632149146374022,181.89097549535157,4.868207044927479,0.040023094197543935,0.778126905802456,556.6758433551934,39.00925030993255,13.242623031868485,0.32744580055989136,0.0014008082969140375,5.61263,278.2139479648282,0.0,0.8584432821137147,0.02910033149800105,0.4309506117965545,-0.10697970326728878,0.21521295254195702,2.0364221473929165,-1.1779788652792018
2020-04-14,272.64246,6.16661,27.84737,0.81815,-0.6052203,-0.416428,-0.1826724,-0.41999830000000005,-0.7503579,0.1605837,0.0,0.0,0.0,0.0,841884.3048324178,1534.0435309329127,190.30144652927393,1216.8043569716147,9.170501553989999,194.49218172506352,5.186189058593584,0.042637326494698174,0.8289526735053019,651.1297634560535,44.69560735486002,14.60488901324581,0.35013088458163144,0.001492306427314436,6.43078,306.0613179648282,0.0,0.8841617489731532,0.031298826424182954,0.4380031353245588,-0.13399797492591592,0.2143195505236759,2.0155629972440128,-1.1314012482708595
2020-04-15,300.02293,7.0382,27.38047,0.87159,-0.6039295,-0.411145,-0.1814845,-0.4172188,-0.7521397000000001,0.16135010000000002,0.0,0.0,0.0,0.0,841691.0730621123,1540.6508802316866,187.86211299378752,1286.9161757897089,9.63491506579907,205.69874959155385,5.4748957820793525,0.04501087722557251,0.8750991227744276,752.0157120197082,50.753386413453605,15.944314705335312,0.3703052971745501,0.001575380702895038,7.302370000000001,333.4417879648282,0.0,1.0265713996543873,0.033604609416858076,0.44310927785954846,-0.1599930132909546,0.21246861340285034,1.9928231642931382,-0.966251764638751
2020-04-16,327.05243,7.95831,27.0295,0.92011,-0.6030613,-0.40629240000000005,-0.1798404,-0.4147252,-0.7530083999999999,0.1616709,0.0,0.0,0.0,0.0,841450.7533929467,1593.7287466738735,188.6712625228109,1349.6070343309423,10.037656534854962,215.71916230789842,5.7753245221617195,0.04748079842099388,0.9231192015790062,858.5884279654204,57.148392195532956,17.266571289840005,0.38834435631373104,0.001661827944734786,8.222480000000001,360.4712879648282,0.0,1.2930200043020443,0.03590891433433841,0.44652917666203384,-0.18324314684054244,0.20991671931433598,1.9704410354575215,-0.6774210311554771
2020-04-17,354.19835,8.92891,27.14592,0.9706,-0.6024418,-0.4021915,-0.17785620000000002,-0.4125544,-0.7530306,0.1616125,0.0,0.0,0.0,0.0,841141.6780403848,1709.2648497017037,195.17128676721242,1408.1381723613554,10.406740551787845,225.07469154245672,6.128234575128349,0.05038218535108778,0.9795278146489124,970.2137573980841,63.89431671769468,18.594523026366303,0.405186471495799,0.0017633764872880728,9.19308,387.6172079648282,0.0,1.6551957904021308,0.03793977142789782,0.448962288076332,-0.2024235164218151,0.20685220719056358,1.9506292651667745,-0.29543347476464366
2020-04-18,382.27949,9.95882,28.08114,1.02991,-0.6018969,-0.399164,-0.1756478,-0.41074350000000004,-0.7522725,0.1612413,0.0,0.0,0.0,0.0,840756.0523379344,1887.4146964194447,209.32007459768326,1467.5897186520256,10.784524209578871,234.57733745159754,6.571648116640292,0.0540276305379129,1.0504023694620872,1086.5327713260203,71.05246129282303,19.968224806473152,0.42229343069859526,0.0018909670688269519,10.22299,415.6983479648282,0.0,1.9961131991133374,0.0393299559775707,0.4510974887244381,-0.216308303178808,0.2034610651891373,1.9354885370564614,0.060624662056876
2020-04-19,412.39635,11.06325,30.11686,1.10443,-0.6013031,-0.39738779999999996,-0.1732958,-0.40937579999999996,-0.7508241,0.1606286,0.0,0.0,0.0,0.0,840290.0193786593,2124.3763083910467,231.13666973273862,1534.3267747405152,11.223092775992843,245.24448830965537,7.132162818873585,0.05863580198985771,1.1399941980101422,1207.6139551625818,78.72853940946332,21.441512008959545,0.4414967679884057,0.0020522530696450206,11.32742,445.8152079648282,0.0,2.249512514312285,0.03979930178644122,0.45341906574093427,-0.22434555936388678,0.19987216512711264,1.9261839578258542,0.3233285564864308
2020-04-20,445.65217,12.26188,33.25582,1.19863,-0.6007373,-0.3964675,-0.1707391,-0.4087216,-0.7488688,0.159864,0.0,0.0,0.0,0.0,839740.1891189583,2416.346572092107,260.15547410547185,1614.2502779650956,11.769757228912336,258.0193410821635,7.8334012228883765,0.06440090820654236,1.2520790917934574,1334.060245116896,87.05933222833691,23.068354050732527,0.46449445592612076,0.002254031787228983,12.52605,479.0710279648282,0.0,2.404208817718812,0.039586454340924386,0.45562608753361244,-0.22847825017954992,0.19599753246184548,1.920383656137602,0.4838251615812099
