,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-23,60.62426,0.33902,11.17284,0.0079,-0.596739,-0.3441836,-0.2887423,-0.5901758,-0.5694659,0.1572568,0.0,0.0,0.0,0.0,14870916.783584222,653.783453577727,521.7150329974133,820.6721352715189,2.5045621661019224,79.56046505663541,0.26639694268001424,0.0008240169571182788,0.025825983042881723,64.87294133024942,3.81477843731897,2.66957258882862,0.08884738395014843,2.884059349913977e-05,0.34692,88.37228194885749,0.0,0.01,0.000960428820804551,1.6256016530949862,0.06714212250333784,-0.30814654666038804,0.6589585005630791,-0.6489585005630791
2020-03-24,73.19114,0.36567,12.56688,0.02665,-0.6315261,-0.3796609,-0.31488340000000004,-0.6109367,-0.6066495,0.1682853,0.0,0.0,0.0,0.0,14869920.918221546,1569.7084683088453,385.6772515118622,957.4562972469643,2.883176328821927,92.82107312583479,0.7623050975151177,0.002357956215753844,0.07390204378424614,129.58912145571142,4.107825379998984,3.2772269507374503,0.10365587376601249,8.252846755138454e-05,0.37357,108.02477648186242,0.0,1.909342119214706,0.0038804234175934716,1.5981333031637237,0.18072606314989548,-0.33125280501727367,0.7219678329214887,1.1873742862932173
2020-03-25,87.27687,0.44193,14.08573,0.07626,-0.6564485000000001,-0.4063426,-0.3339001,-0.6248022,-0.6349059,0.1768328,0.0,0.0,0.0,0.0,14869486.572588718,1812.0707147452933,418.15421751453925,1032.5322600754764,3.067014990196284,100.09934938317951,1.4287472801971646,0.004419390006788578,0.13851060999321144,204.985786818653,4.946390477514102,3.72643475451441,0.11178372727555685,0.00015467865023760025,0.44983,122.55286096755293,0.0,1.1270662697634535,0.009838186179381002,1.570174571412097,0.27928370820739157,-0.34756187832202806,0.7762576729226038,0.35080859684084964
2020-03-26,103.02833,0.5848599999999999,15.75146,0.14293,-0.6723633999999999,-0.4247789,-0.3458024,-0.6326103,-0.6550606000000001,0.1829504,0.0,0.0,0.0,0.0,14869062.38685478,2014.7362019788147,466.858960865646,1113.5915170068852,3.2693898583381165,107.95767903936371,2.286015640581331,0.00707108585078346,0.2216189141492166,286.1666230734857,6.5180677577112665,4.213469281320049,0.12055934254719743,0.00024748800477742116,0.59276,138.30432096755294,0.0,1.0156002470062229,0.014518654143806355,1.5487046307891208,0.3539713128397861,-0.3575552894512743,0.8194819258027757,0.1961183212034472
2020-03-27,120.61445,0.81355,17.58612,0.22869,-0.6801281,-0.43552,-0.3506005,-0.6351994,-0.667939,0.186689,0.0,0.0,0.0,0.0,14868610.401825024,2220.5364659373363,520.2083696570577,1206.1099866374557,3.506889677980132,116.92692772440779,3.3484046487626404,0.01035725929177898,0.324612740708221,373.59338729632196,9.032773398292598,4.757231423530815,0.13057555199365056,0.00036250407521226435,0.82145,155.89044096755293,0.0,0.9695664218841821,0.019047407842093654,1.5372066807883744,0.3999665438124289,-0.3615372262660239,0.8499972699599225,0.11956915192425954
2020-03-28,140.21019,1.14852,19.59574,0.33497,-0.6807827000000001,-0.43933570000000005,-0.3485776,-0.6334634,-0.6744764000000001,0.1881871,0.0,0.0,0.0,0.0,14868138.922764039,2420.7942233454446,576.6624516494504,1310.818200806391,3.7811390945224432,127.07791720789267,4.606717862442198,0.014249463965777066,0.446600536034223,468.15958795032856,12.716148047055238,5.363130937500081,0.14191144425460062,0.0004987312388021973,1.15642,175.48618096755294,0.0,0.9079643155686998,0.023517866638361196,1.5362066863697454,0.4167458787086047,-0.3598616921906349,0.8674521445128583,0.040512171055841484
2020-03-29,161.9325,1.60937,21.72231,0.46085,-0.6760993000000001,-0.4378741,-0.34110909999999994,-0.6285196,-0.6760473,0.1879336,0.0,0.0,0.0,0.0,14867653.616153553,2610.5353100880147,634.2564623913097,1427.8292771198949,4.0918681142053845,138.4216137319617,6.046061043548961,0.018701629131085175,0.5861383708689148,570.8146980503105,17.783715909497438,6.034783912651299,0.15457926563762645,0.000654557019587981,1.61727,197.20849096755293,0.0,0.843400775052542,0.027844184159051225,1.5432562621144958,0.4102913243888884,-0.35363439527995993,0.8742744628485677,-0.03087368779602573
2020-03-30,185.82432,2.21421,23.89182,0.60484,-0.6680328,-0.43300269999999996,-0.32984389999999997,-0.621541,-0.6741361,0.18650480000000003,0.0,0.0,0.0,0.0,14867155.003207048,2790.54178142113,691.2303349033708,1556.5339906437962,4.4366219485883285,150.89895568479258,7.640844091772956,0.02363459968788255,0.7407454003121176,682.5152673079104,24.4346169530464,6.7735180521041185,0.16851306039826935,0.0008272109890758894,2.22211,221.10031096755293,0.0,0.7881351532473054,0.03199337681264969,1.5548259362375205,0.38902309736454543,-0.34411853040464446,0.8740917748225648,-0.0859566215752594
2020-03-31,211.86229,2.97859,26.03797,0.76438,-0.658328,-0.42642090000000005,-0.31631889999999996,-0.6135837,-0.6700993,0.18441400000000002,0.0,0.0,0.0,0.0,14866645.789598765,2959.3172779926813,746.6488179084163,1695.7726724853399,4.81133010409262,164.39751839342043,9.322493535189796,0.02883626470461831,0.9037737352953817,804.1678397723308,32.83984104481936,7.578611065572675,0.18358728077763592,0.001009269264661641,2.98649,247.13828096755293,0.0,0.7388475843586194,0.035817308338553275,1.5677858118349643,0.3608843233023704,-0.3324986075661497,0.8705327991963284,-0.131685214837709
2020-04-01,239.98782,3.9112,28.12553,0.93261,-0.64789,-0.419155,-0.3016255,-0.6052352,-0.6647812000000001,0.18192250000000001,0.0,0.0,0.0,0.0,14866129.829483708,3114.401930117703,799.7808066612129,1844.195692890525,5.2114454557537275,178.78646133546405,11.012039923624169,0.034062356490439386,1.0675676435095607,936.5855653286625,43.094944580009155,8.448251352549743,0.19965581352563436,0.0011921824771653786,3.9191,275.26381096755296,0.0,0.6933810176472097,0.03916832856127511,1.5805549938953338,0.3306176314272167,-0.3196335032674731,0.8659003936802208,-0.17251937603301104
