,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-19,55.00724,0.48269,14.40524,0.04068,-0.48174700000000004,-0.2793507,-0.1385363,-0.49468940000000006,-0.3882154,0.1140582,0.0,0.0,0.0,0.0,9126954.280018477,3032.644455805459,117.57724463629256,1750.0265299571838,1.835428017764356,98.58241587110531,0.14636430603945194,0.00015501248714212216,0.008244987512857876,113.25640544588835,9.642737482365234,1.9233026711218675,0.06487004264214782,5.425437049974275e-06,0.52337,107.11834000000002,0.0,2.2818322315846293,0.00016119406422048275,27.11049126463574,-5.4606204714431135,-6.440006235486929,-1.3438544134292645,3.625686645013894
2020-03-20,72.32196,0.49109,17.31472,0.0084,-0.5448455,-0.3390415,-0.17462640000000001,-0.5308868,-0.4502356,0.1317793,0.0,0.0,0.0,0.0,9126175.76411228,3439.991792193019,371.38385185200036,1734.8909559449753,1.7863047781363723,97.72979939576769,0.7257230174456158,0.0007686035820796891,0.04088139641792031,245.88830874924977,9.797501788404686,2.0410684634341036,0.06430899667239937,2.6901125372789118e-05,0.53177,113.49997204565459,0.0,6.626863534325935,0.006526543633671365,29.26582710801506,-5.411833971151094,-8.092480349687776,-0.7922061839587728,7.419069718284708
2020-03-21,92.47922,0.53274,20.15726,0.04165,-0.6027705,-0.3936966,-0.21137070000000002,-0.5651155,-0.5083679,0.14844200000000002,0.0,0.0,0.0,0.0,9125378.161437897,3816.7934192995467,421.2684410393881,1959.6357411192046,1.9945311447251242,110.39011253824913,1.9626756467004602,0.0020786436371057902,0.11056135636289423,377.1161265095879,10.564874805850302,2.4130478689782007,0.07263984397573099,7.275252729870266e-05,0.5734199999999999,133.65723204565458,0.0,2.150298688637257,0.005588061075761289,30.95987420505083,-4.991775602970019,-9.764202280742028,-0.34982264979617916,2.500121338433436
2020-03-22,115.34402,0.6453800000000001,22.8648,0.11264,-0.6531321,-0.4412387,-0.2459231,-0.595439,-0.5604666,0.1633774,0.0,0.0,0.0,0.0,9124567.627735805,4160.6316178316065,467.4123401011582,2213.7703337553244,2.2321215902647293,124.706010994429,3.619205953268401,0.0038330528219393096,0.20387694717806076,525.1527335159064,12.640190452550762,2.8349918589790573,0.08206011365675879,0.00013415684876787583,0.6860599999999999,156.52203204565458,0.0,1.9271468698760177,0.009084269269794621,32.21135047388198,-4.334544228973936,-11.326346208405052,-0.0032589346319724655,1.9304058045079902
2020-03-23,140.71332999999998,0.85309,25.36931,0.20771,-0.6935406000000001,-0.4795899,-0.2754376,-0.6199212,-0.6043863,0.1759169,0.0,0.0,0.0,0.0,9123719.372552473,4500.365561085203,509.519470180399,2491.17633756881,2.4921725727092503,140.33283353965723,5.747064173927671,0.006086639123105494,0.32374336087689454,692.1970719998087,16.467106405819163,3.3031537447147135,0.09234300879493072,0.00021303236930869229,0.89377,181.8913420456546,0.0,1.8184210288729816,0.01300114193093939,33.06660244648734,-3.6065056028115787,-12.65315775353644,0.2532201190043555,1.5652009098686261
2020-03-24,168.36805,1.18292,27.65472,0.32983,-0.7222905000000001,-0.5072486,-0.2975992,-0.6371291,-0.6385166,0.1855517,0.0,0.0,0.0,0.0,9122797.259622686,4872.670260395789,551.1239847514547,2785.855106936682,2.7680671145591003,156.93266473817047,8.385629276731745,0.008881108281192584,0.47237889171880737,879.9794035207117,22.544000579746836,3.8134902838122122,0.10326617139126988,0.00031083878984174054,1.2236,209.5460620456546,0.0,1.814012477355694,0.01740245426458847,33.59438678379868,-2.971782291452204,-13.644841392734712,0.4240441284768046,1.3899683488788894
2020-03-25,198.2809,1.66418,29.91285,0.48126,-0.7404148,-0.5250167,-0.3122182,-0.6476424000000001,-0.6633873,0.1924136,0.0,0.0,0.0,0.0,9121760.658655195,5314.226745068436,596.7171808242343,3095.54480493035,3.0572887473066133,174.37809089371322,11.570969608526056,0.012254659801960601,0.6518153401980393,1089.7713048762791,31.410889856478583,4.365498054765692,0.11474575959795533,0.0004289130930686211,1.70486,239.45891204565459,0.0,1.8858368417366493,0.022200158126022766,33.892622134937646,-2.515550423731522,-14.296858952541458,0.526493787529704,1.3593430542069453
2020-03-26,230.66837,2.32825,32.38747,0.66407,-0.7496311,-0.5342719,-0.3196359,-0.652544,-0.6800634,0.19679449999999998,0.0,0.0,0.0,0.0,9120565.0695927,5861.096193537713,650.7910923815328,3422.3577416387857,3.3620094311592648,192.7881025633286,15.33880502971309,0.01624512411381923,0.8640648758861809,1322.6702232530183,43.64592946500464,4.963172135353891,0.12686007259685628,0.0005685793439836734,2.3689299999999998,271.8463820456546,0.0,2.0093525311081692,0.02718057322785633,34.03404767310176,-2.26288159479423,-14.627039598960213,0.5904075082123548,1.4189450228958145
2020-03-27,265.99076,3.2085600000000003,35.32239,0.88031,-0.7516569,-0.536392,-0.3201937,-0.6529170999999999,-0.68961,0.198986,0.0,0.0,0.0,0.0,9119164.033669798,6546.88445263465,717.7618451988975,3772.472873490628,3.6886720439178844,212.51077244298443,19.71910537438664,0.020884241868897577,1.1108157581311022,1579.931864520992,59.865044494717736,5.615006840794846,0.1398381521539964,0.0007309484654114153,3.24924,307.1687720456546,0.0,2.1594054196065917,0.03203916835752054,34.06420940238801,-2.2035538386371556,-14.651850894980786,0.6550856976351049,1.5043197219714868
2020-03-28,304.94806,4.34026,38.9573,1.1317,-0.7481945,-0.532838,-0.3144501,-0.6498215999999999,-0.6931628999999999,0.19931339999999997,0.0,0.0,0.0,0.0,9117507.592900043,7404.583536289398,801.7448801144277,4155.79775151178,4.04755492715996,234.10421225200633,24.716226723083597,0.026176626534074862,1.3923133734659252,1863.278598267844,80.71584986910437,6.333919693811726,0.15404725170612527,0.0009161819286926205,4.38094,346.12607204565455,0.0,2.3152442155783985,0.03641140428109752,34.01245650960044,-2.302700992220821,-14.396252786652276,0.7597837595923806,1.555460455986018
2020-03-29,348.46363,5.75875,43.51557,1.41849,-0.7408846,-0.5254043,-0.3038324,-0.6442260000000001,-0.6921417,0.1982351,0.0,0.0,0.0,0.0,9115557.872937443,8451.064822321852,906.7804667318602,4585.422989242519,4.452130407922599,258.30584184429057,30.328078157146248,0.03212006364524907,1.7084399363547507,2175.1816072585666,106.85056659218797,7.136950257514954,0.16997261455900603,0.0011242022275837174,5.79943,389.6416420456545,0.0,2.4401567737170766,0.039998556838391416,33.89999809036527,-2.5051753172033706,-13.923055552386309,0.9180482496406306,1.522108524076446
2020-03-30,397.68012,7.49931,49.21649,1.74056,-0.7313526,-0.5159684,-0.2899851,-0.6370756,-0.6880365,0.1962428,0.0,0.0,0.0,0.0,9113339.414556302,9638.723162080569,1034.9347085368217,5077.314174167154,4.918691384145858,286.0150339767994,36.56110667576918,0.03872138113340144,2.059558618866598,2519.1010821273844,138.91920474933423,8.045184843622739,0.1882060536498628,0.0013552483396690501,7.5399899999999995,438.85813204565454,0.0,2.4555238403787767,0.04263367826515056,33.7468372655342,-2.7526229772787385,-13.304570015866407,1.1359253012540886,1.319598539124688
2020-03-31,453.85232,9.59759,56.1722,2.09828,-0.7210441,-0.5061958,-0.27446370000000003,-0.629208,-0.6822041,0.1937804,0.0,0.0,0.0,0.0,9110898.714063821,10903.834275296253,1180.3777815153835,5648.205747035615,5.464084016020129,318.1744724141155,43.45451700378443,0.04602210020044506,2.447877899799556,2899.7025674730994,177.5785914251034,9.081779180556634,0.20936788179479154,0.0016107735070155773,9.638269999999999,495.0303320456545,0.0,2.367798874839961,0.0443974065462987,33.5728972012164,-2.9976248723105687,-12.609487698213135,1.412065659557733,0.955733215282228
