,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-24,57.67595,0.33257,8.14571,0.07746,-0.5976178999999999,-0.32607840000000005,-0.22445613333333297,-0.4448615,-0.533736233333333,0.1613916,0.0,0.0,0.0,0.0,13281361.207078068,137.45329023211963,133.58205420563513,90.59744735452837,9.967429520416665,58.783145809480175,0.12913082088895098,0.01442490346070261,0.08378509653929739,13.233058539296877,0.9491554504540939,10.732397058325288,0.3542150495191679,0.0005048716211245915,0.41003,75.06549065729,0.0,0.01,0.00564764774041508,0.1846817679375542,0.06709862818430598,-0.09274039662303175,0.5357424453703468,-0.5257424453703468
2020-03-25,66.61517,0.43078,8.93922,0.09821,-0.618053266666667,-0.34751620000000005,-0.240865866666667,-0.455110966666667,-0.561221933333333,0.1686705,0.0,0.0,0.0,0.0,13281359.896456156,121.95625457034251,115.69407789808069,103.65131444188448,11.249895487076595,67.25300224341285,0.16523643479395647,0.01845817755734138,0.10721182244265864,24.831596496540207,1.176496271343045,12.935450648936229,0.4052526483895886,0.0006460362145069485,0.50824,90.06468241779845,0.0,0.01,0.008378451453022826,0.2095759156956329,0.06500090762887345,-0.10529524772948573,0.5459840214665389,-0.5359840214665389
2020-03-26,76.41714,0.55645,9.80197,0.12567,-0.628100366666667,-0.36078613333333304,-0.249811633333333,-0.457936533333333,-0.5790894999999999,0.173007933333333,0.0,0.0,0.0,0.0,13281218.5404642,248.4244346226067,100.5577644430158,113.07504951769951,12.11543605983863,73.36748790727255,0.21752777729221104,0.024299521724250477,0.1411404782757495,38.06899276649307,1.4674027061370014,14.843493276678933,0.4420972713233108,0.0008504832603487668,0.6339100000000001,103.05533202464744,0.0,1.2222573956148655,0.012735313860884674,0.22226569739702212,0.06330002408186401,-0.11247091784296241,0.5497972495074421,0.6724601461074233
2020-03-27,87.15899,0.72189,10.74185,0.16544,-0.628897166666667,-0.366542266666667,-0.2513962,-0.45460106666666694,-0.5881192,0.174618066666667,0.0,0.0,0.0,0.0,13281129.98701773,306.6276789555257,104.84324984788812,119.52462462004044,12.645958205401648,77.5522229601984,0.28064028521064743,0.03134967309492276,0.1820903269050772,52.474796913777695,1.8503704834292125,16.50190574336377,0.46731361715823677,0.0010972385583222968,0.79935,114.34640851585777,0.0,0.8813812644486689,0.018903423439399658,0.2232847892472592,0.06246654244102175,-0.1137663251395333,0.5486874524202661,0.33269381202840287
2020-03-28,98.93126,0.93533,11.77227,0.21344,-0.621767333333333,-0.365655033333333,-0.24595826666666698,-0.446389,-0.5892491666666669,0.17379346666666698,0.0,0.0,0.0,0.0,13281058.533912623,340.6302764995552,115.14253590627706,126.06500306838032,13.19031783783096,81.79587475397854,0.3596229591827408,0.040172643779012016,0.23333735622098795,67.66449558382028,2.34445076863986,18.23099502412261,0.49288498305872436,0.0014060425322654207,1.0127899999999999,126.11867851585777,0.0,0.6825093016468639,0.02323341207770464,0.21423229075859374,0.0625987870980949,-0.10935134662549621,0.5441821771027108,0.13832712454415308
2020-03-29,111.85998,1.20884,12.92872,0.27351,-0.608777,-0.35986096666666695,-0.234779733333333,-0.4346713,-0.584049533333333,0.1711403,0.0,0.0,0.0,0.0,13280977.820852485,379.7576744848676,126.92884846228301,133.55579011076267,13.844015088291696,86.6561885906036,0.4603400030692457,0.05142351034137656,0.29868648965862343,83.64859704898373,2.9775837278226005,20.129941545560907,0.5221722265808497,0.001799822861948179,1.2862999999999998,139.04739851585776,0.0,0.7021404257288679,0.02708002029589936,0.19812339485955305,0.06342858654044851,-0.1005470381812759,0.537707389090244,0.16443303663862396
2020-03-30,126.11212,1.55895,14.25214,0.35011,-0.5921779,-0.351112966666667,-0.219378433333333,-0.42084049999999995,-0.574248633333333,0.1673431,0.0,0.0,0.0,0.0,13280890.756434511,420.47519218465317,140.44327158664018,142.12240869492607,14.618784802554954,92.21454375436981,0.5869594720806086,0.0655678765287878,0.38084212347121205,100.54796126405557,3.788033730891846,22.22326955297785,0.5556657224199418,0.002294875678507573,1.6364099999999997,153.29953851585776,0.0,0.6872264307054032,0.031322313701661636,0.1782618790456471,0.06457028738275702,-0.08901492733907237,0.5305196849608501,0.15670674574455312
2020-03-31,141.88172,2.00536,15.7696,0.44641,-0.573979733333333,-0.341181733333333,-0.201222433333333,-0.406144733333333,-0.561447233333333,0.163009066666667,0.0,0.0,0.0,0.0,13280798.706580302,461.22391845070183,155.43136228337977,151.91906834348453,15.529521010241107,98.57099737842746,0.7372855768788347,0.08236045582480785,0.478379544175192,118.49912345520491,4.821403202972455,24.539479283289385,0.5939683941161674,0.002882615953868276,2.0828199999999994,169.06913851585776,0.0,0.6568298733471405,0.035558289366883114,0.15741852208971124,0.0657043331439925,-0.07631030957413462,0.5235149915310874,0.1333148818160531
2020-04-01,159.33425,2.5661,17.45253,0.56074,-0.555223066666667,-0.331109366666667,-0.181581633333333,-0.391254433333333,-0.546736666666667,0.1584364,0.0,0.0,0.0,0.0,13280702.46488335,501.2084372196395,171.51390519484147,163.05525042343487,16.586009635388308,105.79658522976024,0.90741323103647,0.10136502011337632,0.5887649798866236,137.6579569404416,6.119428779851289,27.102874664564368,0.6375082884739848,0.0035477757039681724,2.6435599999999995,186.52166851585775,0.0,0.6206872265126359,0.03954326392792334,0.13695511102176028,0.0666784580378488,-0.06365130078259526,0.5166847141485321,0.10400251236410374
2020-04-02,178.5926,3.25623,19.25835,0.69013,-0.536706466666667,-0.321755566666667,-0.161676066666667,-0.376695533333333,-0.5310807666666669,0.153846133333333,0.0,0.0,0.0,0.0,13280603.309258671,539.2467154779312,188.31284273688536,175.58044488375285,17.791327181449507,113.92341831118,1.0934899418826602,0.12215121640457517,0.7094987835954248,158.1938807894494,7.716972010887759,29.931505553093256,0.6864788997389718,0.004275292574160132,3.3336899999999994,205.78001851585776,0.0,0.5796938206897194,0.04318386569981333,0.1177688610632821,0.06742432919653273,-0.05197173929547234,0.5099238968358608,0.0697699238538586
