,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-18,50.8666,0.18317,12.33898,0.03521,-0.33170789999999994,-0.1854205,0.0166673,-0.23579170000000002,-0.2590775,0.11834910000000001,0.0,0.0,0.0,0.0,3015034.1690144544,80.79069758720486,78.51534627677654,0.0,23.41108369509838,46.05996659136103,0.0,0.0119544,0.023205599999999996,4.800351395118801,0.21838,24.965405271680073,0.8304751552078734,0.00041840400000000004,0.21838,74.52668256376491,0.0,0.01,0.0014860472234296872,-0.29291066127761545,0.12254911393894213,0.005824143023073874,0.2998545567844592,-0.2898545567844592
2020-03-19,65.28716,0.21833,14.42056,0.03516,-0.4011103,-0.24364519999999998,-0.024773800000000002,-0.3005686,-0.32041849999999994,0.142166,0.0,0.0,0.0,0.0,3014950.0874253614,154.98761705815969,68.00134935052948,0.0,28.220230411238997,56.2026137212918,0.0,0.010618200000000005,0.020611799999999996,10.215994097370892,0.25354,31.90405429230063,1.0133501564899583,0.0003716370000000002,0.25354,94.93447380088419,0.0,1.0710929700414966,0.0015302978963836343,-0.24021999464266752,0.11101261151315361,-0.010715926967127937,0.3244686510034168,0.7466243190380798
2020-03-20,81.59938,0.24956,16.31222,0.03123,-0.4674044,-0.3006032,-0.07017369999999999,-0.36565820000000004,-0.3801137,0.16536840000000003,0.0,0.0,0.0,0.0,3014890.676670713,195.43768960538193,69.30646828060277,0.0,31.66839106136221,63.82029992844697,0.0,0.007184199999999998,0.013945799999999998,16.784580411059483,0.28476999999999997,37.913548212236236,1.1506993471947258,0.000251447,0.28476999999999997,112.60945591834187,0.0,0.8740479534596686,0.0011954750426100733,-0.15305785435382335,0.07659530590690028,-0.036743383000826565,0.351186029652309,0.5228619238073595
2020-03-21,99.61359,0.27069,18.01421,0.02113,-0.5280918,-0.3541585,-0.11642799999999999,-0.4274114,-0.4359285,0.18709869999999998,0.0,0.0,0.0,0.0,3014858.519434425,203.6931308698991,75.2259580665293,0.0,34.9261993892416,71.12754342247759,0.0,0.0007887999999999992,0.0015312,24.199513826307548,0.30589999999999995,44.038379612236234,1.282451161708308,2.7607999999999984e-05,0.30589999999999995,130.62366591834186,0.0,0.46450454660770535,0.00012878721853470124,-0.04171632510848711,0.023365948193963537,-0.0717633285027905,0.3742782556827446,0.09022629092496076
2020-03-22,119.1664,0.27301,19.55281,0.00232,-0.5807654999999999,-0.4020827,-0.1598994,-0.4820022,-0.48557290000000003,0.2064903,0.0,0.0,0.0,0.0,3014826.0516246925,211.2622619170502,80.61782609940633,0.0,38.40362867190663,78.90901294934582,0.0,0.009435000000000002,0.018314999999999998,32.419675669122455,0.30821999999999994,50.686335012236235,1.4227534152988113,0.0003302250000000001,0.30821999999999994,150.17647591834185,0.0,0.432273991161135,0.0014192333480456262,0.07937002135092053,-0.04141406205998177,-0.11249925310947029,0.3898486672815271,0.0424253238796079
2020-03-23,140.12067,0.3007599999999999,20.95427,0.02775,-0.6230187,-0.4421479,-0.1969502,-0.5256045,-0.5267572,0.2226769,0.0,0.0,0.0,0.0,3014794.8182099713,216.68569185435487,85.53516542423955,0.0,42.02800971469388,87.02819346465007,0.0,0.024245399999999997,0.047064599999999984,41.49744957003534,0.33596999999999994,57.81078681223624,1.569144700347479,0.0008485890000000001,0.33596999999999994,171.13074591834186,0.0,0.388246971774013,0.003403124995525971,0.19292358165918744,-0.10800073879331296,-0.1532022186909564,0.3961125852749767,-0.007865613500963708
2020-03-24,162.35306,0.37207,22.23239,0.07131,-0.6531234,-0.4726822,-0.2246474,-0.5553455,-0.5577753,0.23499009999999998,0.0,0.0,0.0,0.0,3014765.7706505414,219.27635753588487,89.83854908805748,0.0,45.739176646983516,95.36987188141374,0.0,0.043985800000000005,0.0853842,51.468744305330155,0.4072799999999999,65.36979941223623,1.7195476899830662,0.0015395030000000004,0.4072799999999999,193.36313591834187,0.0,0.34057350201697933,0.00581898752225919,0.2827471418017993,-0.16634821578399683,-0.187226355026737,0.3935645320911241,-0.05299103007414474
2020-03-25,185.70399,0.50144,23.35093,0.12937,-0.672068,-0.4942383,-0.2428761,-0.5721649,-0.5792575999999999,0.24355429999999997,0.0,0.0,0.0,0.0,3014739.6567143425,218.6350955736366,93.34065097772036,0.0,49.46985287468934,103.80273055484201,0.0,0.0688908,0.13372919999999996,62.35568567582052,0.5366499999999998,73.30911561223624,1.871594687276697,0.002411178000000001,0.5366499999999998,216.71406591834187,0.0,0.2918138906750897,0.008677170459591972,0.34307670001630597,-0.211498489199047,-0.21129813151587296,0.38467204040144465,-0.09285814972635492
2020-03-26,209.96519,0.70406,24.2612,0.20262,-0.6815199,-0.5079252000000001,-0.252226,-0.5779555,-0.5924185,0.24869219999999997,0.0,0.0,0.0,0.0,3014716.673762108,214.96207420877386,95.85395261398342,0.0,53.14205825571732,112.17227956219914,0.0,0.09919839999999999,0.19256159999999997,74.16484325071299,0.7392699999999999,81.55792361223624,2.0225001921063175,0.0034719440000000002,0.7392699999999999,240.97526591834188,0.0,0.24753983009175462,0.012025786028720757,0.3742754133293169,-0.24186711826428164,-0.22416223951899666,0.37263801664609725,-0.12509818655434263
2020-03-27,234.87965,0.99582,24.91446,0.29176,-0.6831466,-0.514852,-0.25328649999999997,-0.5746103,-0.5984725000000001,0.2507264,0.0,0.0,0.0,0.0,3014695.053466621,210.3986491078863,97.26418853042132,0.0,56.66846545382731,120.30327225743105,0.0,0.134742,0.26155799999999996,86.88462802899392,1.03103,90.02884001223623,2.1691044543385294,0.004715970000000001,1.03103,265.88972591834187,0.0,0.2270668020050553,0.015906425425234988,0.3797185889928054,-0.2577398199036076,-0.22564347650844258,0.3607272536808139,-0.13366045167575857
