,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-28,54.2364,0.48468,7.08977,0.13393,-0.6579153999999999,-0.42006390000000005,-0.2741669,-0.629099,-0.670261,0.1931993,0.0,0.0,0.0,0.0,4018035.936425745,178.59436651793877,142.5171808215085,197.352300110536,5.975536006829179,62.82569953259134,0.5733580267147156,0.01760555467657238,0.18252444532342763,23.634120172085282,2.3908830670363774,6.412534162084433,0.21209676884060713,0.0006161944136800334,0.61861,75.80214584648492,0.0,0.01,0.009279994368134498,0.3676467407942925,0.9057715032927675,-0.3725964301366449,1.0867270535555598,-1.0767270535555598
2020-03-29,62.34028,0.68481,8.10388,0.20013,-0.6510736,-0.4188834,-0.2660696,-0.6223134,-0.6713912999999999,0.1919113,0.0,0.0,0.0,0.0,4017901.4293737514,291.27531119745595,105.3556635943626,226.14487822571317,6.753750412361653,71.99161176376181,0.8014062899760526,0.024608013839392356,0.25512198616060766,42.80390367158529,3.164371093751093,7.7561887968940155,0.24304048108211368,0.0008612804843787325,0.81874,91.07605269034444,0.0,0.9442548539910729,0.01831424028309157,0.3706555853087353,0.8986998588336397,-0.35686366153627724,1.0983970222112425,-0.15414216822016957
2020-03-30,71.56584,0.96454,9.22556,0.27973,-0.6411503999999999,-0.4145216,-0.2540609,-0.614702,-0.6690098,0.1896399,0.0,0.0,0.0,0.0,4017725.754937854,431.36093913650825,97.38609009195075,241.1987711784654,7.103125129674681,76.78391139703533,1.0634325984921564,0.0326538042292355,0.33853619577076455,64.73209523052502,4.245507383727146,8.74948395524618,0.25921907161266644,0.0011428831480232427,1.09847,102.3672709275946,0.0,1.6685248617412949,0.032874220673144904,0.37476439169585907,0.8727922885119113,-0.33406109194748124,1.0994008278654337,0.5691240338758612
2020-03-31,82.00294,1.33573,10.4371,0.37119,-0.6295416,-0.40839129999999996,-0.2393627,-0.6072668,-0.6642064999999999,0.1868823,0.0,0.0,0.0,0.0,4017617.3209760813,487.0926019476572,109.87279495668821,252.45378364344194,7.337407112145884,80.36686447619448,1.3348558706200344,0.04098813816247124,0.4249418618375288,88.07465593033164,5.680129982219302,9.667641826204326,0.2713149619354306,0.0014345848356864933,1.4696600000000002,112.8043709275946,0.0,1.1149639494774357,0.04464171082005539,0.379187763326414,0.8369691743427112,-0.3070131266180417,1.095049050656228,0.01991489882120767
2020-04-01,93.77827,1.80166,11.77533,0.46593,-0.6169817,-0.401337,-0.22304549999999998,-0.6002555,-0.6576782,0.18388079999999998,0.0,0.0,0.0,0.0,4017492.6703305193,552.260305383462,124.01235090064196,266.4836632177446,7.660494628615495,84.83317674172112,1.5861100501177634,0.04870315912452289,0.5049268408754771,112.45902270641155,7.4809158528393365,10.70352458316072,0.28639303360353763,0.0017046105693583012,1.9355900000000004,124.5797009275946,0.0,1.1363153561387818,0.04701609211801283,0.3835079609056584,0.7965978786909347,-0.2780965603389263,1.0879145188628117,0.04840083727597011
2020-04-02,107.06897,2.35529,13.2907,0.55363,-0.60404,-0.39406129999999995,-0.20614180000000001,-0.5937273,-0.6500234,0.1808139,0.0,0.0,0.0,0.0,4017348.1079768976,629.4054971553854,140.27568145304332,283.6465911604427,8.081463890617698,90.29687264708188,1.7875144836262056,0.0548874917771139,0.5690425082228862,138.15381641003614,9.6206559029571,11.87271533687041,0.304838228103179,0.0019210622121989868,2.4892200000000004,137.8704009275946,0.0,1.1677693790552144,0.04694485617762796,0.38745329799055883,0.755913841784591,-0.24937309209729003,1.0798992872830044,0.08787009177220995
2020-04-03,122.10265,2.97922,15.03368,0.62393,-0.5912856,-0.3872666,-0.1896841,-0.5877414000000001,-0.6418405,0.1778602,0.0,0.0,0.0,0.0,4017176.390958132,724.3068375014216,159.24987812289248,304.4357346290436,8.613503912892732,96.91494844537112,1.9229682761764066,0.05904674139040696,0.612163258609593,165.46186059418716,12.032100386583306,13.195237073891809,0.32718055780587024,0.0020666359486642433,3.1131500000000005,152.9040809275946,0.0,1.2264090109797823,0.04464708574347732,0.3908388695550634,0.7187945267614148,-0.2226125076121003,1.0729261283095226,0.15348288267025967
2020-04-04,139.16984,3.65043,17.06719,0.67121,-0.5792918,-0.3815258,-0.17464670000000002,-0.5823929,-0.6336878,0.1751811,0.0,0.0,0.0,0.0,4016970.8401610693,841.4720517780428,181.98651772303623,329.4513086832517,9.27298390021959,104.87847832713439,2.0302884764498956,0.06234211978537227,0.6463278802146281,194.73326138044072,14.626278662759713,14.696647890463284,0.35406508068510073,0.0021819741924880296,3.7843600000000004,169.97127092759462,0.0,1.2931930158972746,0.041522359568271064,0.39356729176708016,0.6880913438178786,-0.19920079735153245,1.068363077838571,0.22482993805870355
2020-04-05,158.67377,4.3591,19.50393,0.70867,-0.5686473,-0.3768941,-0.1617709,-0.5779212,-0.6259644999999999,0.1728695,0.0,0.0,0.0,0.0,4016724.7836549324,984.8503231793726,209.65362496893286,359.52207268675295,10.083132009641897,114.45129193478576,2.160728645121863,0.06634742086179427,0.6878525791382056,226.37573450443438,17.365237139209608,16.4124201685977,0.38638247388568076,0.0023221597301628,4.493030000000001,189.4752009275946,0.0,1.3546589930789377,0.03866912976000221,0.3956191759046817,0.663759634463737,-0.1799432769106384,1.065340773062925,0.2893182200160127
2020-04-06,181.14285,5.1133,22.46908,0.7542,-0.559945,-0.3732971,-0.1517395,-0.5746015,-0.6190295,0.17100100000000001,0.0,0.0,0.0,0.0,4016432.6924886196,1156.7650051624876,243.4190379608122,395.72462389318827,11.074510675832501,125.97611633832629,2.3655996414261122,0.07263819793130757,0.7530718020686927,260.8767419242986,20.28016578433147,18.389038449076782,0.4252897687607387,0.002542336927595764,5.247230000000001,211.9442809275946,0.0,1.3959294786009517,0.03674872313419152,0.3970384489433181,0.6451344358203159,-0.16544427620737648,1.0626338481614024,0.33329563043954935
