,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-29,54.30128,0.72291,5.63177,0.1458,-0.6451345,-0.42866909999999997,-0.231686,-0.3867664,-0.5121961,0.2091551,0.0,0.0,0.0,0.0,7017571.636820439,224.23292881852421,217.9178209562685,239.50323582691814,3.907078993343313,55.07076327745189,0.7645041260023767,0.012671870865336101,0.17578812913466388,36.38568106844528,4.392706494213758,4.232729536202279,0.1389441718561495,0.00044351548028676355,0.8687100000000001,67.28792855115846,0.0,0.01,0.014511827224521955,-0.02052689010336517,0.40665514932549984,-0.2624588212189516,0.4297858851248132,-0.4197858851248132
2020-03-30,60.39048,0.91137,6.0892,0.18846,-0.6305316,-0.4202086,-0.21688770000000002,-0.3713599,-0.5008032,0.2050177,0.0,0.0,0.0,0.0,7017569.527048424,198.95184034510166,188.73641590403852,266.73147965502613,4.289702624951024,61.331556227247795,1.0216916543296115,0.01693482646791654,0.23492517353208345,57.812734544873635,5.345670620216135,4.985908855309468,0.1547402247851704,0.0005927189263770789,1.0571700000000002,78.48944535853289,0.0,0.01,0.022484454947582614,-0.02126851001163564,0.39700393562414293,-0.2385638333416628,0.4432880393924746,-0.43328803939247457
2020-03-31,67.11517,1.16323,6.72469,0.25186,-0.6147687,-0.4106283,-0.20003990000000002,-0.3561208,-0.48806710000000003,0.20030270000000003,0.0,0.0,0.0,0.0,7017388.451654788,355.77307672150386,164.0438984124459,285.58714200789126,4.531310464412263,65.66717914394448,1.3551429923185507,0.02246187616085206,0.311598123839148,81.63731319465825,6.619222274545746,5.6382298293240805,0.165679051483576,0.000786165665629822,1.3090300000000001,88.19096552625227,0.0,0.9600984502604173,0.03443377885370417,-0.022006334735549048,0.38615433308445035,-0.21254410766736676,0.4577203378031647,0.5023781124572526
2020-04-01,74.64523,1.49729,7.53006,0.33406,-0.59872,-0.40086309999999997,-0.18222860000000002,-0.3416273,-0.47482610000000003,0.19527239999999998,0.0,0.0,0.0,0.0,7017180.765517686,520.045693396572,164.97413581687812,297.54623853920043,4.6591703360022585,68.41702330289301,1.7495242463244458,0.028998856345124453,0.40228114365487555,107.10299140990828,8.308425266864297,6.20520719339551,0.17261694005929168,0.001014959972079356,1.6430900000000002,96.62322901507906,0.0,1.2671602909238433,0.05114640933261506,-0.0226906536647815,0.3751816916217555,-0.18640794980049208,0.47219953527811204,0.7949607556457312
2020-04-02,83.12531,1.92857,8.48008,0.43128,-0.5830312,-0.3916751,-0.1644602,-0.328227,-0.4617615,0.1901056,0.0,0.0,0.0,0.0,7017058.575730848,578.7532048075191,185.77974605766815,308.40086210134336,4.771378272927093,70.9129077638805,2.1896232202711605,0.03629362059313631,0.5034763794068636,133.5875474151877,10.489229513188743,6.775399694126272,0.17891408538363346,0.0012702767207597707,2.07437,105.10330901507906,0.0,0.7420183481440507,0.06365152215545136,-0.02329439517067458,0.3649372258784008,-0.16173937969567184,0.4860198981336845,0.25599845001036614
2020-04-03,92.67485,2.46834,9.54954,0.53977,-0.5683478000000001,-0.38382649999999996,-0.147741,-0.31626740000000003,-0.4495547,0.1849811,0.0,0.0,0.0,0.0,7016931.5751643805,635.132396591798,208.36698233949895,322.34521801784285,4.937557075750865,74.11923740315534,2.6591730058212786,0.04407654032497677,0.6114434596750232,160.99012845194417,13.218622733459902,7.417501666445925,0.18700369209894976,0.001542678911374187,2.61414,114.65284901507906,0.0,0.685101524552667,0.06864414411584223,-0.0238010219077213,0.3562472937834934,-0.13980858134200957,0.49875413765539256,0.18634738689727448
2020-04-04,103.38543,3.12386,10.71058,0.65552,-0.5552642999999999,-0.3779032,-0.1329747,-0.3060771,-0.43879559999999995,0.1800666,0.0,0.0,0.0,0.0,7016802.056549219,687.1774136199165,231.98763176066254,339.51959576592833,5.158823048747899,78.06827002535282,3.1381746358667018,0.05201612703716443,0.7215838729628353,189.58662618408218,16.533315739281182,8.137670862311634,0.19696714701893636,0.0018205644463007552,3.26966,125.36342901507905,0.0,0.6231838987840557,0.07222764780245328,-0.024204853553593447,0.34972633542155823,-0.12147241699268604,0.5101655119969087,0.11301838678714693
2020-04-05,115.31017,3.89746,11.92474,0.7736,-0.5441707,-0.3737855,-0.12065490000000001,-0.2979084,-0.4297087,0.17548539999999999,0.0,0.0,0.0,0.0,7016672.249575655,733.1916069626199,255.8423165746381,359.9192531577037,5.433954418918042,82.75891522388135,3.6055744310380584,0.05976341007390446,0.8290565899260954,219.6648932002762,20.445090375147885,8.939479019919126,0.20880169903516776,0.0020917193525866566,4.04326,137.28816901507906,0.0,0.5612201641235386,0.07453579700689492,-0.02451212808384101,0.34521206193901616,-0.10691563114657252,0.5199007498302327,0.04131941429330588
2020-04-06,128.4611,4.78628,13.15093,0.88882,-0.5354059,-0.3711775,-0.11117300000000001,-0.2919949,-0.422427,0.17135,0.0,0.0,0.0,0.0,7016543.5612552315,772.5093286996811,279.1316590349048,383.39399468132433,5.759423421803124,88.15663742576812,4.040480975390785,0.06697210834129638,0.9290578916587034,251.5117057227485,24.939484806185945,9.823735025008135,0.22242021449812271,0.0023440237919453736,4.93208,150.43909901507905,0.0,0.5047515729594668,0.07573836983392049,-0.024732096332317127,0.3423609052935255,-0.09617134400617311,0.5275739120766654,-0.022822339117198553
2020-04-07,142.80916,5.78231,14.34806,0.99603,-0.5293089,-0.3697833,-0.1049199,-0.2885699,-0.4170837,0.1677724,0.0,0.0,0.0,0.0,7016414.10697053,807.8386215978263,301.18253989031626,409.65990929709295,6.1296265280405215,94.19615485056019,4.420704745581822,0.0732744242502848,1.0164855757497153,285.3997167791154,29.975995781576728,10.788484910862397,0.23765798672166663,0.0025646048487599675,5.92811,164.78715901507906,0.0,0.4656078561150705,0.07595173145359026,-0.02487324057260106,0.34083926793590213,-0.08930434081434908,0.532778133670582,-0.06717027755551153
