,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-20,52.86619,0.24222,12.38153,0.04092,-0.3807723,-0.16911020000000002,-0.0635154,-0.3155275,-0.29662330000000003,0.1092437,0.0,0.0,0.0,0.0,21167483.28042754,533.0108010418828,289.26667365169715,378.30924509257767,4.2601980110349364,71.61023888155727,0.1857536274628677,0.0021186556546441446,0.03516134434535585,29.345451323518496,1.6939308283217904,4.5288807562002305,0.15102125395527968,7.415294791254502e-05,0.28314,81.14379458044944,0.0,0.4275232495230184,0.0013183577800566122,-0.1772877347143313,-0.001494432301394899,0.05062306502642018,0.6431013973157997,-0.21557814779278134
2020-03-21,67.2329,0.2795,14.36671,0.03728,-0.44238570000000005,-0.22222750000000002,-0.10461880000000001,-0.3595928,-0.355642,0.12770099999999998,0.0,0.0,0.0,0.0,21166954.845060885,996.2283541716571,234.72208874922077,450.8137540688218,5.011278784416229,85.33463307791978,0.13353533304734047,0.001523067906235597,0.0252769320937644,61.967530474037005,1.9169644557846581,5.667065460171571,0.1799650929046151,5.3307376718245896e-05,0.32042,101.17136521045751,0.0,1.827116103348649,0.0013381553107516969,-0.11853325208890042,-0.05871001372076909,0.09040173612166233,0.6844189696170986,1.1426971337315504
2020-03-22,83.48404,0.3063,16.25114,0.0268,-0.4976271,-0.27141149999999997,-0.1444031,-0.39723640000000005,-0.40932769999999996,0.1446319,0.0,0.0,0.0,0.0,21166773.574295472,1055.6167449664476,259.4971810364889,499.395297538067,5.4808763357560135,94.53064395578257,0.035924990719079314,0.0004097507314909947,0.006800249268509008,100.78452591664842,2.0772997888319984,6.590632242773868,0.1993588711666634,1.4341275602184809e-05,0.34722,117.4225052104575,0.0,0.7728471205356113,0.0004436611831539204,-0.04514636645790404,-0.13587725984786056,0.1341560833351294,0.7243929563344705,0.04845416420114079
2020-03-23,101.4505,0.31351,17.96646,0.00721,-0.5436703,-0.3139151,-0.1795372,-0.4265768,-0.4550227,0.1591232,0.0,0.0,0.0,0.0,21166585.322657816,1114.7869688285846,281.28291807185303,552.9540726410793,6.004510882048485,104.66879608683013,0.11868700123834516,0.0013537118480049224,0.02246628815199508,143.71713389381318,2.120434779551078,7.611682191082286,0.22073956297181965,4.73799146801723e-05,0.35442999999999997,135.3889652104575,0.0,0.7262551856358835,0.0013258037476497873,0.030981607630743646,-0.2212976647111829,0.1770922425876533,0.7580366848123199,-0.031781499176436356
2020-03-24,120.92531,0.33733,19.47481,0.02382,-0.5783708,-0.347575,-0.2072962,-0.44631,-0.4906836,0.17045369999999999,0.0,0.0,0.0,0.0,21166382.434368312,1181.4293456443536,301.29081417395696,609.9594294038129,6.563907982328845,115.4593524061947,0.34360434951285823,0.0039190583139554775,0.06504094168604452,191.1872759481939,2.262941780789423,8.718453015374678,0.24349613202782927,0.0001371670409884417,0.37825,154.8637752104575,0.0,0.7223426307184555,0.0035409844820052153,0.09734401543747262,-0.3012690030380185,0.21386498603048004,0.78120049773504,-0.058857867016584464
2020-03-25,141.78538,0.40629,20.86007,0.06896,-0.6023111,-0.37256140000000004,-0.227382,-0.4574426,-0.5167251,0.1786707,0.0,0.0,0.0,0.0,21166158.41948205,1261.127390286899,321.1723303250818,669.4667708776313,7.147878502200454,126.72350995302844,0.6524297204932376,0.007441437001585413,0.12349856299841461,243.48376215893165,2.6755061303022813,9.903949401151841,0.2672514947251428,0.0002604502950554895,0.44721,175.7238452104575,0.0,0.7448080862364499,0.006277064266802556,0.14763197824182783,-0.3676777377347926,0.24204140151686898,0.79325614132901,-0.048448055092560116
2020-03-26,164.02196,0.53723,22.23658,0.13094,-0.6167553,-0.3896278,-0.2401029,-0.46155880000000005,-0.5341763,0.1840135,0.0,0.0,0.0,0.0,21165909.095642027,1356.4738100236236,342.578638639049,731.155362151188,7.752588338001244,138.4005567465455,1.058815607185069,0.012076564555039715,0.20042343544496027,300.813210619586,3.458875850795519,11.167674078108572,0.2918776135147786,0.0004226797594263901,0.57815,197.96042521045752,0.0,0.7778308005567931,0.009556325657992368,0.1797514976189254,-0.4164868978596186,0.2605674491056212,0.7950925481700337,-0.01726174761324062
2020-03-27,187.74062,0.74973,23.71866,0.2125,-0.6229673,-0.3995278,-0.24576730000000002,-0.46024279999999995,-0.5440665,0.18672149999999998,0.0,0.0,0.0,0.0,21165640.201758318,1459.8229295642968,366.79448158895553,795.2911272576202,8.380979112604125,150.54082960453275,1.568741203605399,0.017892638044746847,0.29694736195525323,363.3541218960083,4.730191457980588,12.515626683515812,0.3174806454136802,0.0006262423315661397,0.7906500000000001,221.67908521045752,0.0,0.7866876105542621,0.01327393706052534,0.19397674763305472,-0.44608386335510736,0.26898675419888596,0.788140137781939,-0.0014525272276769696
2020-03-28,213.13588,1.06457,25.39526,0.31484,-0.6222948,-0.4031605,-0.2448227,-0.4549804,-0.5474909,0.1870994,0.0,0.0,0.0,0.0,21165354.38249143,1567.5599675325975,393.6361388346349,862.5887758732691,9.041062630026456,163.2796160763103,2.1575423344339146,0.0246083445551894,0.4084016554448106,431.307622629401,6.613772661585987,13.958861962490014,0.3443459029087487,0.0008612920594316292,1.10549,247.07434521045752,0.0,0.7812347498187102,0.01705081971990048,0.19242479650402267,-0.4571804848420485,0.2675754674404956,0.7740802784075755,0.0071544714111346774
2020-03-29,240.38954,1.49758,27.25366,0.43301,-0.6164183,-0.40200600000000003,-0.23827310000000002,-0.4468638,-0.5458094,0.1857133,0.0,0.0,0.0,0.0,21165054.090173345,1676.7055269249238,422.5533159609667,933.6805788507911,9.739770370994272,176.73659884842084,2.7929811785953813,0.031855988214973936,0.528684011785026,504.9361895261171,9.204324996019901,15.50771177120109,0.3727257888641652,0.0011149595875240882,1.5385,274.3280052104575,0.0,0.7650747116928338,0.02056751276709257,0.17898686032388755,-0.45364013905596595,0.2578700991577556,0.754477319730783,0.010597391962050784
