,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-04,56.01078,0.81635,7.87961,0.1756,-0.4647905,-0.272319,-0.13121,-0.36279130000000004,-0.5012317000000001,0.1251729,0.0,0.0,0.0,0.0,3483723.683046782,252.3174335335765,206.1612570273848,188.53021192741357,4.389613843087899,52.28846737470247,0.6606661858886114,0.015645589168774166,0.18323441083122585,33.48328113444925,4.2871421917347545,4.781751058810543,0.1562639660773322,0.0005475956209070958,0.99195,65.68166272285727,0.0,0.2647096454609751,0.02056482388416769,-0.09949211899105548,0.13043460461549075,-0.02118815505799065,0.2942449027494517,-0.029535257288476613
2020-04-05,64.35308,1.01523,8.3423,0.19888,-0.4532528,-0.2719756,-0.1182271,-0.35597140000000005,-0.4905876,0.122932,0.0,0.0,0.0,0.0,3483605.9449460167,339.21987084678165,198.05339009458473,204.23979869216302,4.684792853361633,56.64548902455305,0.7407247894682347,0.017541499762938766,0.2054385002370612,51.101319305255366,5.146688377623366,5.49176556506113,0.1692849153893759,0.0006139524917028571,1.19083,74.70706173339389,0.0,0.571527599879366,0.024705832921035842,-0.09630039349981759,0.13054596487875444,-0.017489030271330096,0.3012471132906138,0.27028048658875214
2020-04-06,73.02353,1.23821,8.67045,0.22298,-0.44460120000000003,-0.2731902,-0.10843209999999999,-0.3508089,-0.48187019999999997,0.1212596,0.0,0.0,0.0,0.0,3483587.3966340725,316.3237578929619,202.12183974941775,217.5554032806369,4.923264383631788,60.33854463076497,0.8280584279789527,0.019609694348855265,0.22966030565114467,70.15283439553347,6.1103931670916,6.173856768844306,0.18032160368691819,0.0006863393022099342,1.41381,83.37751173339389,0.0,0.09416678278731096,0.028749372869920242,-0.09393117780294905,0.1301489602941364,-0.014931158079134497,0.3057771965950599,-0.21161041380774898
2020-04-07,81.87209,1.48748,8.84856,0.24927,-0.43896430000000003,-0.275103,-0.102287,-0.3471923,-0.4751762,0.1201154,0.0,0.0,0.0,0.0,3483571.6066405135,293.50944528256565,202.61660489187844,230.41053470674765,5.151880294789407,63.903888950382566,0.924494164987935,0.02189344059568508,0.2564065594043149,90.41048960090535,7.187721595070553,6.869959617271742,0.19097662709432212,0.0007662704208489782,1.66308,92.2260717333939,0.0,0.07880078071576294,0.03145144520690371,-0.09239864881855482,0.1295060740443803,-0.01342869552450844,0.3081693018843241,-0.22936852116856118
2020-04-08,90.74231,1.76578,8.87022,0.2783,-0.43625590000000003,-0.2768373,-0.09999859999999999,-0.34499270000000004,-0.47049599999999997,0.11943540000000001,0.0,0.0,0.0,0.0,3483555.815278294,273.5288952999898,200.2238694960907,242.3183268712217,5.359220191300823,67.20649066992323,1.021129218022427,0.024181906951877972,0.2832080930481221,111.82888420054464,8.390515760058488,7.567766425179244,0.200846444837707,0.0008463667433157289,1.9413799999999999,101.0962917333939,0.0,0.07880556673543607,0.03465415739406689,-0.09166542461622404,0.12890450008174584,-0.012889337263963005,0.30884031038456583,-0.23003474364912976
2020-04-09,99.50778,2.07317,8.76547,0.30739,-0.4355319,-0.2774476,-0.10075189999999999,-0.34401200000000004,-0.46739669999999994,0.1190619,0.0,0.0,0.0,0.0,3483538.2899932535,257.7698401067335,195.83699758429088,252.93820896010658,5.537534279502424,70.15189317305966,1.1064032576028806,0.026201327074376123,0.30685867292562385,134.31703440826394,9.719034978080915,8.257332708823727,0.20964877353355393,0.0009170464476031643,2.24877,109.8617617333939,0.0,0.08861325172881923,0.03799682161937694,-0.09146976478030511,0.12868858015330323,-0.013065676894581421,0.30864371066142376,-0.22003045893260453
2020-04-10,108.0812,2.40623,8.57342,0.33306,-0.4356336,-0.2759713,-0.1034769,-0.3440349,-0.46533929999999996,0.11881370000000001,0.0,0.0,0.0,0.0,3483517.7739469246,246.97417870338293,190.3502668724225,262.09553526478004,5.683124672946601,72.69165883091495,1.1687559542497494,0.02767793462012175,0.3241520653798783,157.75220454206206,11.158498235683796,8.931790709081932,0.2172388574378965,0.0009687277117042612,2.58183,118.4351817333939,0.0,0.10609278705866622,0.04103729900086545,-0.09149724030420264,0.1292071089996559,-0.013713467114779092,0.3084869737636812,-0.20239418670501502
2020-04-11,116.41442,2.75806,8.33322,0.35183,-0.4354021,-0.2714456,-0.107103,-0.3448462,-0.46378480000000005,0.1185094,0.0,0.0,0.0,0.0,3483494.942828805,239.8601943536156,184.57960584103483,269.7661881321725,5.7958960615528,74.81909866190469,1.2002478862802404,0.028423711899486084,0.3328862881005138,181.99554606966208,12.679084189933546,9.587352538189998,0.22359670654445082,0.000994829916482013,2.93366,126.7684017333939,0.0,0.12155105516605208,0.04335778966593944,-0.09143470183935748,0.1307164699997255,-0.014599513061244448,0.30917282728213064,-0.18762177211607856
2020-04-12,124.49501,3.11937,8.08059,0.36131,-0.4340337,-0.2634231,-0.110716,-0.34613819999999995,-0.4623112,0.1180133,0.0,0.0,0.0,0.0,3483469.1981660477,236.5770303938108,179.02960183994134,276.0395639876566,5.878408956207544,76.55900658114587,1.2077554565744286,0.028601502685494887,0.3349684973145052,206.9062546621711,14.240642076213787,10.223040346824877,0.2287964174122726,0.001001052593992321,3.29497,134.84899173339392,0.0,0.14139091712311347,0.04499300174863469,-0.0910653382852692,0.13309472769122918,-0.015509666102798997,0.311010295486168,-0.16961937836305452
2020-04-13,132.33263,3.48294,7.83762,0.36357,-0.43214379999999997,-0.2535162,-0.11402509999999999,-0.3472343,-0.46096519999999996,0.1173707,0.0,0.0,0.0,0.0,3483438.8559361408,238.34084778048873,174.12763510069504,281.0615603910034,5.934482102951492,77.95184697742874,1.2017427564715613,0.028459112719709082,0.33330088728029095,232.35222121902964,15.811967532788215,10.839614072594024,0.23295891777542507,0.0009960689451898178,3.6585400000000003,142.68661173339393,0.0,0.17172757928879903,0.04615686904953289,-0.09055605969545094,0.13550700811738814,-0.016367179417342417,0.31307434118760186,-0.14134676189880283
