,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-16,50.19747,0.88755,13.60149,0.18517,-0.2149437,-0.020140766666666702,-0.0348762111111111,-0.30594145555555596,-0.179110944444444,0.047416099999999996,0.0,0.0,0.0,0.0,57069844.88270769,1127.9712121999,40.9202459695951,489.8070233172185,5.309236715905921,90.71231447732386,1.0334726577568807,0.01130075035420127,0.19139924964579869,46.61906854773694,6.542018418495122,5.556347333184483,0.18745686184767543,0.0003955262623970446,1.07272,104.98873553618822,0.0,2.4981849255209334,0.0036994947646559083,1.5533356340338442,-0.11570184311053391,0.13882135985954996,1.8184715099741944,0.679713415546739
2020-03-17,68.09711,1.09025,17.89964,0.2027,-0.26902454444444396,-0.0651562222222222,-0.0567748666666667,-0.34013307777777796,-0.225273666666667,0.0612715888888889,0.0,0.0,0.0,0.0,57069461.492088154,1373.3167819391663,138.1336650800062,487.82742338002595,5.191475566511751,90.34569235168397,1.0348492616917322,0.011315803154377073,0.19165419684562296,88.67686318589386,7.778191076252003,5.9304289642844745,0.18669923777477673,0.0003960531104031976,1.2754199999999998,111.69858614321258,0.0,9.371678543123311,0.030249555748307743,1.7419390944925899,-0.34287803135951517,0.2418929322762526,1.8829703546006613,7.48870818852265
2020-03-18,90.74742,1.29322,22.65031,0.20297,-0.32738468888888905,-0.1142381,-0.0832421555555556,-0.37655425555555605,-0.275889811111111,0.0764368888888889,0.0,0.0,0.0,0.0,57069046.93871575,1619.859528579821,168.17918609390688,567.3911959801244,5.9744743003872145,105.08091176977739,0.906519183765039,0.009912547671322085,0.1678874523286779,130.47565800742495,9.016010337943735,7.193208928543323,0.21714954660735775,0.000346939168496273,1.4783899999999999,134.34889614321258,0.0,3.0024387275795723,0.007849782188411548,1.8542576165741471,-0.5410972114157682,0.38284512877362986,1.938021893123343,1.0644168344562293
2020-03-19,118.32441,1.47102,27.57699,0.1778,-0.388219811111111,-0.166105533333333,-0.114213977777778,-0.41437820000000003,-0.3298239,0.0925122333333333,0.0,0.0,0.0,0.0,57068602.87972066,1865.7952208765523,198.37131584334026,666.3118489285965,6.960711510269956,123.40102755291211,0.9579123973328207,0.010474518877885225,0.1774054811221148,179.03403271580697,10.100329521708774,8.73065678009885,0.25500803840287894,0.0003666081607259829,1.6561899999999998,161.92588614321258,0.0,2.6419874869787643,0.006812926283833007,1.8705514395082652,-0.6944717530107691,0.5705459380781931,1.9886419837670233,0.653345503211741
2020-03-20,150.85212,1.6589,32.52771,0.18788,-0.44953102222222197,-0.219249855555556,-0.149174077777778,-0.452576677777778,-0.38569236666666695,0.109032544444444,0.0,0.0,0.0,0.0,57068125.97609608,2114.5500556186907,228.4891044743817,782.9367326647347,8.128912997583695,144.99996882105788,1.3952135806372494,0.015256291733730533,0.2583937082662695,236.0041438520188,11.246121919041595,10.544112775677815,0.29964221814669956,0.0005339702106805686,1.8440699999999999,194.45359614321256,0.0,2.405939853728601,0.008412827094191383,1.7828811764323178,-0.791834013725853,0.8119061123036775,2.0449696342014763,0.36097021952712494
2020-03-21,188.31836,1.93255,37.46624,0.27365,-0.508540722222222,-0.271251166666667,-0.185797911111111,-0.489315766666667,-0.44111913333333297,0.125270777777778,0.0,0.0,0.0,0.0,57067612.46791466,2369.5547115390423,258.9521310637635,915.707239079659,9.45946132287087,169.58908118138442,2.058277809257291,0.022506723818406786,0.38119327618159327,302.8924978479877,12.914985499678846,12.63289730922784,0.3504555819688623,0.0007877353336442374,2.11772,231.91983614321256,0.0,2.249510153347183,0.010775033737038997,1.5998149123409071,-0.8285254540866943,1.0982930074418984,2.1115988248874453,0.13791132845973753
2020-03-22,230.77974,2.33625,42.46138,0.4037,-0.5622766,-0.319461788888889,-0.22130878888888902,-0.522560133333333,-0.493480011111111,0.14043440000000001,0.0,0.0,0.0,0.0,57067055.816000536,2636.6018515814294,290.18052355619665,1063.6033229996738,10.939180387183296,196.97945215576775,2.871187925452441,0.031395681077774566,0.5317443189222254,381.068377555527,15.376963308936137,15.000166451185782,0.4070577425165912,0.00109884883772211,2.52142,274.38121614321255,0.0,2.152008265810777,0.01326240456621994,1.3489005319925047,-0.8107836765186327,1.4087484188163448,2.188881633481551,-0.036873367670774204
2020-03-23,278.36176,2.89939,47.58202,0.56314,-0.607766466666667,-0.361233988888889,-0.252930066666667,-0.550274444444444,-0.5401509,0.153730988888889,0.0,0.0,0.0,0.0,57066439.31949048,2930.9390474458132,322.8836633209474,1225.4889448620972,12.55401770665647,226.9606870925128,4.374388436979137,0.04783278135862885,0.8101372186413712,471.8104994264424,18.811291234388577,17.6529169660778,0.46901391955763727,0.0016741473475520097,3.0845599999999997,321.96323614321255,0.0,2.127195113772566,0.018031390848896284,1.0737515506944488,-0.7551426355451549,1.712356991840492,2.2729822661811196,-0.14578715240855367
2020-03-24,331.30624,3.75736,52.94448,0.85797,-0.642709322222222,-0.39446424444444406,-0.278323222222222,-0.570906188888889,-0.579009566666667,0.1645211,0.0,0.0,0.0,0.0,57065742.04773087,3270.1788430054894,358.9287992201369,1401.1033932143398,14.29987254646904,259.4845022019855,6.367150096003689,0.06962310339089114,1.1791968966091089,576.2972391760336,24.043649671367714,20.604630587750236,0.5362243347131213,0.002436808618681191,3.9425299999999996,374.90771614321255,0.0,2.162489069976545,0.023587350371559034,0.8233321011608687,-0.6841784608545192,1.9746890335525515,2.355859033050235,-0.19336996307369025
2020-03-25,390.16118,5.00618,58.85494,1.24882,-0.6674893111111111,-0.4192259,-0.296902255555556,-0.584834322222222,-0.609941144444444,0.17277764444444402,0.0,0.0,0.0,0.0,57064940.916933775,3671.932288152597,400.47279945242775,1591.877344518993,16.19130558724642,294.81585892208216,8.737866013141304,0.09554625533808656,1.6182537446619136,695.6821838119898,31.659619767371403,23.88585892544878,0.6092365303971564,0.0033441189368330288,5.19135,433.76265614321255,0.0,2.235288325032155,0.02911905100914214,0.6251751390061333,-0.6159153044581642,2.1770774369101544,2.4283536306494575,-0.1930653056173024
