,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-08,53.38258,6.76012,7.73832,1.26435,-0.6395573,-0.4101666,-0.18029219999999999,-0.5589824999999999,-0.5954492,0.16149460000000002,0.0,0.0,0.0,0.0,4017448.600046671,359.29267366682586,9.829053629018503,92.193148098302,2.197474610425767,25.762874523817015,4.734236700129835,0.1137232663667676,1.3229567336332322,148.48661277103434,34.46719932948942,2.494081716727491,0.07751148307245141,0.003980314322836867,8.024469999999999,72.06876083688488,0.0,3.599306979195872,0.07688462466145674,0.27751408850005177,2.6745405017913297,0.08411961601864446,3.2818049861343765,0.3175019930614953
2020-04-09,62.36263,8.1968,8.98005,1.43668,-0.6397515,-0.4079104,-0.182701,-0.558392,-0.5940405,0.16121110000000002,0.0,0.0,0.0,0.0,4017362.0057382938,402.1695142325886,43.99971675979062,87.8170298056671,2.052415926392144,24.539992034173405,5.2998024801527235,0.1273089807962358,1.4810010192037637,156.86936443809208,40.638116029619255,2.6752204580692105,0.07383225716511023,0.004455814327868252,9.461149999999998,74.35710881724916,0.0,8.840243514209398,0.7028258000096541,0.2763801140733859,2.633068287282976,0.08621098028535243,3.2412901614660647,5.598953352743333
2020-04-10,72.60641,9.80511,10.24378,1.60831,-0.6411744,-0.40511270000000005,-0.1866451,-0.5592904999999999,-0.593106,0.1611623,0.0,0.0,0.0,0.0,4017273.231894433,441.9910388111749,49.25050248050835,109.4242398614747,2.537098716805465,30.578009532870592,5.845794405177442,0.14042450269694426,1.6335754973030563,164.82119324945933,47.54622850977198,3.4860872631632933,0.09199854100540007,0.004914857594393047,11.069459999999998,84.60088881724916,0.0,2.02476276886984,0.17317826036873113,0.26804894097533793,2.5820536494983046,0.08969040353889751,3.1854237738368907,-1.1606610049670505
2020-04-11,84.07265,11.57911,11.46624,1.774,-0.6434005,-0.4013532,-0.19121829999999998,-0.5612393999999999,-0.5924267,0.16120349999999997,0.0,0.0,0.0,0.0,4017181.812880699,479.5962229325269,54.127127947204066,133.00065722633227,3.062470256551907,37.16631131907626,6.354088535390869,0.15263446861633748,1.7756155313836628,174.78596816963173,55.16602291494942,4.39372032393207,0.11182043789449074,0.005342206401571813,12.843459999999999,96.06712881724916,0.0,1.862961854014459,0.16816759460817143,0.25493532805457253,2.514217878494565,0.09381043839094026,3.1085944247644286,-1.2456325707499696
2020-04-12,96.67424,13.50736,12.60159,1.92825,-0.6461486999999999,-0.3963948,-0.19565919999999998,-0.5639128,-0.5918285999999999,0.16121400000000002,0.0,0.0,0.0,0.0,4017086.571867934,516.437139629237,58.732335821755946,158.1770777208398,3.619374193230852,44.201725290050085,6.803199763959998,0.16342277497065902,1.9011172250293409,186.94437819696665,63.44836145034029,5.3912242748569765,0.1329875390428773,0.005719797123973067,14.771709999999999,108.66871881724916,0.0,1.7661336044174598,0.16383170695126564,0.23861205856895662,2.426006270352997,0.09789928539804374,3.008148394144348,-1.2420147897268883
2020-04-13,110.34799,15.5719,13.67375,2.06454,-0.6497172999999999,-0.3907338,-0.1997872,-0.5674363,-0.5913174,0.1611674,0.0,0.0,0.0,0.0,4016985.662104446,554.4583040927762,63.243949942030035,184.71202666994648,4.201914597911947,51.61677265932759,7.170720310752242,0.17225115421856782,2.0038188457814314,201.44203606728104,72.31610121430029,6.47359718565311,0.15529682437180434,0.006028790397649874,16.83625,122.34246881724916,0.0,1.7246264893315109,0.15914215193344913,0.21719488475131588,2.3270431785222687,0.10177779928615899,2.891646642384094,-1.1670201530525832
2020-04-14,125.07211,17.74797,14.72412,2.17607,-0.6545493,-0.3850497,-0.20356660000000001,-0.5720485,-0.5909441000000001,0.161061,0.0,0.0,0.0,0.0,4016875.026060699,597.5771568306374,67.90009962134258,212.5315589042687,4.808337144491094,59.39078985092977,7.442875981509629,0.1787887301361217,2.0798712698638777,218.4015694433623,81.66289152505253,7.639114225478437,0.17868612440487153,0.006257605554764262,19.01232,137.06658881724917,0.0,1.755907024279451,0.15339864114120233,0.18779731306439196,2.2295513441677026,0.10539448050323172,2.768373917559677,-1.012466893280226
2020-04-15,140.88025,20.00663,15.80814,2.25866,-0.6608833,-0.37992469999999995,-0.2069844,-0.5778207,-0.5907517,0.1608925,0.0,0.0,0.0,0.0,4016749.63215585,650.2056849628636,73.1805226483713,241.72936115075723,5.4409455603373,67.54995711187897,7.640031494058539,0.18352469293001025,2.13496530706999,237.93842371539722,91.36442750656215,8.890439027092683,0.2032342063530913,0.00642336425255036,21.270979999999998,152.87472881724918,0.0,1.8534326675485409,0.14666431344864103,0.14856816874185697,2.14325978103605,0.1087192069126299,2.6461779365148876,-0.7927452689663468
2020-04-16,157.91775,22.32512,17.0375,2.31849,-0.6681412,-0.37555140000000004,-0.21011849999999999,-0.5841565,-0.5907524,0.1606607,0.0,0.0,0.0,0.0,4016603.91013049,716.7544726403835,79.62552000295116,272.7314783531705,6.109980322091081,76.21333038780631,7.791152199482121,0.1871548325544081,2.177195167445591,260.17663660353196,101.3229490006207,10.2390762676221,0.2292992679364398,0.006550419139404283,23.58947,169.91222881724917,0.0,1.998133197831192,0.13877329420396184,0.1026496146765492,2.0708327035068046,0.11181310106936437,2.5309261990770686,-0.5327930012458766
2020-04-17,176.45574,24.68947,18.53799,2.36435,-0.6755407,-0.3720253,-0.2130696,-0.5902923,-0.5909506,0.16036470000000003,0.0,0.0,0.0,0.0,4016432.281206367,801.1027294623442,87.77522085444582,306.3189882684447,6.834018015201355,85.59917761575889,7.925137543627847,0.1903733558236628,2.2146366441763377,285.28006067292597,111.47845120010281,11.70648778213784,0.257538001073827,0.006663067453828197,25.953819999999997,188.45021881724918,0.0,2.162481910590507,0.12973412975193105,0.0547717135023742,2.0132461848972416,0.11476582125820237,2.428414499482169,-0.26593258889166194
2020-04-18,196.8911,27.09448,20.43536,2.40501,-0.6822994,-0.3694419,-0.2159383,-0.5954646,-0.5913506000000001,0.1600037,0.0,0.0,0.0,0.0,4016230.820866363,905.0006593979817,98.10468115618818,343.60742947243676,7.6393347955350945,96.01922999213357,8.065845221813344,0.19375335935531976,2.25395664064468,313.485644856967,121.80859874373066,13.324089397376298,0.28888829595799276,0.0067813675774361926,28.358829999999998,208.88557881724918,0.0,2.3023336584246827,0.11977816882110225,0.010101755314556371,1.9715143067648413,0.11767279857854332,2.344919640482292,-0.04258598205760933
2020-04-19,219.73131,29.54219,22.84021,2.44771,-0.6877688000000001,-0.3677758,-0.2187116,-0.5990995,-0.5919019999999999,0.1595697,0.0,0.0,0.0,0.0,4015995.924189204,1029.664987411078,110.82823447121007,385.99307268757394,8.5584955226541,107.86366778699575,8.216932974619088,0.19738270740980393,2.2961772925901967,345.1347059764013,132.322153965544,15.1320517033198,0.32452406861955757,0.006908394759343137,30.80654,231.72578881724917,0.0,2.4015545698850387,0.10917412755837186,-0.026702692829355,1.9448062311342953,0.12051750078264417,2.2842518189119354,0.11730275097310328
2020-04-20,245.53375,32.03575,25.80244,2.49356,-0.6918359,-0.3665195,-0.22092279999999997,-0.6013817,-0.5923354,0.1590259,0.0,0.0,0.0,0.0,4015723.8364968025,1176.3138414345315,126.0948834308054,434.93795578796727,9.625104822172165,121.54104954375939,8.376852029006496,0.20122419620116958,2.34086580379883,380.69907920908844,143.0326469401631,17.174495223820216,0.36567452888884,0.007042846867040936,33.3001,257.52822881724916,0.0,2.4622648675820784,0.09852130263649483,-0.054451162587242585,1.924774124416733,0.1228098608332619,2.238763602487103,0.22350126509497548
2020-04-21,274.89049,34.57784,29.35674,2.54209,-0.6945213,-0.36504440000000005,-0.2219917,-0.6026857,-0.5923264,0.1583281,0.0,0.0,0.0,0.0,4015410.9673448824,1345.852838031179,144.05380247673975,491.91497662624045,10.872507417908585,137.46296856785196,8.544119517172678,0.20524220508329863,2.3876077949167014,420.7870035111697,153.9515889691696,19.498286438760175,0.4135780171341433,0.007183477177915452,35.84219,286.88496881724916,0.0,2.4884472432274203,0.0883221365860106,-0.07295055899756342,1.9013703354043519,0.12392570152389948,2.1979762577550384,0.2904709854723819
2020-04-22,308.42833,37.17069,33.53784,2.59285,-0.6958459,-0.3627225,-0.221338,-0.6033858,-0.5915509999999999,0.1574324,0.0,0.0,0.0,0.0,4015054.8609752757,1537.9431601600836,164.815895268281,558.3986447524837,12.333608221542463,156.04146854480464,8.725853204571514,0.2096077131575582,2.4383922868424426,466.1438360861433,165.08855848634227,22.153040950332713,0.46947422876005585,0.007336269960514537,38.43504,320.4228088172492,0.0,2.479265547964494,0.07895559165408385,-0.08212765217953333,1.8647876528373333,0.12324269764723343,2.1515334781293842,0.32773206983510983
2020-04-23,346.79989,39.81869,38.37156,2.648,-0.6958561,-0.35918439999999996,-0.2185246,-0.6037554,-0.5897756,0.15632669999999999,0.0,0.0,0.0,0.0,4014653.417050216,1751.9334794102494,188.33966957659396,635.8014330899464,14.039385992218632,177.67125736170638,8.963342721359076,0.21531255752586073,2.5047574424741397,517.6518999413813,176.46241169091377,25.19041819424813,0.5345507018140254,0.007535939513405128,41.083040000000004,358.79436881724916,0.0,2.44295511028328,0.07088765742127764,-0.0821984533177691,1.8096459997864798,0.1203246230093953,2.093402949302457,0.349552160980823
2020-04-24,390.64813,42.53876,43.84824,2.72007,-0.6947015000000001,-0.3550976,-0.2136868,-0.6036627,-0.5871305,0.1551264,0.0,0.0,0.0,0.0,4014204.6159706158,1987.1731688552368,214.54536239034593,725.3526810445715,16.01605178687496,202.69586723885544,9.306511283566053,0.2235559666075179,2.600654033392482,576.3243523728778,188.14582441227284,28.661312949680067,0.6098410046524819,0.007824458831263127,43.803110000000004,402.64260881724914,0.0,2.39022516401918,0.06440874251737357,-0.07419699845206473,1.7468588829701763,0.11538820170036529,2.0336808660428276,0.35654429797635245
2020-04-25,440.59744,45.36297,49.94931,2.82421,-0.6925570999999999,-0.3513887,-0.2071032,-0.602875,-0.5838369,0.1539787,0.0,0.0,0.0,0.0,4013707.180538795,2242.350803116093,243.3532966034399,828.0824437543777,18.28477676850582,231.40314149021575,9.805216201987449,0.2355355856820137,2.7400144143179865,643.2876875751407,200.2765456958389,32.615150050472344,0.6962111571808209,0.008243745498870476,46.627320000000005,452.59191881724917,0.0,2.3259326273932137,0.05957139347870871,-0.05940553194388354,1.6907183105650196,0.10883569539011541,1.9857792538356025,0.3401533735576112
2020-04-26,497.25366,48.33852,56.65622,2.97555,-0.6895983,-0.34898440000000003,-0.1990522,-0.6011594,-0.5801158000000001,0.1530311,0.0,0.0,0.0,0.0,4013162.6394920032,2513.5117630038153,274.6028723777644,944.8492071268585,20.86247052449068,264.0329793400945,10.495968977192241,0.2521284742137686,2.933041525786231,719.7627647491998,213.05731189782637,37.099885968278805,0.7943829322992982,0.008824496597481905,49.60287,509.2481388172492,0.0,2.2451506712287936,0.05621924653639087,-0.03914462152991938,1.6547524733866732,0.10108173845095363,1.9623203701320582,0.28283030109673546
2020-04-27,561.18524,51.52369,63.93158,3.18517,-0.6860169,-0.3484209,-0.18980239999999998,-0.5984734,-0.5761563000000001,0.1523932,0.0,0.0,0.0,0.0,4012573.6679251385,2796.041683103722,307.80979894715057,1076.3438978970257,23.7619672965223,300.7784565120833,11.361502437431195,0.2729198495679849,3.174910150432015,807.0484877934391,226.7384508750186,42.160517494845834,0.9049372273634103,0.00955219473487947,52.78804,573.1797188172492,0.0,2.152453744139178,0.05392999828879562,-0.014850023100698273,1.64637172429583,0.09252501437242375,1.9696774953919063,0.1827762487472715
2020-04-28,632.84788,54.97152,71.66264,3.44783,-0.6820721000000001,-0.34867339999999997,-0.17958210000000002,-0.5955349,-0.5720182,0.1520237,0.0,0.0,0.0,0.0,4011941.1746476223,3087.6600371216296,342.40899167126867,1222.8670566220387,26.986753312129505,341.7235574326078,12.371071790257695,0.2971711770151454,3.457028822984854,906.5059011162341,241.5477833124498,47.83311647114242,1.028126722152396,0.010400991195530087,56.235870000000006,644.8423588172492,0.0,2.062653075585248,0.052387129472204766,0.011618595736261561,1.6501247899205844,0.0835079629956245,1.9908821284768212,0.07177094710842669
