,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-29,51.40768,3.32243,5.40133,0.81196,-0.7020267,-0.4612413,-0.289285,-0.6117767,-0.5794686,0.1868895,0.0,0.0,0.0,0.0,9556429.200149091,283.3975553458166,22.052063391878818,176.76938683814154,9.612552884005122,76.89705183278114,2.2161458547492154,0.1213168587301618,0.9640531412698381,57.193594838047396,12.576129923175149,10.134808817517296,0.33868652371034597,0.0042460900555556635,4.13439,110.60637583618679,0.0,0.696295496709653,0.018334356604804435,0.5004484678299788,4.385432014974553,-1.600945068688573,2.6306221602731923,-1.9343266635635392
2020-03-30,59.29122,4.4078,7.88354,1.08537,-0.6962282999999999,-0.4589379,-0.2775512,-0.6076543999999999,-0.5772917000000001,0.187135,0.0,0.0,0.0,0.0,9556276.77616009,401.22481497260003,34.705445113517605,175.8847650560554,9.38865072620113,76.51222950440044,2.999740660831111,0.16421261858613184,1.304927381413868,76.16140809740128,15.877645777924364,10.945129644955621,0.33699160649910087,0.005747441650514615,5.21976,117.85596938552978,0.0,6.917400243569356,0.20265136107294518,0.5489819138714802,4.319948906461198,-1.5172059364846784,2.697411630005233,4.219988613564123
2020-03-31,70.7006,5.87694,11.40938,1.46914,-0.6886569,-0.4547298,-0.26303540000000003,-0.6020662,-0.5727311,0.1864631,0.0,0.0,0.0,0.0,9556075.546415068,553.4645177932467,49.13481267409379,182.5348639868636,9.594005457760042,79.40511164492469,4.022107587253879,0.22017930675217606,1.7496706932478243,94.98178934671081,20.346526438755475,12.2204091732812,0.34973305981006153,0.0077062757363261635,6.6889,129.26534938552976,0.0,5.802871886740961,0.1726518005360502,0.6110350024955178,4.201446973200281,-1.415812737537843,2.7423559843151892,3.060515902425772
2020-04-01,86.85362,7.84679,16.15302,1.96985,-0.6801723,-0.44954859999999996,-0.2469435,-0.5955458,-0.5666159,0.18517209999999998,0.0,0.0,0.0,0.0,9555817.132406048,744.2806732612219,67.77839851552042,197.12880010479435,10.241766213234522,85.75366940245307,5.286697334234519,0.2894058223974751,2.2997841776025236,114.46991509179506,26.338484026009354,14.025907432313122,0.3776947424262866,0.010129203783911632,8.658750000000001,145.41836938552976,0.0,5.263508246539896,0.16029138823576022,0.678795181767887,4.057547762596573,-1.306254078122048,2.7757756123996455,2.4877326341402504
2020-04-02,109.1357,10.43598,22.28208,2.58919,-0.6714722000000001,-0.444208,-0.2304252,-0.5885767,-0.559705,0.1835405,0.0,0.0,0.0,0.0,9555494.366100034,976.1184322390822,91.14613576464842,221.67956188752333,11.433299061939653,96.43357973709381,6.7969401836455585,0.37207994694464747,2.956760053055353,135.48273973007872,34.214371360243874,16.5164792664104,0.42473349903094076,0.01302279814306266,11.24794,167.70044938552977,0.0,4.765917787740907,0.14939538858131737,0.7463259069898562,3.9115381846556456,-1.1969023132099808,2.8066485245927546,1.9592692631481525
2020-04-03,139.0999,13.76482,29.9642,3.32884,-0.6632543,-0.4395214,-0.2146302,-0.5816428,-0.5527575,0.18184650000000002,0.0,0.0,0.0,0.0,9555106.65460524,1244.549995125452,119.53746260453192,258.4034851578426,13.279836472791764,112.40897842876079,8.547302764133102,0.4678987710750648,3.718191228924935,159.09209266146172,44.340151543889434,19.86571742331755,0.4950957836544579,0.01637645698762727,14.57678,197.66464938552977,0.0,4.2572626497474735,0.13970304563445712,0.8082999718538488,3.7853461072803505,-1.0952855266537889,2.844047298637644,1.4132153511098293
2020-04-04,178.39772,17.95091,39.29782,4.18609,-0.6561294,-0.4361354,-0.2006493,-0.5752159,-0.5464553999999999,0.1803305,0.0,0.0,0.0,0.0,9554655.668411644,1543.4284553380785,152.41014162648304,309.6000340446126,15.895802225879493,134.68016318435565,10.496580856537937,0.5746066822241878,4.566153317775813,186.6061067701221,57.073544308022534,24.258217747947242,0.5931873224586506,0.02011123387784658,18.76287,236.96246938552977,0.0,3.7760662492346,0.13081539892034724,0.8606052031327218,3.695301089257268,-1.0077431665312662,2.893849872015957,0.8822163772186431
2020-04-05,228.5024,23.09167,50.10468,5.14076,-0.6503604,-0.43402749999999996,-0.1893368,-0.5697202,-0.5411725,0.1790803,0.0,0.0,0.0,0.0,9554143.832513377,1866.6076514646168,189.01141005967276,377.0898838929185,19.368088570702515,164.03915217447872,12.594545333440992,0.6894540238465414,5.478795976153458,219.57761996136134,72.71088516456047,29.858651134976515,0.7224964921045562,0.02413089083462895,23.90363,287.0671493855298,0.0,3.361456645391269,0.12310726263494749,0.9019860905644528,3.639722449639292,-0.9385611429657192,2.948834143395259,0.4126225019960099
2020-04-06,290.63971,29.25992,62.13731,6.16825,-0.6461233,-0.43300849999999996,-0.1814884,-0.5655678000000001,-0.5372057,0.17814560000000002,0.0,0.0,0.0,0.0,9553574.140986906,2208.1279629600317,228.58859638830523,462.10790897573116,23.750808765378363,201.02313225412846,14.791028322456649,0.8096944926363405,6.434295507363659,259.7519049283391,91.47368049800146,36.80402760488288,0.8853892864003375,0.02833930724227192,30.07188,349.2044593855298,0.0,3.017191268056499,0.11658036049516786,0.9318255889901135,3.612986015116509,-0.8914321805697509,2.999066169694105,0.018125098362394176
2020-04-07,365.78798,36.50391,75.14827,7.24399,-0.6435942,-0.4328889,-0.1778997,-0.5631711,-0.5348516999999999,0.1775763,0.0,0.0,0.0,0.0,9552949.571164204,2562.779658598067,270.41187327328885,565.3319759596423,29.067538411311943,245.92698450610436,17.049174711799772,0.933310556047007,7.416619443952994,309.00300151540273,113.50869882045811,45.203699657183996,1.0831644839917414,0.03266586946164525,37.315870000000004,424.3527293855298,0.0,2.7354486114852685,0.11111273752542805,0.9494133609773039,3.6098535748438243,-0.8701193153427103,3.0348343666356516,-0.2993857551503831
