,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-04-13,56.07596,7.51224,7.56789,0.41452,-0.6761135,-0.43446640000000003,-0.32322409999999996,-0.391963,-0.7618751,0.1920941,0.0,0.0,0.0,0.0,3271566.6156237056,852.6912870288925,28.01223032165558,288.39586869734717,1.12102729212524,31.505718872244667,3.9483691344002443,0.015441616013619344,0.43133838398638075,376.28446485565263,77.97863009221201,1.1839161877291875,0.03947590358101801,0.0005404565604766769,7.92676,79.3282792530366,0.0,2.8510813890157007,0.01921442739272787,3.775775210619029,2.8743688277896813,-0.7141466225453974,3.1956298295157617,-0.34454844050006095
2020-04-14,65.11521,7.95902,9.03925,0.44678,-0.6738232000000001,-0.4271537,-0.3207797,-0.39696820000000005,-0.75851,0.1928341,0.0,0.0,0.0,0.0,3271328.906684625,986.6931602125087,104.42232158511368,288.4262697184382,1.1006366138800532,31.50904002253802,4.435132579323395,0.017345291670609702,0.4845147083293903,398.6311154166897,82.37377922661226,1.2823324396207392,0.03948006490199246,0.0006070852084713396,8.37354,82.17580589670693,0.0,8.51575176256392,0.17624418058231964,3.802484475999952,2.7267380762541613,-0.720089171069247,3.068765794837315,5.446985967726604
2020-04-15,75.73004999999999,8.46088,10.61484,0.50186,-0.6724831,-0.420234,-0.3187143,-0.4022468,-0.755943,0.193502,0.0,0.0,0.0,0.0,3271067.8622451094,1127.6628673189052,120.83246545247218,356.45028133326076,1.348015147254118,38.94030246114111,5.0821179061720505,0.01987557661701973,0.5551944233829802,420.9358634653294,87.31077180593566,1.6492026740224741,0.04879125696528392,0.0006956451815956905,8.8754,92.79064589670693,0.0,2.5086022956362775,0.05417604033598246,3.817988075731316,2.5901705491480853,-0.7249755896357788,2.942815448896071,-0.4342131532597935
2020-04-16,88.01303,9.03595,12.28298,0.57507,-0.6719762,-0.41399790000000003,-0.3172784,-0.40742710000000004,-0.7541453,0.1940483,0.0,0.0,0.0,0.0,3270783.0948449452,1275.134493697954,138.09590453429385,433.5939349219765,1.6277640633116683,47.36783741066053,5.822160950432484,0.022769799556677923,0.6360402004433221,448.6362897641021,92.96795971210771,2.073727184213096,0.05935075438357551,0.0007969429844837271,9.450470000000001,105.07362589670693,0.0,2.3648944408429236,0.053636006897349014,3.823828432260548,2.4697013562848373,-0.7282999779013426,2.824862224296491,-0.4599677834535676
2020-04-17,102.05089,9.69476,14.03786,0.65881,-0.6719633,-0.40856560000000003,-0.31643899999999997,-0.4121115,-0.7528636,0.1944388,0.0,0.0,0.0,0.0,3270473.2818969395,1429.6446444984233,156.15558196818674,519.943078742891,1.9398491975306795,56.80102333793793,6.588362669293001,0.025766326053792376,0.7197436739462078,482.45112198373363,99.44893066254019,2.558903879170226,0.07117030814894203,0.0009018214118827331,10.109280000000002,119.11148589670692,0.0,2.251318465783538,0.053107097520562266,3.8239768907390452,2.3667740379789737,-0.7302157232207134,2.720167619149754,-0.46884915336621624
2020-04-18,117.92457,10.44027,15.87368,0.74551,-0.672105,-0.40405749999999996,-0.3161634,-0.4159021,-0.7518445,0.19463940000000002,0.0,0.0,0.0,0.0,3270133.017550811,1595.748840376998,175.07721151980232,615.5859716959241,2.2842730026948277,67.24950205962415,7.320893931995976,0.028631171282694535,0.7997688287173055,523.1045532699502,106.7828033318332,3.10753020819809,0.08426199922439845,0.0010020909948943088,10.854790000000001,134.98516589670692,0.0,2.186720933772186,0.052187016495229846,3.822345682025974,2.282781666809896,-0.7308402739761091,2.6339194885122095,-0.44719855474002346
2020-04-19,135.72169,11.26867,17.79712,0.8284,-0.6721170999999999,-0.4004716,-0.3163543,-0.4184982,-0.7508575999999999,0.1946207,0.0,0.0,0.0,0.0,3269755.336934663,1779.0051217892612,195.41867157987392,720.6938840477318,2.6613871315398328,78.73198394385598,7.989442490609565,0.03124578753998068,0.8728042124600193,571.3264270902698,114.93209726382916,3.7226344948454444,0.098649271248591,0.0010936025638993237,11.683190000000002,152.78228589670692,0.0,2.1649489774624637,0.05079754477128884,3.8222063427541,2.216893423939319,-0.7304078999798631,2.5683242803660047,-0.40337530290354096
2020-04-20,155.58658,12.17272,19.86489,0.90405,-0.6719365,-0.3973162,-0.3166575,-0.4199871,-0.7497634999999999,0.1943713,0.0,0.0,0.0,0.0,3269332.5943082906,1984.9731357930348,217.86061116717852,835.950027383713,3.073561628100263,91.323106232273,8.570942757057335,0.03351996797262348,0.9363300320273766,627.8588669935145,123.82558975443872,4.409205074398662,0.11442564287971846,0.001173198879041822,12.587240000000001,172.64717589670693,0.0,2.1711263403195775,0.04882231917720159,3.824285288873277,2.1595911799936442,-0.7297190077849918,2.5137898747343783,-0.3426635344148008
2020-04-21,177.73275999999998,13.14257,22.14618,0.96985,-0.671555,-0.3939776,-0.3166541,-0.4205532,-0.7484456,0.1938846,0.0,0.0,0.0,0.0,3268857.6268731016,2218.0501527241863,243.0838760482943,962.6231898088911,3.525433927227496,105.16147729511952,9.042240769362198,0.035363160107469094,0.9878168398925311,693.4971938138116,133.36638251149606,5.174621627799657,0.13176478705257313,0.0012377106037614182,13.557090000000002,194.79335589670694,0.0,2.188225259666602,0.046201195872154925,3.8286713725025816,2.099650902884185,-0.7297267475753051,2.4582279414639103,-0.27000268179730824
2020-04-22,202.44296,14.16575,24.7102,1.02318,-0.6709645000000001,-0.3898417,-0.31592549999999997,-0.4203808,-0.7467873,0.193154,0.0,0.0,0.0,0.0,3268327.3763174233,2477.9919690419574,271.62696495552143,1102.5166929556526,4.023668384934915,120.44410045509507,9.389373451217342,0.03672075596452393,1.025739244035476,769.136650051386,143.43180328085825,6.028655872886135,0.15091354416472103,0.001285226458758338,14.580270000000002,219.50355589670693,0.0,2.189694027482955,0.042996819127323935,3.8354456265495145,2.026378384345108,-0.731377623659931,2.39007880088714,-0.20038477340418526
