,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-23,55.64779,0.27991,10.01477,0.06142,-0.6086283,-0.3255435,-0.2195989,-0.541486,-0.5072484,0.1747562,0.0,0.0,0.0,0.0,11432214.763313042,565.5257313411997,451.28597301524275,596.2872939301985,3.3102470432857722,78.40412803472998,0.771800155295243,0.0043381827468618045,0.10148181725313817,43.71486667829069,2.8308267587122025,3.5171217121834406,0.11730771645141387,0.00015183639614016313,0.34133,87.47156266153127,0.0,0.01,0.0033251871525564196,2.028905175189884,-0.08774400121567716,0.04876601420033577,0.5684527659781112,-0.5584527659781112
2020-03-24,67.2056,0.38573,11.55781,0.10582,-0.6455238,-0.3645027,-0.24780909999999998,-0.5616815,-0.5475869999999999,0.1875078,0.0,0.0,0.0,0.0,11431797.830878686,913.2858211301949,333.61264191529006,716.7064511538083,3.92806310152234,94.23770208016217,1.1728707519658665,0.0065925455256364285,0.15421745447436358,92.3563142650611,3.7084469140074456,4.441133270395313,0.14099780090348848,0.00023073909339727498,0.44715,110.0107014658411,0.0,0.9242012961374273,0.0071347002827477435,1.8478316935617372,0.030593927358103512,0.1467616818035038,0.6037128805269132,0.3204884156105141
2020-03-25,80.53002000000001,0.54654,13.32442,0.16081,-0.6711311999999999,-0.39403370000000004,-0.26787089999999997,-0.5734813,-0.5773921,0.19667210000000002,0.0,0.0,0.0,0.0,11431182.656399215,1416.793002614687,307.26861340236934,785.1495351581211,4.246392209005803,103.23708941574759,1.6412605268010632,0.009225300165623812,0.21580469983437617,150.74054978942468,5.042127665973312,5.124207763129246,0.15446262226253307,0.0003228855057968335,0.6079600000000001,126.67273417375169,0.0,1.844852922559384,0.013505555051105076,1.7017234379986776,0.13864410074670985,0.22915914938219228,0.6480522659311485,1.1968006566282354
2020-03-26,95.87632,0.77157,15.3463,0.22503,-0.6866934,-0.4148221,-0.280096,-0.5784437,-0.5977475,0.20255659999999998,0.0,0.0,0.0,0.0,11430801.243069239,1624.9894927769647,353.49715957011404,838.5579652092375,4.479014254335557,110.2596126700362,2.167196164661014,0.012181512203765985,0.28495848779623406,214.60093192033884,6.908418192774375,5.753342651507297,0.16496967319641553,0.0004263529271318095,0.83299,142.0190341737517,0.0,1.2425366114494791,0.019362321862598803,1.6047505335891152,0.22419677275231198,0.2845491711432764,0.6920220552882723,0.5505145561612068
2020-03-27,113.53147,1.06871,17.65515,0.29714,-0.6934529,-0.4275537,-0.284796,-0.5781273,-0.6097368,0.20546869999999998,0.0,0.0,0.0,0.0,11430369.13429779,1858.5066439971708,406.07338358248285,904.3844328751616,4.781928788790342,118.9149485316071,2.7554913879280174,0.015488238912912396,0.3623117610870877,282.6983186878047,9.37275435743539,6.477130849610275,0.1779197271092804,0.000542088361951934,1.13013,159.67418417375168,0.0,1.2238743318374046,0.02139885529151551,1.5607036802072978,0.28046433878583676,0.3068879498907391,0.7265815466874423,0.4972927851499622
2020-03-28,133.8125,1.44651,20.28103,0.3778,-0.6927427,-0.43307870000000004,-0.282452,-0.5739882000000001,-0.6145068,0.205773,0.0,0.0,0.0,0.0,11429881.912209973,2118.6695650092656,465.4688112043586,983.9250518100016,5.161068869314052,129.37351931520473,3.4686516523843474,0.019496814881426353,0.45608318511857376,356.03949641960276,12.506045745363409,7.308569277455547,0.19356776869486955,0.0006823885208499226,1.5079300000000002,179.9552141737517,0.0,1.2015378831119017,0.023449499359746516,1.5653863975622713,0.30579732898558953,0.2956746135015331,0.7453839178529627,0.45615396525893903
2020-03-29,157.05999,1.92209,23.24749,0.47558,-0.6862560999999999,-0.4329047,-0.2742233,-0.5670732,-0.6134556,0.2040635,0.0,0.0,0.0,0.0,11429344.029139599,2397.772794049966,532.1219313635945,1078.477506041401,5.622362281726174,141.80595381954353,4.383842386522007,0.02464097639225814,0.5764190236077418,435.73513305807916,16.450277397747755,8.261620307750787,0.21216909158681885,0.0008624341737290351,1.9835100000000003,203.2027041737517,0.0,1.1574392162435556,0.025854834220812653,1.6075599272866024,0.30499106440636203,0.2574513651829594,0.7485279346794925,0.4089112815640631
2020-03-30,183.63642,2.52315,26.57643,0.60106,-0.6757763,-0.428704,-0.2614386,-0.5583264,-0.6080443,0.20099160000000002,0.0,0.0,0.0,0.0,11428792.287698308,2656.7063293596066,605.3459782964757,1189.3467720744013,6.171764814493672,156.383839710544,5.560359897868404,0.03125401985187143,0.7311159801481286,522.9997077521969,21.435179784269764,9.351144122711858,0.2339804240692749,0.0010938906948154995,2.5845700000000003,229.7791341737517,0.0,1.038845970886277,0.028685944650955756,1.6734257966430608,0.2856929887492303,0.20159014688822474,0.7392345100840846,0.29961146080219236
2020-03-31,213.86997,3.28552,30.23355,0.76237,-0.6629114,-0.4220169,-0.24541139999999997,-0.5486213999999999,-0.5996414,0.19714469999999998,0.0,0.0,0.0,0.0,11428255.918244112,2868.7242222543405,679.9491630079193,1317.5057386034493,6.813353056249724,173.23509936813852,6.986461621218231,0.039269941912860734,0.9186300580871394,619.1519082913112,27.75790968213817,10.590594746283807,0.2591931627261809,0.0013744479669501259,3.34694,260.01268417375167,0.0,0.8880977945793779,0.031683345157945395,1.750447859380916,0.2556329175976513,0.1376205143944691,0.7222268691766052,0.1658709254027727
2020-04-01,247.82952,4.24342,33.95955,0.9579,-0.6485685,-0.4138572,-0.2273942,-0.5385475000000001,-0.5892446,0.1928555,0.0,0.0,0.0,0.0,11427762.053268895,3012.4562604550833,749.6148422577843,1461.9958690041565,7.5403708474968045,192.23369752545227,8.632535870401593,0.04852229935133398,1.135067700648666,725.5872938385442,35.7022713033564,11.982795973851289,0.2876187344591552,0.00169828047729669,4.30484,293.97223417375164,0.0,0.7284203956011198,0.034852935330415155,1.8313365755363247,0.220052279733554,0.07375686670633208,0.7036712997797795,0.024749095821340328
