,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-18,67.85038999999999,0.78917,18.45856,0.23591,-0.3649581,-0.17840399999999998,-0.043610100000000006,-0.411628,-0.30414549999999996,0.1057192,0.0,0.0,0.0,0.0,17259556.60214453,3352.9352998973523,113.32755548366492,1655.3513981498154,2.7823184280908055,118.35331846908227,4.355506454539272,0.0073926196187763605,0.3114073803812235,123.94373995384952,15.029918633686066,2.9271513331764676,0.09833722375068754,0.0002587416866571726,1.02508,130.96576,0.0,2.7461051887107497,0.005051067592568973,4.119843340834764,-0.9011615080236965,0.06042799458808529,1.5186028847117174,1.2275023039990323
2020-03-19,90.89936,1.10797,23.04897,0.3188,-0.4292071,-0.2332265,-0.0775914,-0.4691418,-0.3677074,0.1256447,0.0,0.0,0.0,0.0,17258531.4835073,3967.6822093824694,410.6073246742317,1636.4840872885125,2.7001307585406167,117.00435482697048,5.655327295457925,0.009598811057077435,0.4043411889429225,251.26489338425998,19.704225088225336,3.1063838071626186,0.09721639890841206,0.00033595838699771027,1.34388,138.69499749000394,0.0,9.050528130040469,0.05355508878273432,4.258435206289738,-1.0398212341925435,0.16693569789123794,1.6250427273009966,7.425485402739472
2020-03-20,118.90386,1.52191,28.0045,0.41394,-0.4891292,-0.2857003,-0.11284050000000001,-0.52138,-0.42663260000000003,0.1445797,0.0,0.0,0.0,0.0,17257434.756335773,4578.996504286071,485.8904904016358,1894.4030737879448,3.0928738253500674,135.44489136954908,7.227708844557439,0.012267620943918627,0.5167623790560812,376.8855993288026,25.77349238368326,3.7557772077712217,0.11253824363170978,0.00042936673303715185,1.75782,166.69949749000395,0.0,2.673143729174034,0.01889089253512828,4.229393983183026,-1.1116579315421928,0.33241381207982235,1.6896429210332196,0.9835008081408145
2020-03-21,152.04287,2.05094,33.13901,0.52903,-0.5430788,-0.33424329999999997,-0.14758459999999998,-0.5669304000000001,-0.4794765,0.16197140000000002,0.0,0.0,0.0,0.0,17256291.701769315,5162.01417797602,560.7532911163312,2201.98615693589,3.5657857428126953,157.43628161828966,9.200529208533192,0.015616097333351835,0.6578139026666482,522.1383468605455,33.530231228240694,4.524234219919358,0.1308104162370265,0.0005465634066673143,2.28685,199.83850749000396,0.0,2.3549927633055674,0.02032136747597469,4.072547191338732,-1.125087705720529,0.5503272988058604,1.7372798417366275,0.6177129215689399
2020-03-22,190.28772,2.72437,38.24485,0.67343,-0.5896209,-0.3773355,-0.1799005,-0.6047446999999999,-0.5250277,0.177317,0.0,0.0,0.0,0.0,17255120.65674205,5701.9008758429745,632.1508296369677,2554.748897239775,4.110049301747798,182.6578998160189,11.701529872171713,0.019861056390482322,0.8366289436095177,690.8124958017137,43.40419043677389,5.411090017997022,0.15176651568693272,0.0006951369736668813,2.96028,238.08335749000398,0.0,2.0911604752773325,0.02239491068732129,3.8377303521306327,-1.0943095815570305,0.8018507967030423,1.7847646245892088,0.3063958506881237
2020-03-23,233.40207,3.58086,43.11435,0.85649,-0.6273206,-0.413457,-0.20786480000000002,-0.6337748,-0.562075,0.19011399999999998,0.0,0.0,0.0,0.0,17253901.65983658,6223.944443222196,698.2664605127386,2945.559788255451,4.712606139886692,210.59986180503338,14.862414355616528,0.02522603905986783,1.0626239609401322,886.3445288203109,55.9622103089456,6.410864138639402,0.17498289021440083,0.0008829113670953742,3.81677,281.19770749000395,0.0,1.931508467033731,0.02523173838872672,3.5799582374622787,-1.0375693777500223,1.0574947249888855,1.8393766420137063,0.0921318250200247
2020-03-24,281.02568,4.66871,47.62361,1.08785,-0.6551904999999999,-0.4414854,-0.22990200000000002,-0.6534806000000001,-0.5898064000000001,0.19998729999999998,0.0,0.0,0.0,0.0,17252601.633306175,6763.458785618327,762.1969850807302,3365.959425824622,5.358457161166543,240.65734219567597,18.830187832803773,0.031960557848089384,1.3463094421519104,1111.6147654437598,71.91247466456213,7.51520301443286,0.1999570034271931,0.0011186195246831285,4.9046199999999995,328.82131749000393,0.0,1.8653972503396083,0.028940897172641887,3.350518947669382,-0.9740990813289865,1.2837874474504969,1.899700371103457,-0.03430312076384867
2020-03-25,333.00952,6.04698,51.98384,1.37827,-0.6740344,-0.461889,-0.2458288,-0.6653548,-0.6090072,0.20707129999999999,0.0,0.0,0.0,0.0,17251183.177871373,7355.760203104952,828.2670165428449,3810.830600509946,6.038602988523913,272.46447382591225,23.755407647300032,0.040320154374340576,1.6984498456256594,1368.846121505546,92.1209324973659,8.720650804405668,0.2263848641787884,0.00141120540310192,6.282889999999999,380.8051574900039,0.0,1.8651144550223897,0.03344827931141678,3.17665845888628,-0.9172093902784288,1.460961251015475,1.9599033769358905,-0.09478892191350075
2020-03-26,389.49951,7.78575,56.48999,1.73877,-0.6851037999999999,-0.47553379999999995,-0.2558096,-0.6713985,-0.6208621,0.2116284,0.0,0.0,0.0,0.0,17249604.30657722,8036.431990192935,900.8014613448022,4279.302215328441,6.751442317192739,305.9589755276715,29.788904386489605,0.05056083403570825,2.129829165964291,1659.8629335308835,117.61511014466593,10.03059123206715,0.25421472438777043,0.0017696291912497881,8.021659999999999,437.2951474900039,0.0,1.9108990523686937,0.03859781175390543,3.0674835916428034,-0.8741409398006259,1.5778177585862356,2.0106534677409775,-0.0997544153722838
2020-03-27,450.93654,9.96614,61.43703,2.18039,-0.6896502999999999,-0.48328560000000004,-0.2600092,-0.6736126,-0.626556,0.2139204,0.0,0.0,0.0,0.0,17247817.61394751,8842.12182728884,984.1579226179979,4774.465567332281,7.502138042852379,341.3618669979845,37.060742107609656,0.06290335510939052,2.6497466448906097,1986.4189335651618,149.58440453115554,11.455248049185569,0.2836302245610667,0.002201617428828668,10.202049999999998,498.7321774900039,0.0,1.9887171647052533,0.044153338792581605,3.021132055934716,-0.8478796076099853,1.6283293340451266,2.041074839682422,-0.05235767497716859
2020-03-28,518.0587,12.67879,67.12216,2.71265,-0.6889413000000001,-0.486088,-0.2587165,-0.6738293,-0.6272637,0.21426130000000002,0.0,0.0,0.0,0.0,17245770.94169786,9809.74558652098,1082.8243503708077,5303.202802565681,8.302196589451931,379.16520377468566,45.618601856853246,0.07742864683776354,3.2616113531622366,2350.5027238179127,189.3577966387652,13.011736747023228,0.31504020304936886,0.002710002639321725,12.914699999999998,565.8543374900039,0.0,2.085523019916414,0.04974571736070473,3.0284181910570336,-0.8380658834113017,1.6126964243108493,2.0425417892691455,0.04298123064726855
2020-03-29,591.91017,16.01783,73.85147,3.33904,-0.6843084,-0.4851941,-0.2527186,-0.6732049999999999,-0.6241214,0.2131718,0.0,0.0,0.0,0.0,17243417.786659453,10966.04701114269,1201.321537919191,5876.056783870092,9.169134703465001,420.1227731230317,55.48967139408401,0.09418285512120808,3.967367144878792,2754.62943988999,238.31543849561845,14.724270705610035,0.34907096545967475,0.0032963999292422827,16.253739999999997,639.705807490004,0.0,2.179710792668674,0.05499619709668609,3.075502292218788,-0.8412146796048825,1.5411479757354398,2.01492864566191,0.16478214700676386
2020-03-30,673.84346,20.07938,81.93329,4.06155,-0.6770992,-0.4819346,-0.2429274,-0.6727274,-0.6182552,0.2112246,0.0,0.0,0.0,0.0,17240749.059077136,12297.086118045287,1342.9245788414114,6506.998678628069,10.125986952571564,465.23347716402276,66.70141172298335,0.11321258963799799,4.768977410362001,3202.1218216119596,297.8666598897025,16.624213136867542,0.38655247805442994,0.0039624406373299295,20.315289999999997,721.639097490004,0.0,2.228630345528247,0.059587378951827745,3.146952995097875,-0.8525499972220532,1.4278336260311506,1.9617296812195368,0.26690066430870996
2020-03-31,765.43445,24.96157,91.59099,4.88219,-0.6685352,-0.4775197,-0.2302766,-0.6732167,-0.6107264,0.2089246,0.0,0.0,0.0,0.0,17237767.54997035,13778.755584383009,1505.9263542525819,7212.018698543668,11.198832017679665,515.640574434978,79.28374304159215,0.13456863406744682,5.668581365932554,3697.372831354501,369.45026161268584,18.748106956118324,0.4284346497338958,0.00470990219236064,25.197479999999995,813.230087490004,0.0,2.227815590358566,0.06335939812420414,3.228957302198639,-0.867536982932414,1.2878232977630666,1.8887366743418559,0.33907891601671025
2020-04-01,868.14259,30.76472,102.70814,5.80315,-0.6593348,-0.4726773,-0.2157891,-0.6748224999999999,-0.6023358000000001,0.206506,0.0,0.0,0.0,0.0,17234479.01692741,15386.942100887722,1687.3746320177552,8004.337953645876,12.408636199398781,572.289339907438,93.26740527940453,0.15830316342254766,6.66837683657745,4245.999169986669,454.53715465427797,21.129795195679268,0.475502889116814,0.005540610719789169,31.000629999999997,915.938227490004,0.0,2.1918446491650463,0.06646678637155733,3.313578240300064,-0.883490434059846,1.1363463435874759,1.8059272071402583,0.38591744202478795
2020-04-02,983.22598,37.5914,115.08339,6.82668,-0.6500903,-0.4680151,-0.20051,-0.6775272999999999,-0.5938192,0.2041357,0.0,0.0,0.0,0.0,17230896.882914435,17092.830622169353,1884.3164468924379,8893.447280297702,13.769747390832219,635.8583436903625,108.68286512209679,0.1844678889384007,7.770542111061599,4854.625530056323,554.6312399336825,23.79845180392673,0.5283210054947063,0.006456376112844024,37.82731,1031.021617490004,0.0,2.131447879130117,0.06912387617361637,3.3949770862060014,-0.8983710391446045,0.9868425444788445,1.7229416488528058,0.40850623027731103
2020-04-03,1111.74132,45.54641,128.51534,7.95501,-0.6413941,-0.4641406,-0.1854845,-0.6813134,-0.5859124,0.20198039999999998,0.0,0.0,0.0,0.0,17227056.93355139,18848.784790936395,2093.2230493960337,9885.38877466619,15.29051751541796,706.7795799408095,125.54610733300592,0.21308994162176223,8.976220058378239,5530.595203755839,671.2691150557794,26.77858048585181,0.5872479335103112,0.00745814795676168,45.78232,1159.536957490004,0.0,2.0467807950933317,0.07150360416118419,3.4682288326192143,-0.9103798370621687,0.8500821272961476,1.6474241801657576,0.399356614927574
