,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-28,54.6607,0.87127,11.87295,0.25251,-0.6567628000000001,-0.40485869999999996,-0.3028284,-0.6461529,-0.5881581,0.18704529999999997,0.0,0.0,0.0,0.0,3504434.6612925376,1252.1567020954699,386.5197617399367,617.4196347661754,2.2390017127149764,65.35812847403403,3.0918430478441885,0.011367079976362448,0.3272929200236377,79.83149155647438,11.383484069882302,2.408248957129868,0.07944744899939217,0.0003978477991726857,1.12378,76.97670538671093,0.0,1.4175455538339692,0.015175655057050236,0.9731861554746095,-0.9694127933711513,0.157749446797927,0.7882255232400396,0.6293200305939296
2020-03-29,68.36195,1.20993,13.70125,0.33866,-0.6541799,-0.40581470000000003,-0.2967364,-0.6451255,-0.5925362,0.1874401,0.0,0.0,0.0,0.0,3503895.00939387,1638.618672927422,379.75970884495814,713.4196661477773,2.552216873668846,75.52039418643923,3.9820740039514537,0.014639990767406866,0.42153000923259315,128.8877160284806,14.81398711772649,2.9387510773026064,0.09180040502421682,0.0005123996768592403,1.4624400000000002,92.78198241399477,0.0,1.397538253676853,0.027596479280120313,0.9663602663940192,-0.9704960401235847,0.15202940918216562,0.7745963497912545,0.6229419038855986
2020-03-30,83.8908,1.6461,15.52885,0.43617,-0.6481798000000001,-0.4037236,-0.28685279999999996,-0.6418683000000001,-0.5929524,0.1866836,0.0,0.0,0.0,0.0,3503593.6582667036,1739.5461956361037,423.12668608319734,799.0277062401524,2.8242095975617505,84.58259591717406,4.96013207315227,0.01823579563915939,0.5250642043608407,185.49867662800543,19.232231121677945,3.4599749593404496,0.10281615511734861,0.0006382528473705786,1.8986100000000001,108.31083241399477,0.0,0.7948466422818056,0.03498649288260239,0.9505950561566147,-0.9681192302254502,0.14297171109998016,0.7521502513697991,0.0426963909120065
2020-03-31,101.19298,2.1894,17.30218,0.5433,-0.640301,-0.40000250000000004,-0.27457719999999997,-0.6371545,-0.5904672,0.185177,0.0,0.0,0.0,0.0,3503339.97930481,1780.5493701568128,460.8902643519284,893.6647271621297,3.127369360413875,94.60057756779145,5.976625916378429,0.02197290862731327,0.6326670913726868,248.82145748021196,24.735663194830217,4.0407204380666615,0.11499372361336933,0.0007690518019559645,2.44191,125.61301241399478,0.0,0.6009261409514961,0.03783569469280749,0.9300876328025253,-0.9638224882015265,0.13210509526466097,0.7250729542043142,-0.12414681325281807
2020-04-01,120.03936,2.84404,18.84638,0.65464,-0.6314354999999999,-0.3955519,-0.2609607,-0.6313709,-0.5859656,0.1831869,0.0,0.0,0.0,0.0,3503158.292681287,1744.6592398959997,488.03298907700594,994.6104425685389,3.451256749263829,105.28637805895006,6.973491038902809,0.025637857137970024,0.7381921428620299,319.5627622138982,31.36692911120865,4.673296794072442,0.1279830733600697,0.0008973249998289509,3.09655,144.45939241399478,0.0,0.39563052157757644,0.0405292687508158,0.9072754047410444,-0.9585703537173158,0.12054814937046154,0.6959559147328446,-0.3003253931552681
2020-04-02,139.99564,3.60787,19.95628,0.76383,-0.622314,-0.39114350000000003,-0.2469671,-0.6248074,-0.5802886,0.1809461,0.0,0.0,0.0,0.0,3503057.2522048983,1632.652609103977,499.53765023536744,1097.5242907639413,3.779702488052328,116.18051898574399,7.893119427875069,0.029018846820893868,0.8355411531791062,398.21109394755734,39.104250150111454,5.343126802903371,0.1412256757093323,0.0010156596387312857,3.86038,164.41567241399477,0.0,0.20850049385947492,0.04332270342969731,0.884095612788278,-0.9532466324822721,0.10921542600105785,0.666767120645718,-0.4582666267862431
2020-04-03,160.42236,4.47243,20.42672,0.86456,-0.6136668000000001,-0.38754869999999997,-0.2335606,-0.617754,-0.5742772,0.17868760000000003,0.0,0.0,0.0,0.0,3502984.8216787693,1505.9020871949865,492.5603632804058,1196.5497676496086,4.0912820645557,126.66304898002737,8.689954191992003,0.03194838895854495,0.9198916110414552,484.9080482917196,47.86192957798652,6.028747070708138,0.15396793572426365,0.001118193613549073,4.72494,184.8423924139948,0.0,0.1466691514230066,0.046597789561907146,0.862393796047729,-0.9488160180112772,0.09887564886980811,0.6391561412449143,-0.49248698982190764
2020-04-04,180.56377,5.42427,20.14141,0.95184,-0.6061475000000001,-0.38535490000000006,-0.2216458,-0.6105212999999999,-0.5686801,0.1766191,0.0,0.0,0.0,0.0,3502905.2824228965,1401.9472204046845,472.95103467350106,1285.1846429292912,4.362590680325174,136.04566210020027,9.368377557270753,0.034442594690085405,0.9917074053099146,579.3281749887993,57.50372376997853,6.704790944524669,0.16537316862719342,0.0012054908141529894,5.67678,204.9838024139948,0.0,0.16353292424547358,0.050947277276019894,0.8437383879433082,-0.9460726743520042,0.09011135903816365,0.6144797869681221,-0.4509468627226485
2020-04-05,199.90333,6.45042,19.33956,1.02615,-0.6001008999999999,-0.3844133,-0.21189029999999998,-0.6035028,-0.5638770000000001,0.1748468,0.0,0.0,0.0,0.0,3502788.7233804245,1347.9221434667775,448.7336300057387,1359.560567247537,4.580309481766212,143.9188668757625,9.94509676040167,0.03656288773357096,1.052757112266429,680.6284344107983,67.89825132724928,7.353920824722095,0.17494360844045637,0.0012797010706749835,6.70293,224.3233624139948,0.0,0.24905929759788745,0.05632599707542469,0.8288823223887287,-0.9448860286947494,0.08323321988848366,0.5939322279211173,-0.34487293032322985
2020-04-06,218.25261,7.53974,18.34928,1.08932,-0.5957947,-0.38439120000000004,-0.2049025,-0.5971125,-0.5601554,0.1734519,0.0,0.0,0.0,0.0,3502611.990098879,1360.8798825338947,427.9313812149534,1419.065471618836,4.743275950072827,150.21787158138275,10.437001630825831,0.03837136310452239,1.1048286368954778,787.6591485037084,78.93266808765095,7.969812082233073,0.1826004962183173,0.0013429977086582834,7.79225,242.6726424139948,0.0,0.39719245030096456,0.06230217207432661,0.8183814110837959,-0.9448581111072958,0.0784712744621196,0.5786972887772741,-0.18150483847630955
2020-04-07,235.75126,8.68294,17.49865,1.1432,-0.5934966,-0.38495559999999995,-0.2012906,-0.5917643,-0.5578027999999999,0.17251539999999999,0.0,0.0,0.0,0.0,3502384.2985855993,1423.4124700823472,417.33253726878826,1466.1092138358533,4.861381309387219,155.19777629219357,10.861347183485721,0.03993145841339065,1.1497485415866093,899.2241387110702,90.51286971847678,8.557152051607593,0.1886539242275229,0.0013976010444686727,8.93545,260.1712924139948,0.0,0.5362220214351283,0.06798695899397952,0.81280429900304,-0.9455701320081726,0.07606382221226898,0.5700007035457906,-0.03377868211066226
2020-04-08,252.81651,9.87262,17.06525,1.18968,-0.5933332,-0.38573830000000003,-0.201377,-0.5877582,-0.5569691,0.1720823,0.0,0.0,0.0,0.0,3502103.431730971,1531.67459715826,418.7817469878694,1505.4425335487128,4.952863639431814,159.36147957979134,11.238492510085974,0.04131802332753324,1.1896719766724668,1014.3216687036486,102.5638969019625,9.12994500491362,0.1937152014139014,0.001446130816463664,10.125129999999999,277.2365424139948,0.0,0.6779645681148458,0.07213430802361524,0.812408467755816,-0.9465542728941991,0.07612098159985686,0.568677890800128,0.10928667731471786
2020-04-09,269.94102,11.10361,17.12451,1.23099,-0.5948663,-0.3862297,-0.20434000000000002,-0.5849383,-0.5572525,0.17205320000000002,0.0,0.0,0.0,0.0,3501761.737987141,1687.724393321595,432.8886762226301,1542.1429350626022,5.036765267515029,163.24647030915457,11.589344480583387,0.042607921406702935,1.2268120785932972,1132.3306287836951,115.03337941204848,9.704727012608709,0.19843768368260375,0.001491277249234603,11.356119999999999,294.3610524139948,0.0,0.8216399797061567,0.07412883638714333,0.8161260797545807,-0.9471701968646233,0.07809393300238819,0.573752530231,0.24788744947515662
2020-04-10,287.64238,12.37303,17.70136,1.26942,-0.5975169,-0.38588459999999997,-0.2090719,-0.5830345,-0.5581138,0.1722924,0.0,0.0,0.0,0.0,3501358.3035763665,1886.6289946303084,460.26250172133757,1581.1304615006177,5.131165958752604,167.3735689926709,11.93453607580865,0.04387700926445485,1.2633529907355452,1253.0358208619868,127.89214389263186,10.298870917440643,0.20345446537188341,0.00153569532425592,12.625539999999999,312.0624124139948,0.0,0.9382931416326602,0.07384912797660743,0.822573195392143,-0.9467378031960556,0.08129602312991911,0.583834129664661,0.3544590119679992
2020-04-11,306.46309,13.68026,18.82071,1.30723,-0.6007056,-0.384158,-0.21446500000000002,-0.5817767,-0.5590136,0.1726644,0.0,0.0,0.0,0.0,3500916.695133117,2099.578804497151,500.6559823388702,1627.1802744872725,5.253274734471467,172.24825943643503,12.29323953458677,0.0451957731346234,1.3013242268653766,1376.6146018867908,141.13390996844052,10.930585663149982,0.209379997963788,0.0015818520597118187,13.93277,330.88312241399484,0.0,0.9661595613026414,0.07154459103827644,0.830362187400164,-0.9445633386655898,0.0850224732051994,0.5975240362784278,0.3686355250242136
2020-04-12,326.93554,15.02678,20.47245,1.34652,-0.6040346,-0.3807415,-0.2196427,-0.5809126,-0.5595476,0.1730481,0.0,0.0,0.0,0.0,3500454.6126486347,2307.1592888961372,550.3962053565511,1684.6216408589648,5.4183637834290845,178.32882440659006,12.676319125585243,0.046604155216381414,1.3418758447836188,1503.6245594360876,154.7736695030273,11.617740852608677,0.2167713567225659,0.00163114543257335,15.27929,351.3555724139948,0.0,0.9297545335662059,0.06782187769416947,0.8385323932220681,-0.9402060142293366,0.08867719250893726,0.613706285840323,0.3160482477258828
2020-04-13,349.44193,16.41526,22.50639,1.38848,-0.6078302999999999,-0.3762742,-0.224652,-0.5802615999999999,-0.5598516,0.1733808,0.0,0.0,0.0,0.0,3499982.735377813,2499.355253638133,604.9540847133981,1756.0930649711022,5.635249376964498,185.89456779457333,13.0926305972137,0.048134713436785735,1.3859452865632143,1634.9672224675967,168.83846862861253,12.37316498037459,0.22596805537341683,0.0016847149702875009,16.66777,373.86196241399483,0.0,0.8641105599520291,0.06371879275174738,0.8478959904297664,-0.9343990561560611,0.09228493263506127,0.6324845812474209,0.23162597870460822
2020-04-14,374.17926,17.84934,24.73733,1.43408,-0.6126003999999999,-0.3716317,-0.2297711,-0.5796608,-0.5601965,0.1736141,0.0,0.0,0.0,0.0,3499494.8421195634,2684.2801553725094,660.4500620254246,1842.3367995519116,5.9056745569836355,195.02406217313762,13.558242111535007,0.049846521972764256,1.435233478027236,1771.7526254204502,183.36517922582624,13.203470326478854,0.2370656044612764,0.001744628269046749,18.101850000000002,398.5992924139948,0.0,0.8132267965533923,0.06003396486201217,0.8597358422058846,-0.9282329071544166,0.09604479202587948,0.6542504414160019,0.1589763551373904
2020-04-15,401.18589,19.33442,27.00663,1.48508,-0.6186545999999999,-0.36754620000000005,-0.2351915,-0.5789679,-0.560777,0.1737055,0.0,0.0,0.0,0.0,3498990.8478264543,2862.91981656327,715.6051351274614,1942.5502231006526,6.225740777629261,205.63234451842112,14.116428150468435,0.05189867832354322,1.494321321676457,1915.1477639712552,198.40850133736126,14.109944439459511,0.24996072539383027,0.0018164537413240126,19.586930000000002,425.60592241399485,0.0,0.7698218736823818,0.057253348529601795,0.8748792511977809,-0.9226957310780176,0.10010642773472604,0.6789926621931435,0.09082921148923828
2020-04-16,430.44788,20.88064,29.26199,1.54622,-0.6255101,-0.3641759,-0.2407592,-0.5781226,-0.5614832,0.1736363,0.0,0.0,0.0,0.0,3498473.6645750683,3033.1444280945734,769.7908077356681,2055.460262805734,6.589960949321329,217.58465128924118,14.81776690596182,0.05447713188695242,1.5685628681130475,2066.253357664097,214.0711494878297,15.092119424983395,0.2644896035115241,0.0019066996160433344,21.133150000000004,454.8679124139949,0.0,0.7294440600741067,0.0554658107668002,0.8921840165148412,-0.9180497795529045,0.10436462293319375,0.7052015742337849,0.024242485840321737
2020-04-17,461.92559,22.50368,31.47771,1.62304,-0.6324860999999999,-0.3615354,-0.2462331,-0.5770854,-0.5621289,0.1733935,0.0,0.0,0.0,0.0,3497941.8081186432,3197.483417269773,822.3780944640379,2179.600374008199,6.992297382471076,230.72573861443502,15.712471384461585,0.05776648946589152,1.6632735105341083,2226.066491840119,230.5119563937915,16.148664771474696,0.28046352885854003,0.0020218271313062037,22.756190000000004,486.3456224139949,0.0,0.6976796050311579,0.054674879462324286,0.9099641818438637,-0.9143605243206222,0.10863622424621877,0.7309425961081146,-0.03326299107695674
2020-04-18,495.55366,24.22472,33.62807,1.72104,-0.6389018,-0.3596393,-0.2513727,-0.5758168,-0.562528,0.17296399999999998,0.0,0.0,0.0,0.0,3497377.592697372,3374.359860886626,873.3083030526011,2313.34752432908,7.426296540168749,244.88379731792696,16.827474016698076,0.06186576743646125,1.7813042325635384,2395.465408707177,247.9454677782531,17.277386678817503,0.2976736551739371,0.002165301860276144,24.477230000000002,519.9736924139949,0.0,0.692984120693639,0.054810460427850885,0.926468747232936,-0.9116845942227674,0.11272379705745958,0.7542106644062826,-0.06122654371264358
