,total_cases,total_deaths,new_cases,new_deaths,mobility_L,mobility_W,mobility_F,mobility_P,mobility_T,mobility_R,vac_total,vac_partial,vac_fully,V_,S,E,I,AR,DHR,DQR,AD,DHD,DQD,R,D,TH,DVR,DVD,DD,DT,V,gamma_t,pdth_t,gammaL_mob,gammaW_mob,gammaF_mob,gamma_mob,gamma_tilde
2020-03-21,52.07544,0.17787,10.96037,0.00929,-0.6727338,-0.4140117,-0.3278695,-0.7318944999999999,-0.6367609000000001,0.1944407,0.0,0.0,0.0,0.0,7164073.69486116,316.24783496400966,134.58861768207228,177.13146867506418,6.5704206725609655,62.85695173986563,0.012943637809584331,0.00048681493118632273,0.004593185068813677,16.227785237571236,0.6640362307956307,7.01412828750625,0.23316926625176856,1.7038522591521294e-05,0.18716,74.26089056737648,0.0,0.786721636466359,0.0002289788969835077,-0.19521713866138057,-0.14731227673116032,1.3135450467020662,0.6241803636670697,0.1625412727992892
2020-03-22,64.49321,0.18295,12.41777,0.00508,-0.72317,-0.4674449,-0.3705591,-0.7645511,-0.6940784999999999,0.214179,0.0,0.0,0.0,0.0,7163875.955542398,475.2896424682083,117.56854454020777,204.3867375016923,7.47898068260424,72.52876855540362,0.06701135322678503,0.002520321395708718,0.02377967860429128,34.016412631499136,0.6820598686052151,8.519882496675665,0.269047086727912,8.821124884980513e-05,0.19224,89.973702341535,0.0,1.4695884951966893,0.001673793359076145,-0.5591845857738642,-0.09047274814904682,1.740051507808594,0.7435589062432275,0.7260295889534618
2020-03-23,78.21898,0.20925,13.72577,0.0263,-0.7609447,-0.5090175,-0.4043287,-0.7883476,-0.738988,0.2294635,0.0,0.0,0.0,0.0,7163797.197405924,495.90749546350247,127.07500204007475,224.54788601024114,8.112070120769147,79.6831626802942,0.14202330147760445,0.005341548083528666,0.05039845191647131,54.50384323666221,0.7753712218320001,9.835219067153872,0.29558647151196116,0.00018695418292350336,0.21853999999999998,103.699472341535,0.0,0.6705265555187437,0.004060974356994178,-0.8636954643277965,-0.034255415636222364,2.119138894905544,0.8743527472990693,-0.20382619178032557
2020-03-24,93.0546,0.26499,14.83562,0.05574,-0.7850915,-0.5367766,-0.4267584,-0.8027698999999999,-0.7702601,0.2395951,0.0,0.0,0.0,0.0,7163716.978020505,515.5006361747836,135.16866042291866,245.98890252511745,8.790419900768816,87.29173133503468,0.2429734845515673,0.00913832122793853,0.08622167877206148,76.97016112730357,0.9731345233096045,11.256912242233879,0.3238106268574847,0.0003198412429778486,0.27427999999999997,118.535092341535,0.0,0.6321786056397488,0.006427773156767294,-1.0726690208607863,0.009127053183201062,2.391285725471242,0.9809084901512013,-0.3487298845114525
2020-03-25,108.83513,0.36035,15.78053,0.09536,-0.7971107000000001,-0.5519527,-0.43857219999999997,-0.8091459000000001,-0.7895013,0.24502,0.0,0.0,0.0,0.0,7163633.869614976,535.6260856751715,142.3092318786912,268.1664279407014,9.492952586919126,95.16165786578695,0.37516165966204673,0.014109966627534283,0.1331300333724657,101.54015940783775,1.3114680078611718,12.769155869405868,0.3530042950809313,0.0004938488319637,0.36963999999999997,134.315622341535,0.0,0.6160241595073366,0.009330485097775551,-1.1808499737833067,0.03482334750197602,2.5411598560766295,1.0482979621528434,-0.43227380264550685
2020-03-26,125.4493,0.50759,16.61417,0.14724,-0.7991193,-0.5565722000000001,-0.44128,-0.8092641,-0.7990271,0.2464714,0.0,0.0,0.0,0.0,7163544.681459728,559.4133847052506,148.9566855633529,290.70747474363105,10.205439394342239,103.16058375770139,0.5439640228283779,0.020458684972237802,0.19303131502776222,128.28364841703882,1.8338696675232184,14.361286976742061,0.382676489315528,0.0007160539740283232,0.51688,150.929792341535,0.0,0.6281782678193584,0.012849874534809744,-1.199198596052259,0.04292283023917409,2.576147032188315,1.0730359987327742,-0.44485773091341585
2020-03-27,142.83954,0.72108,17.39024,0.21349,-0.7932340999999999,-0.5526613,-0.4363916,-0.8049130999999999,-0.8011531,0.2446819,0.0,0.0,0.0,0.0,7163440.454702691,595.3770791917423,155.76371513955178,313.3957974755989,10.919827626769342,111.21177205128416,0.7562345869851633,0.02844225818427177,0.2683577418157282,157.23274754627707,2.5913236903515964,16.027788647788054,0.41254255209627994,0.0009954790364495119,0.73037,168.320032341535,0.0,0.7014705996719611,0.01706704450312359,-1.1456556225457453,0.036057337327267125,2.513156725709911,1.0567231728489777,-0.35525257317701653
2020-03-28,161.02448,1.01788,18.18494,0.2968,-0.7814659,-0.5422299,-0.4254021,-0.7977434,-0.7980082000000001,0.2403837,0.0,0.0,0.0,0.0,7163313.30718462,649.9123745589866,164.15536843740256,336.21195873173804,11.635611703140686,119.30832518040087,1.024840551136026,0.03854462630349661,0.36367537369650343,188.3977579393045,3.6443582773367598,17.77044619005723,0.44257689674756956,0.0013490619206223812,1.02717,186.50497234153502,0.0,0.8183572558665763,0.022118302287497237,-1.0405794181758132,0.018199605963053922,2.3743676972393364,1.0051526173841214,-0.18679536151754517
2020-03-29,180.18912,1.4201,19.16464,0.40222,-0.7653991000000001,-0.5272219,-0.40974629999999995,-0.7888542,-0.7909757999999999,0.2343055,0.0,0.0,0.0,0.0,7163158.213635738,725.7744363872638,175.74958910438005,359.5474498397746,12.367734510819,127.58916793169456,1.3641524108018421,0.05130626889918214,0.48408373110081787,221.78702524802102,5.071418828472786,19.606988100059326,0.47329486786803093,0.001795719411471375,1.42939,205.66961234153501,0.0,0.9471738046145636,0.027936345269204122,-0.901405037515743,-0.006333444925605947,2.1833839232135692,0.9288101731297647,0.018363631484798915
2020-03-30,200.70735,1.95549,20.51823,0.53539,-0.7465119,-0.5095649,-0.39084409999999997,-0.7792066,-0.7812528000000001,0.22717510000000002,0.0,0.0,0.0,0.0,7162979.082681861,816.4471473083051,191.83154980641217,384.2397623934697,13.147617524612702,136.35149294453845,1.78135541374305,0.06699742575596335,0.6321325742440365,257.44830150856495,6.970961239274628,21.57324414838908,0.5057989081905676,0.002344909901458717,1.96478,226.187842341535,0.0,1.021870880816248,0.03407360186526811,-0.7441226401551422,-0.033445164272052685,1.9633472029145018,0.8389441308448515,0.18292674997139646
