iso2,date,semana,population,total_cases,new_cases,total_deaths,new_deaths,google_retail_and_recreation,google_grocery_and_pharmacy,google_parks,google_transit,google_workplaces,google_residential,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
AC,2020-03-01,10,881935,0,0,0,0,-7,8,-16,1,0,4,0,0,0
AC,2020-03-02,10,881935,0,0,0,0,4,10,5,7,27,-4,0,0,0
AC,2020-03-03,10,881935,0,0,0,0,2,8,-4,1,23,-2,0,0,0
AC,2020-03-04,10,881935,0,0,0,0,3,5,5,2,25,-3,0,0,0
AC,2020-03-05,10,881935,0,0,0,0,1,4,-1,9,25,-2,0,0,0
AC,2020-03-06,10,881935,0,0,0,0,1,6,-10,14,27,-2,0,0,0
AC,2020-03-07,10,881935,0,0,0,0,13,15,4,15,10,0,0,0,0
AC,2020-03-08,11,881935,0,0,0,0,15,12,-3,4,7,1,0,0,0
AC,2020-03-09,11,881935,0,0,0,0,2,6,2,9,27,-3,0,0,0
AC,2020-03-10,11,881935,0,0,0,0,8,6,1,11,26,-4,0,0,0
AC,2020-03-11,11,881935,0,0,0,0,2,0,2,3,25,-3,0,0,0
AC,2020-03-12,11,881935,0,0,0,0,1,1,5,7,26,-2,0,0,0
AC,2020-03-13,11,881935,0,0,0,0,-12,-2,-19,5,25,-1,0,0,0
AC,2020-03-14,11,881935,0,0,0,0,0,8,-5,25,11,0,0,0,0
AC,2020-03-15,12,881935,0,0,0,0,-6,6,-11,6,3,2,0,0,0
AC,2020-03-16,12,881935,0,0,0,0,-9,3,-9,6,25,-3,0,0,0
AC,2020-03-17,12,881935,0,0,0,0,-11,20,-11,-6,17,-1,0,0,0
AC,2020-03-18,12,881935,0,0,0,0,-26,4,-22,-15,-5,6,0,0,0
AC,2020-03-19,12,881935,3,3,0,0,-34,-5,-26,-27,-12,9,0,0,0
AC,2020-03-20,12,881935,7,4,0,0,-48,-12,-48,-28,-18,12,0,0,0
AC,2020-03-21,12,881935,9,2,0,0,-67,-10,-55,-41,-25,12,0,0,0
AC,2020-03-22,13,881935,11,2,0,0,-77,-26,-65,-52,-29,13,0,0,0
AC,2020-03-23,13,881935,11,0,0,0,-68,-21,-48,-64,-41,17,0,0,0
AC,2020-03-24,13,881935,17,6,0,0,-67,-22,-48,-70,-47,17,0,0,0
AC,2020-03-25,13,881935,23,6,0,0,-65,-23,-48,-67,-45,17,0,0,0
AC,2020-03-26,13,881935,24,1,0,0,-63,-25,-48,-58,-43,17,0,0,0
AC,2020-03-27,13,881935,25,1,0,0,-62,-17,-51,-59,-39,17,0,0,0
AC,2020-03-28,13,881935,25,0,0,0,-64,-18,-54,-70,-29,13,0,0,0
AC,2020-03-29,14,881935,34,9,0,0,-68,-20,-56,-75,-22,11,0,0,0
AC,2020-03-30,14,881935,42,8,0,0,-56,-22,-43,-73,-35,15,0,0,0
AC,2020-03-31,14,881935,42,0,0,0,-46,-6,-38,-48,-35,12,0,0,0
AC,2020-04-01,14,881935,43,1,0,0,-51,-11,-39,-64,-35,13,0,0,0
AC,2020-04-02,14,881935,43,0,0,0,-49,-11,-40,-68,-33,13,0,0,0
AC,2020-04-03,14,881935,46,3,0,0,-57,-13,-48,-71,-33,15,0,0,0
AC,2020-04-04,14,881935,46,0,0,0,-55,-5,-52,-70,-23,10,0,0,0
AC,2020-04-05,15,881935,48,2,0,0,-67,-20,-56,-65,-23,10,0,0,0
AC,2020-04-06,15,881935,50,2,0,0,-43,-6,-34,-70,-29,11,0,0,0
AC,2020-04-07,15,881935,50,0,1,1,-40,-1,-36,-57,-31,11,0,0,0
AC,2020-04-08,15,881935,54,4,2,1,-42,1,-32,-66,-30,11,0,0,0
AC,2020-04-09,15,881935,62,8,2,0,-44,5,-35,-68,-38,12,0,0,0
AC,2020-04-10,15,881935,70,8,2,0,-75,-25,-55,-78,-65,20,0,0,0
AC,2020-04-11,15,881935,72,2,2,0,-55,-7,-46,-72,-27,10,0,0,0
AC,2020-04-12,16,881935,77,5,2,0,-65,-18,-52,-67,-20,8,0,0,0
AC,2020-04-13,16,881935,90,13,3,1,-46,-13,-33,-70,-27,12,0,0,0
AC,2020-04-14,16,881935,99,9,3,0,-45,-14,-32,-64,-30,12,0,0,0
AC,2020-04-15,16,881935,101,2,3,0,-54,-21,-46,-70,-35,16,0,0,0
AC,2020-04-16,16,881935,110,9,5,2,-45,-10,-39,-67,-29,14,0,0,0
AC,2020-04-17,16,881935,135,25,5,0,-51,-11,-42,-68,-27,16,0,0,0
AC,2020-04-18,16,881935,142,7,5,0,-56,-9,-44,-69,-19,10,0,0,0
AC,2020-04-19,17,881935,163,21,6,1,-66,-17,-47,-64,-18,10,0,0,0
AC,2020-04-20,17,881935,176,13,8,2,-47,-13,-33,-67,-33,13,0,0,0
AC,2020-04-21,17,881935,195,19,8,0,-65,-26,-44,-66,-57,17,0,0,0
AC,2020-04-22,17,881935,214,19,8,0,-47,-14,-35,-66,-29,13,0,0,0
AC,2020-04-23,17,881935,227,13,10,2,-50,-14,-39,-72,-28,14,0,0,0
AC,2020-04-24,17,881935,234,7,11,1,-55,-14,-46,-67,-27,14,0,0,0
AC,2020-04-25,17,881935,258,24,11,0,-57,-10,-45,-69,-19,10,0,0,0
AC,2020-04-26,18,881935,279,21,11,0,-68,-17,-52,-69,-17,10,0,0,0
AC,2020-04-27,18,881935,279,0,14,3,-46,-8,-31,-71,-24,13,0,0,0
AC,2020-04-28,18,881935,311,32,16,2,-41,-4,-30,-58,-26,8,0,0,0
AC,2020-04-29,18,881935,354,43,17,1,-43,-3,-30,-61,-25,12,0,0,0
AC,2020-04-30,18,881935,404,50,19,2,-36,7,-25,-63,-25,11,0,0,0
AC,2020-05-01,18,881935,486,82,19,0,-69,-12,-52,-72,-55,19,0,0,0
AC,2020-05-02,18,881935,553,67,21,2,-54,-6,-50,-66,-19,10,0,0,0
AC,2020-05-03,19,881935,657,104,24,3,-66,-17,-54,-72,-17,10,0,0,0
AC,2020-05-04,19,881935,733,76,28,4,-41,-3,-30,-66,-24,12,0,0,0
AC,2020-05-05,19,881935,817,84,29,1,-40,0,-32,-64,-28,12,0,0,0
AC,2020-05-06,19,881935,943,126,33,4,-45,-1,-40,-43,-28,13,0,0,0
AC,2020-05-07,19,881935,1014,71,36,3,-43,2,-36,-63,-28,15,0,0,0
AC,2020-05-08,19,881935,1177,163,38,2,-48,3,-44,-63,-26,15,0,0,0
AC,2020-05-09,19,881935,1335,158,39,1,-52,7,-43,-66,-17,12,0,0,0
AC,2020-05-10,20,881935,1447,112,41,2,-63,-1,-51,-71,-8,9,0,0,0
AC,2020-05-11,20,881935,1460,13,45,4,-50,-11,-34,-66,-27,14,0,0,0
AC,2020-05-12,20,881935,1590,130,51,6,-49,-9,-38,-65,-30,13,0,0,0
AC,2020-05-13,20,881935,1694,104,52,1,-52,-14,-42,-53,-30,15,0,0,0
AC,2020-05-14,20,881935,1740,46,55,3,-60,-24,-50,-72,-33,16,0,0,0
AC,2020-05-15,20,881935,1785,45,57,2,-59,-12,-50,-68,-29,17,0,0,0
AC,2020-05-16,20,881935,1867,82,59,2,-60,-9,-48,-69,-20,13,0,0,0
AC,2020-05-17,21,881935,1997,130,60,1,-70,-17,-55,-77,-16,11,0,0,0
AC,2020-05-18,21,881935,2234,237,67,7,-59,-23,-43,-71,-31,16,0,0,0
