iso2;date;semana;population;total_cases;new_cases;total_deaths;new_deaths;people_vaccinated;people_fully_vaccinated;total_vaccinations;google_retail_and_recreation;google_grocery_and_pharmacy;google_parks;google_transit;google_workplaces;google_residential;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred
Norte;2020-03-01;10;18430980;0,09590;0,09590;0,00076;0,00076;0,00000;0,00000;0,00000;0,0762571428571429;6,19215285714285990;-6,6564785714285701;-1,0727685714285700;13,53684285714290070;-0,0660157142857143;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-02;10;18430980;0,16339;0,06749;0,00196;0,00120;0,00000;0,00000;0,00000;1,2649214285714301;6,47654142857143000;-5,9631742857142900;-0,2091371428571430;14,62885428571430069;-0,3707900000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-03;10;18430980;0,24365;0,08026;0,00405;0,00209;0,00000;0,00000;0,00000;2,4271028571428599;6,76557999999999993;-5,2899028571428603;0,6229442857142860;15,62545000000000073;-0,6513300000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-04;10;18430980;0,40965;0,16600;0,00713;0,00308;0,00000;0,00000;0,00000;3,5016942857142901;7,04637714285714001;-4,6620100000000004;1,3820585714285700;16,47242999999999924;-0,8923657142857140;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-05;10;18430980;0,66505;0,25540;0,01117;0,00404;0,00000;0,00000;0,00000;4,4216800000000003;7,30147857142856971;-4,1098800000000004;2,0292328571428602;17,12513571428570103;-1,0805742857142899;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-06;10;18430980;1,00871;0,34366;0,01604;0,00487;0,00000;0,00000;0,00000;5,0964414285714303;7,49516857142856985;-3,6840371428571399;2,5352814285714298;17,57703285714289976;-1,2104542857142899;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-07;10;18430980;1,43421;0,42550;0,02163;0,00559;0,00000;0,00000;0,00000;5,4294485714285701;7,58717714285713996;-3,4400471428571402;2,8734628571428602;17,83110999999999891;-1,2784571428571401;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-08;11;18430980;1,92981;0,49560;0,02789;0,00626;0,00000;0,00000;0,00000;5,3241771428571401;7,53723428571429022;-3,4334699999999998;3,0170357142857100;17,89036428571429838;-1,2810414285714300;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-09;11;18430980;2,47558;0,54577;0,03449;0,00660;0,00000;0,00000;0,00000;4,6987142857142903;7,31714285714286028;-3,7172557142857099;2,9310028571428601;17,73871142857139915;-1,2102428571428601;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-10;11;18430980;3,03200;0,55642;0,04079;0,00630;0,00000;0,00000;0,00000;3,5295600000000000;6,94701428571428981;-4,3339100000000004;2,5473642857142900;17,28374857142859966;-1,0404414285714301;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-11;11;18430980;3,53701;0,50501;0,04588;0,00509;0,00000;0,00000;0,00000;1,8078371428571400;6,45904857142857036;-5,3233171428571397;1,7898557142857101;16,41400000000000148;-0,7415985714285710;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-12;11;18430980;4,01048;0,47347;0,05001;0,00413;0,00000;0,00000;0,00000;-0,4753400000000000;5,88543285714285958;-6,7253728571428599;0,5822185714285720;15,01797714285710050;-0,2836800000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-13;11;18430980;4,53980;0,52932;0,05792;0,00791;0,00000;0,00000;0,00000;-3,3392357142857101;5,23168714285714032;-8,5780071428571407;-1,1527385714285701;13,00382571428569989;0,3593357142857140;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-14;11;18430980;5,09109;0,55129;0,07310;0,01518;0,00000;0,00000;0,00000;-6,8446714285714298;4,39659857142857025;-10,9113014285714005;-3,4959557142857101;10,35818000000000083;1,1974057142857100;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-15;12;18430980;5,99974;0,90865;0,09796;0,02486;0,00000;0,00000;0,00000;-11,0628428571429005;3,25227999999999984;-13,7533785714286001;-6,5292914285714296;7,08729857142856989;2,2364614285714302;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;2020-03-16;12;18430980;7,72615;1,72641;0,13591;0,03795;0,00000;0,00000;0,00000;-16,0181728571429005;1,69585285714285994;-17,1012799999999991;-10,2999714285713999;3,22069571428571022;3,4723714285714302;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
