region;iso2;date;semana;population;total_cases;new_cases;total_deaths;new_deaths;people_vaccinated;people_fully_vaccinated;total_vaccinations;google_retail_and_recreation;google_grocery_and_pharmacy;google_parks;google_transit;google_workplaces;google_residential;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred
Norte;AC;2020-03-08;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;6,00000000000000e+00;7,00000000000000e+00;-7,14285714285714e-01;9,28571428571428e+00;2,10000000000000e+01;-1,85714285714286e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-09;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;6,00000000000000e+00;6,57142857142857e+00;1,42857142857143e-01;9,00000000000000e+00;2,11428571428571e+01;-1,85714285714286e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-10;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;4,14285714285714e+00;5,42857142857143e+00;-1,14285714285714e+00;7,71428571428571e+00;2,08571428571429e+01;-1,71428571428571e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-11;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;2,28571428571429e+00;4,42857142857143e+00;-2,42857142857143e+00;9,14285714285714e+00;2,10000000000000e+01;-1,71428571428571e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-12;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-7,14285714285714e-01;3,57142857142857e+00;-3,57142857142857e+00;9,42857142857143e+00;2,04285714285714e+01;-1,57142857142857e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-13;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-2,28571428571429e+00;3,14285714285714e+00;-5,14285714285714e+00;9,00000000000000e+00;2,01428571428571e+01;-1,57142857142857e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-14;11;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-5,00000000000000e+00;5,14285714285714e+00;-6,85714285714286e+00;6,57142857142857e+00;1,88571428571429e+01;-1,14285714285714e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-15;12;881935;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-9,00000000000000e+00;5,71428571428571e+00;-1,02857142857143e+01;4,00000000000000e+00;1,45714285714286e+01;1,42857142857143e-01;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-16;12;881935;4,28571428571429e-01;0,428571428571429;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-1,40000000000000e+01;4,85714285714286e+00;-1,47142857142857e+01;-8,57142857142858e-01;9,14285714285714e+00;1,71428571428571e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-17;12;881935;1,42857142857143e+00;1,000000000000000;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-1,91428571428571e+01;3,42857142857143e+00;-1,88571428571429e+01;-5,57142857142857e+00;3,00000000000000e+00;3,57142857142857e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-18;12;881935;2,71428571428571e+00;1,285714285714286;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-2,87142857142857e+01;8,57142857142857e-01;-2,60000000000000e+01;-1,50000000000000e+01;-2,14285714285714e+00;5,28571428571428e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-19;12;881935;4,28571428571429e+00;1,571428571428571;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-3,88571428571429e+01;-3,71428571428571e+00;-3,37142857142857e+01;-2,32857142857143e+01;-6,71428571428571e+00;6,85714285714286e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-20;12;881935;5,85714285714286e+00;1,571428571428571;0,00000000000000e+00;0,000000000000000;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00;-4,72857142857143e+01;-7,14285714285714e+00;-3,92857142857143e+01;-3,32857142857143e+01;-1,61428571428571e+01;9,71428571428572e+00;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
