region;iso2;date;semana;population;total_cases;new_cases;total_deaths;new_deaths;people_vaccinated;people_fully_vaccinated;total_vaccinations;google_retail_and_recreation;google_grocery_and_pharmacy;google_parks;google_transit;google_workplaces;google_residential;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred
Norte;AC;2020-03-01;10;881935;0,00421;0,00421;0,00011;0,00011;0,00000;0,00000;0,00000;0,41744;8,39913;-4,12851;3,42428;16,67282;-0,59502;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-02;10;881935;0,02648;0,02227;0,00016;0,00005;0,00000;0,00000;0,00000;1,76871;8,27805;-3,03134;4,74518;18,15751;-0,99468;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-03;10;881935;0,06670;0,04022;0,00017;0,00001;0,00000;0,00000;0,00000;3,05527;8,15795;-2,02532;6,04763;19,50957;-1,35926;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-04;10;881935;0,12475;0,05805;0,00024;0,00007;0,00000;0,00000;0,00000;4,23155;8,05019;-1,14826;7,28988;20,65369;-1,67464;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-05;10;881935;0,20012;0,07537;0,00037;0,00013;0,00000;0,00000;0,00000;5,23997;7,95763;-0,44046;8,42735;21,52994;-1,92840;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-06;10;881935;0,29031;0,09019;0,00057;0,00020;0,00000;0,00000;0,00000;5,97473;7,84912;0,04794;9,40421;22,13972;-2,11480;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-07;10;881935;0,39042;0,10011;0,00085;0,00028;0,00000;0,00000;0,00000;6,31799;7,68498;0,26435;10,16177;22,49977;-2,22983;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-08;11;881935;0,49315;0,10273;0,00120;0,00035;0,00000;0,00000;0,00000;6,15190;7,42557;0,15613;10,64138;22,62683;-2,26944;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-09;11;881935;0,58828;0,09513;0,00162;0,00042;0,00000;0,00000;0,00000;5,37707;7,04299;-0,32855;10,77961;22,51295;-2,22493;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-10;11;881935;0,66051;0,07223;0,00210;0,00048;0,00000;0,00000;0,00000;3,96775;6,55648;-1,23860;10,49396;22,05146;-2,06885;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
Norte;AC;2020-03-11;11;881935;0,68894;0,02843;0,00262;0,00052;0,00000;0,00000;0,00000;1,91665;5,99702;-2,62213;9,69720;21,11099;-1,76911;0,00000000000000e+00;0,00000000000000e+00;0,00000000000000e+00
