region,iso2,date,semana,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,google_retail_and_recreation,google_grocery_and_pharmacy,google_parks,google_transit,google_workplaces,google_residential,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Norte,AC,2020-03-01,10,881935,0.00421,0.00421,1.1e-4,1.1e-4,0,0,0,0.41744,8.39913,-4.12851,3.42428,16.67282,-0.59502,0,0,0
Norte,AC,2020-03-02,10,881935,0.026480000000000004,0.02227,1.6e-4,5e-5,0,0,0,1.76871,8.27805,-3.03134,4.74518,18.15751,-0.99468,0,0,0
Norte,AC,2020-03-03,10,881935,0.0667,0.04022,1.7e-4,1e-5,0,0,0,3.05527,8.15795,-2.02532,6.04763,19.50957,-1.35926,0,0,0
Norte,AC,2020-03-04,10,881935,0.12475,0.05805,2.4e-4,7e-5,0,0,0,4.23155,8.05019,-1.14826,7.28988,20.65369,-1.67464,0,0,0
Norte,AC,2020-03-05,10,881935,0.20012,0.07537,3.7e-4,1.3e-4,0,0,0,5.23997,7.95763,-0.44046,8.42735,21.52994,-1.9284,0,0,0
Norte,AC,2020-03-06,10,881935,0.29031,0.09019,5.7e-4,2e-4,0,0,0,5.97473,7.84912,0.04794,9.40421,22.13972,-2.1148,0,0,0
Norte,AC,2020-03-07,10,881935,0.39042,0.10011,8.5e-4,2.8e-4,0,0,0,6.31799,7.68498,0.26435,10.16177,22.49977,-2.22983,0,0,0
Norte,AC,2020-03-08,11,881935,0.49315000000000003,0.10273,0.0012,3.5e-4,0,0,0,6.1519,7.42557,0.15613,10.64138,22.626830000000002,-2.26944,0,0,0
Norte,AC,2020-03-09,11,881935,0.58828,0.09513,0.00162,4.2e-4,0,0,0,5.37707,7.04299,-0.32855,10.77961,22.51295,-2.22493,0,0,0
Norte,AC,2020-03-10,11,881935,0.66051,0.07223,0.0021,4.8e-4,0,0,0,3.96775,6.55648,-1.2386,10.49396,22.05146,-2.06885,0,0,0
Norte,AC,2020-03-11,11,881935,0.68894,0.02843,0.00262,5.2e-4,0,0,0,1.91665,5.99702,-2.62213,9.6972,21.11099,-1.76911,0,0,0
Norte,AC,2020-03-12,11,881935,0.73082,0.04188,0.00312,5e-4,0,0,0,-0.78353,5.39561,-4.5273,8.30207,19.56019,-1.2936,0,0,0
Norte,AC,2020-03-13,11,881935,0.87554,0.14472,0.0035499999999999998,4.3e-4,0,0,0,-4.14883,4.75194,-6.99608,6.21279,17.28961,-0.61356,0,0,0
Norte,AC,2020-03-14,11,881935,1.1632500000000001,0.28771,0.00382,2.7e-4,0,0,0,-8.23031,3.94039,-10.04581,3.29943,14.27754,0.28629,0,0,0
Norte,AC,2020-03-15,12,881935,1.64212,0.47887,0.00384,2e-5,0,0,0,-13.08775,2.80402,-13.68767,-0.57644,10.52415,1.41789,0,0,0
Norte,AC,2020-03-16,12,881935,2.36429,0.72217,0.0043,4.6e-4,0,0,0,-18.72592,1.22339,-17.89532,-5.49089,6.0596,2.77994,0,0,0
Norte,AC,2020-03-17,12,881935,3.3696,1.00531,0.00539,0.00109,0,0,0,-24.9295,-0.77103,-22.4922,-11.27038,1.03375,4.31823,0,0,0
Norte,AC,2020-03-18,12,881935,4.68155,1.31195,0.00732,0.00193,0,0,0,-31.42814,-3.11126,-27.26423,-17.67897,-4.37359,5.96531,0,0,0
