iso2,date,semana,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_vaccinations,google_retail_and_recreation,google_grocery_and_pharmacy,google_parks,google_transit,google_workplaces,google_residential,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Norte,2020-03-08,11,18430980,0,0,0,0,0,0,0,5.18367346938776,7.48979591836735,-3.73469387755102,1.79591836734694,16.5714285714286,-0.938775510204082,0,0,0
Norte,2020-03-09,11,18430980,0,0,0,0,0,0,0,4.55102040816327,6.79591836734694,-3.73469387755102,1.53061224489796,16.6530612244898,-0.877551020408163,0,0,0
Norte,2020-03-10,11,18430980,0,0,0,0,0,0,0,3.51020408163265,5.91836734693878,-3.89795918367347,1.26530612244898,16.530612244898,-0.816326530612245,0,0,0
Norte,2020-03-11,11,18430980,0,0,0,0,0,0,0,1.87755102040816,4.89795918367347,-5.08163265306122,0.857142857142857,16.4489795918367,-0.714285714285714,0,0,0
Norte,2020-03-12,11,18430980,0.142857142857143,0.142857142857143,0,0,0,0,0,-1.14285714285714,3.83673469387755,-7.04081632653061,0.755102040816326,16,-0.530612244897959,0,0,0
Norte,2020-03-13,11,18430980,0.285714285714286,0.142857142857143,0,0,0,0,0,-2.28571428571429,4.02040816326531,-7.48979591836735,0.163265306122449,15.5918367346939,-0.489795918367347,0,0,0
Norte,2020-03-14,11,18430980,0.428571428571429,0.142857142857143,0,0,0,0,0,-4.30612244897959,4.55102040816327,-8.30612244897959,-1.36734693877551,13.7551020408163,0.0816326530612245,0,0,0
Norte,2020-03-15,12,18430980,0.571428571428571,0.142857142857143,0,0,0,0,0,-7.02040816326531,4.93877551020408,-10.4285714285714,-3.10204081632653,10.530612244898,1.10204081632653,0,0,0
Norte,2020-03-16,12,18430980,1.71428571428571,1.14285714285714,0,0,0,0,0,-11.530612244898,4.26530612244898,-13.6734693877551,-6.81632653061224,5.28571428571429,2.61224489795918,0,0,0
Norte,2020-03-17,12,18430980,3.85714285714286,2.14285714285714,0,0,0,0,0,-16.5714285714286,4,-17.7142857142857,-11.1836734693878,0.0816326530612243,4.26530612244898,0,0,0
Norte,2020-03-18,12,18430980,7.57142857142857,3.71428571428571,0,0,0,0,0,-24.4285714285714,1.85714285714286,-22.8775510204082,-16.3673469387755,-3.95918367346939,5.81632653061224,0,0,0
Norte,2020-03-19,12,18430980,14.4285714285714,6.85714285714286,0,0,0,0,0,-33.2448979591837,-2.59183673469388,-29.0816326530612,-23.1632653061224,-7.97959183673469,7.28571428571429,0,0,0
Norte,2020-03-20,12,18430980,22.7142857142857,8.28571428571428,0,0,0,0,0,-41,-6.53061224489796,-34.5714285714286,-30.4897959183673,-15.6530612244898,9.65306122448979,0,0,0
Norte,2020-03-21,12,18430980,34.2857142857143,11.5714285714286,0,0,0,0,0,-48.5918367346939,-11.6938775510204,-39.734693877551,-37.7551020408163,-22.8163265306122,11.734693877551,0,0,0
Norte,2020-03-22,13,18430980,49.1428571428571,14.8571428571429,0.142857142857143,0.142857142857143,0,0,0,-54.9795918367347,-16.2244897959184,-43.4489795918367,-44.5510204081633,-28.5102040816327,13.4489795918367,0,0,0
Norte,2020-03-23,13,18430980,66,16.8571428571429,0.285714285714286,0.142857142857143,0,0,0,-59.2857142857143,-19.6530612244898,-46.0204081632653,-49.469387755102,-32.0408163265306,14.530612244898,0,0,0
Norte,2020-03-24,13,18430980,84.5714285714286,18.5714285714286,0.428571428571429,0.142857142857143,0,0,0,-62.7755102040816,-23.2040816326531,-47.2244897959184,-54.0612244897959,-35.4081632653061,15.4489795918367,0,0,0
Norte,2020-03-25,13,18430980,107.142857142857,22.5714285714286,0.571428571428571,0.142857142857143,0,0,0,-63.6734693877551,-25.265306122449,-47.0408163265306,-57.9183673469388,-36.9183673469388,15.6530612244898,0,0,0
Norte,2020-03-26,13,18430980,132.571428571429,25.4285714285714,0.714285714285714,0.142857142857143,0,0,0,-63.1632653061224,-25.469387755102,-45.8163265306122,-60.1428571428571,-36.530612244898,15.4897959183673,0,0,0
Norte,2020-03-27,13,18430980,160.428571428571,27.8571428571429,0.857142857142857,0.142857142857143,0,0,0,-61.9387755102041,-25.4285714285714,-45.0408163265306,-61,-36.4081632653061,15.3469387755102,0,0,0
Norte,2020-03-28,13,18430980,190.714285714286,30.2857142857143,1.42857142857143,0.571428571428571,0,0,0,-59.6734693877551,-23.6326530612245,-43.6734693877551,-60.4285714285714,-35.2448979591837,14.9591836734694,0,0,0
Norte,2020-03-29,14,18430980,223.857142857143,33.1428571428571,2,0.571428571428571,0,0,0,-57.4081632653061,-21.2448979591837,-42.3877551020408,-59.4285714285714,-33.8979591836735,14.469387755102,0,0,0
Norte,2020-03-30,14,18430980,259.714285714286,35.8571428571429,2.57142857142857,0.571428571428571,0,0,0,-55.2448979591837,-18.9591836734694,-41.2448979591837,-58.9591836734694,-32.6938775510204,14.0816326530612,0,0,0
Norte,2020-03-31,14,18430980,300,40.2857142857143,3.71428571428571,1.14285714285714,0,0,0,-53.7755102040816,-17.1224489795918,-40.6326530612245,-58.469387755102,-31.6734693877551,13.8571428571429,0,0,0
Norte,2020-04-01,14,18430980,349,49,5.85714285714286,2.14285714285714,0,0,0,-52.530612244898,-15.1020408163265,-39.9795918367347,-57.8367346938775,-30.6938775510204,13.6122448979592,0,0,0
