"iso2","pa_R1","pa_inf_R1","pa_sup_R1","pa_R2","pa_inf_R2","pa_sup_R2","pa_R3","pa_inf_R3","pa_sup_R3","pd_R1","pd_R2","pd_R3","IFR_R1","IFR_R2","IFR_R3","IFR_all","p_casos_R1","p_casos_R2","p_casos_R3","p_notif_R23","p_notif_R3","p_notif_region_R23","p_notif_region_R3"
"AC",3.9,1.7,6.9,5.7,3.4,8.6,4.9,2.7,7.7,0.35,0.53,0.58,0.72,0.81,1,0.85,0.361683518626656,0.896044426176532,1.37044786747323,0.177201169724033,0.218556616120225,0.161858813043908,0.184387269415494
"AL",0.53,0,2.4,9.6,6.2,14,13,9.3,18,0.26,0.43,0.49,1.6,0.41,0.35,0.47,0.148092401562074,0.46516057916489,0.932197858365167,0.056562262017759,0.0669096052067232,0.163973858124166,0.183294361291072
"AM",11,7.6,16,13,9.4,18,7.5,4.4,11,0.64,0.69,0.55,0.51,0.48,0.47,0.5,0.613767546518998,1.19373914230986,1.59520465463832,0.129746428325573,0.175389638299651,0.161858813043908,0.184387269415494
"AP",8.6,5.1,13,14,9.3,19,13,9,18,0.3,0.43,0.49,0.32,0.29,0.34,0.31,0.612112878681283,1.53035185064755,3.03393288409672,0.14387946334285,0.189219507529929,0.161858813043908,0.184387269415494
"BA",0.88,0.16,1.8,3.9,1.9,6.7,2.3,0.91,4.2,0.12,0.22,0.3,0.99,0.47,1,0.81,0.0769020437214551,0.187463277102822,0.362095995283823,0.0909410613749342,0.136019135269845,0.163973858124166,0.183294361291072
"CE",6.7,3.8,10,13,9.2,17,18,13,22,0.74,0.96,0.89,0.98,0.68,0.52,0.67,0.336869250459753,0.706308159982865,1.08843293366526,0.0542760809321156,0.0570205494315696,0.163973858124166,0.183294361291072
"DF",0,0,1.5,0,0,2.2,0,0,2.2,0.068,0.16,0.28,0.69,1.1,1.9,1.3,0.181547091999782,0.531181936398357,1.25193180573004,1,1,0.43199456928139,0.469508565404148
"ES",1.1,0,2.8,1.5,0.43,2.8,2.6,1.3,4.3,0.18,0.37,0.5,0.92,1.9,1.6,1.6,0.214681272815498,0.493334565587946,0.961555867766538,0.258737036758054,0.269981969528821,0.204891573618317,0.242647868397173
"GO",0.3,0,1.2,0.38,0,1.2,0.95,0.02,2.3,0.034,0.068,0.15,0.39,0.82,0.96,0.78,0.0295859064675279,0.0823637623579546,0.263883025706597,0.197761903997979,0.217387524265768,0.43199456928139,0.469508565404148
"MA",1.1,0,3.6,6.7,4.4,9.4,7.1,4.9,9.6,0.4,0.53,0.54,1.6,0.71,0.7,0.82,0.236010257970785,0.670136122877987,1.042850076203,0.109497650064482,0.128069418746965,0.163973858124166,0.183294361291072
"MG",0.95,0.23,1.9,0.46,0.08,0.92,0.63,0.1,1.3,0.024,0.049,0.097,0.18,0.77,1.1,0.78,0.0266455357795351,0.0718956515750002,0.156645162683122,0.167149682422695,0.199130650150863,0.204891573618317,0.242647868397173
"MS",0,0,2.4,0.2,0,1.4,0.49,0,1.5,0.0074,0.021,0.068,0.04,0.22,0.64,0.4,0.0272283786244335,0.080263857752432,0.221475249965275,0.298838463173395,0.311290167825353,0.43199456928139,0.469508565404148
"MT",4.3,0.12,13,0.86,0.04,2,0.61,0,1.5,0.035,0.15,0.38,0.04,1.1,3.7,2.3,0.033333612381352,0.109996924062396,0.327533480596453,0.231377909954187,0.349356569525473,0.43199456928139,0.469508565404148
